"name","value","note"
"dc_blocks",6012,"DC census blocks"
"dc_zero",1512,"blocks with nobody"
"dc_zero_land",1409,"of those, having land"
"dc_zero_water",103,"of those, all water"
"dc_land_sqmi",61.1,"DC land area, sq mi"
"dc_empty_sqmi",16.1,"land area of the empty blocks, sq mi"
"dc_empty_land_pct",26.4,"that, as a share of DC land (%)"
