"pop","blocks"
0,2368443
1,108595
2,120062
3,131668
4,139641
5,143835
6,144926
7,143222
8,138906
9,134739
10,129328
11,124423
12,118898
13,113364
14,107961
15,103106
16,98218
17,94558
18,90721
19,87054
20,83246
21,80337
22,77808
23,75467
24,73342
25,70468
26,68228
27,65688
28,64049
29,62418
30,60954
31,59030
32,57663
33,55718
34,54412
35,53184
36,51416
37,50827
38,48981
39,47976
40,46921
41,45349
42,44394
43,43361
44,42415
45,41104
46,40185
47,39400
48,38430
49,37007
50,36683
51,35440
52,34516
53,33662
54,32934
55,32232
56,31268
57,30694
58,29525
59,29325
60,28546
61,27832
62,26955
63,26129
64,26227
65,25351
66,24622
67,24147
68,23304
69,22808
70,22331
71,21606
72,21254
73,20661
74,20653
75,19843
76,19214
77,18417
78,18573
79,17769
80,17469
81,16872
82,16822
83,16170
84,15876
85,15452
86,15164
87,14980
88,14376
89,13980
90,13597
91,13231
92,13211
93,12766
94,12508
95,12395
96,12052
97,11679
98,11493
99,11047
100,10922
101,10894
102,10394
103,10266
104,10135
105,9945
106,9542
107,9386
108,9162
109,9066
110,9088
111,8792
112,8520
113,8447
114,8257
115,8066
116,7714
117,7720
118,7464
119,7290
120,7376
121,7150
122,6816
123,6804
124,6727
125,6555
126,6573
127,6262
128,6360
129,6169
130,6133
131,5817
132,5834
133,5672
134,5410
135,5582
136,5393
137,5290
138,5205
139,5205
140,4987
141,4905
142,4867
143,4763
144,4730
145,4669
146,4494
147,4495
148,4360
149,4398
150,4369
151,4230
152,4152
153,4090
154,3895
155,3990
156,3918
157,3842
158,3845
159,3684
160,3553
161,3642
162,3493
163,3441
164,3407
165,3391
166,3328
167,3385
168,3234
169,3177
170,3285
171,3115
172,3027
173,3014
174,3037
175,2942
176,2924
177,2794
178,2785
179,2913
180,2827
181,2670
182,2678
183,2624
184,2599
185,2537
186,2529
187,2545
188,2522
189,2478
190,2427
191,2404
192,2342
193,2431
194,2346
195,2331
196,2290
197,2241
198,2183
199,2180
200,2063
201,2080
202,2153
203,2112
204,2033
205,1963
206,1968
207,1930
208,1934
209,1947
210,1888
211,1837
212,1876
213,1924
214,1847
215,1745
216,1820
217,1725
218,1690
219,1705
220,1727
221,1680
222,1636
223,1536
224,1615
225,1671
226,1570
227,1579
228,1620
229,1578
230,1506
231,1506
232,1481
233,1527
234,1487
235,1470
236,1489
237,1446
238,1439
239,1466
240,1457
241,1414
242,1367
243,1356
244,1290
245,1296
246,1338
247,1339
248,1327
249,1317
250,1266
251,1248
252,1249
253,1247
254,1254
255,1219
256,1223
257,1203
258,1141
259,1162
260,1153
261,1171
262,1115
263,1163
264,1159
265,1070
266,1113
267,1017
268,1056
269,1060
270,1028
271,1018
272,1070
273,1032
274,1047
275,999
276,980
277,1021
278,945
279,1012
280,956
281,990
282,947
283,958
284,904
285,953
286,971
287,904
288,947
289,937
290,891
291,841
292,875
293,869
294,827
295,854
296,901
297,861
298,877
299,830
300,861
301,803
302,808
303,807
304,788
305,769
306,767
307,770
308,776
309,744
310,789
311,763
312,755
313,757
314,735
315,684
316,684
317,713
318,758
319,682
320,688
321,707
322,677
323,666
324,669
325,676
326,653
327,682
328,661
329,671
330,683
331,646
332,667
333,672
334,643
335,649
336,578
337,646
338,644
339,618
340,647
341,619
342,632
343,614
344,603
345,624
346,581
347,490
348,620
349,609
350,540
351,550
352,572
353,560
354,606
355,540
356,534
357,620
358,555
359,519
360,532
361,543
362,577
363,548
364,550
365,511
366,540
367,506
368,533
369,538
370,500
371,483
372,481
373,494
374,508
375,477
376,459
377,496
378,483
379,464
380,470
381,491
382,478
383,471
384,422
385,495
386,434
387,501
388,490
389,444
390,470
391,441
392,467
393,439
394,446
395,395
396,419
397,461
398,475
399,419
400,404
401,410
402,432
403,411
404,426
405,418
406,381
407,411
408,415
409,366
410,402
411,406
412,359
413,394
414,410
415,379
416,358
417,367
418,383
419,375
420,379
421,355
422,390
423,360
424,362
425,348
426,329
427,354
428,332
429,395
430,383
431,381
432,355
433,319
434,361
435,346
436,308
437,332
438,324
439,325
440,295
441,329
442,313
443,324
444,369
445,313
446,328
447,315
448,342
449,333
450,324
451,279
452,297
453,316
454,310
455,325
456,288
457,282
458,306
459,325
460,287
461,313
462,319
463,303
464,310
465,307
466,286
467,311
468,303
469,257
470,271
471,311
472,273
473,269
474,280
475,277
476,260
477,281
478,294
479,260
480,246
481,259
482,248
483,254
484,243
485,253
486,272
487,252
488,267
489,268
490,256
491,236
492,237
493,248
494,241
495,270
496,249
497,279
498,233
499,241
500,215
501,249
502,228
503,239
504,229
505,247
506,219
507,246
508,239
509,212
510,233
511,221
512,210
513,228
514,216
515,194
516,200
517,232
518,210
519,250
520,216
521,220
522,214
523,232
524,205
525,225
526,222
527,212
528,200
529,213
530,205
531,221
532,209
533,174
534,216
535,202
536,184
537,212
538,254
539,223
540,192
541,195
542,198
543,187
544,194
545,193
546,212
547,174
548,193
549,197
550,219
551,195
552,189
553,188
554,177
555,172
556,195
557,172
558,182
559,151
560,184
561,161
562,164
563,181
564,160
565,176
566,174
567,177
568,175
569,157
570,179
571,172
572,168
573,156
574,186
575,191
576,162
577,168
578,161
579,179
580,172
581,176
582,159
583,155
584,166
585,176
586,160
587,159
588,165
589,149
590,148
591,150
592,157
593,127
594,158
595,124
596,157
597,151
598,156
599,154
600,154
601,143
602,157
603,149
604,166
605,127
606,143
607,132
608,151
609,126
610,137
611,163
612,138
613,153
614,140
615,126
616,144
617,133
618,151
619,123
620,166
621,150
622,141
623,150
624,166
625,133
626,132
627,141
628,116
629,122
630,126
631,130
632,138
633,142
634,144
635,130
636,126
637,125
638,128
639,149
640,120
641,110
642,126
643,104
644,127
645,107
646,129
647,115
648,103
649,122
650,123
651,123
652,124
653,103
654,119
655,112
656,101
657,128
658,119
659,115
660,113
661,111
662,102
663,129
664,109
665,97
666,113
667,124
668,114
669,125
670,109
671,91
672,97
673,119
674,99
675,130
676,105
677,116
678,106
679,114
680,121
681,97
682,107
683,110
684,99
685,102
686,110
687,106
688,129
689,101
690,112
691,90
692,105
693,99
694,97
695,102
696,99
697,109
698,91
699,93
700,98
701,94
702,97
703,96
704,90
705,96
706,121
707,131
708,105
709,94
710,85
711,107
712,114
713,92
714,102
715,89
716,78
717,91
718,83
719,94
720,95
721,89
722,86
723,94
724,82
725,85
726,89
727,96
728,79
729,87
730,82
731,85
732,82
733,101
734,84
735,89
736,89
737,94
738,80
739,93
740,67
741,94
742,74
743,71
744,75
745,100
746,91
747,89
748,87
749,89
750,65
751,90
752,84
753,79
754,77
755,66
756,84
757,92
758,75
759,87
760,88
761,84
762,62
763,81
764,79
765,83
766,82
767,88
768,71
769,72
770,63
771,74
772,66
773,61
774,70
775,73
776,75
777,75
778,78
779,76
780,55
781,75
782,80
783,73
784,73
785,90
786,74
787,58
788,64
789,60
790,71
791,64
792,60
793,76
794,70
795,61
796,61
797,75
798,63
799,66
800,59
801,79
802,67
803,60
804,53
805,51
806,74
807,66
808,69
809,53
810,56
811,66
812,60
813,74
814,69
815,66
816,59
817,74
818,61
819,55
820,62
821,52
822,77
823,56
824,61
825,61
826,58
827,56
828,62
829,58
830,49
831,47
832,69
833,76
834,64
835,59
836,64
837,60
838,64
839,63
840,58
841,59
842,39
843,45
844,48
845,64
846,61
847,65
848,48
849,71
850,67
851,44
852,48
853,59
854,51
855,49
856,52
857,47
858,43
859,63
860,59
861,68
862,56
863,49
864,41
865,41
866,56
867,57
868,52
869,48
870,44
871,60
872,68
873,62
874,45
875,38
876,49
877,59
878,54
879,48
880,56
881,56
882,59
883,52
884,57
885,47
886,65
887,43
888,42
889,49
890,54
891,47
892,41
893,53
894,55
895,61
896,43
897,45
898,41
899,54
900,43
901,49
902,54
903,49
904,55
905,48
906,52
907,39
908,45
909,45
910,45
911,45
912,55
913,58
914,47
915,44
916,39
917,40
918,44
919,48
920,41
921,53
922,51
923,52
924,51
925,35
926,30
927,37
928,38
929,39
930,40
931,42
932,45
933,49
934,44
935,53
936,42
937,49
938,39
939,47
940,34
941,34
942,38
943,44
944,39
945,44
946,49
947,40
948,47
949,44
950,35
951,44
952,43
953,35
954,32
955,42
956,37
957,35
958,46
959,40
960,33
961,39
962,36
963,47
964,44
965,44
966,43
967,30
968,39
969,36
970,35
971,50
972,47
973,47
974,34
975,28
976,30
977,35
978,45
979,36
980,32
981,39
982,32
983,42
984,32
985,42
986,32
987,33
988,34
989,28
990,29
991,43
992,27
993,40
994,27
995,31
996,24
