"STATEFP","zero_land_sqmi","zero_blocks_land"
"01",7320.2,51629
"02",382849.4,7878
"04",66426.1,46273
"05",12082.7,42129
"06",82102.3,134299
"08",34835.4,39155
"09",232.4,6356
"10",150.6,4274
"11",16.1,1409
"12",17027.7,85968
"13",9902.4,61406
"15",2741.5,3624
"16",43920.3,32519
"17",9708,85174
"18",3135.9,38234
"19",10042.1,47962
"20",35001.6,60172
"21",3008,34307
"22",11939.8,42809
"23",14468.7,12638
"24",601.9,14370
"25",634.3,14334
"26",9913.7,46171
"27",18204.1,52614
"28",7793,31927
"29",11776.1,76417
"30",60135.6,41873
"31",19513.2,38444
"32",85053.7,21812
"33",1313.9,5190
"34",1232,19810
"35",72661,49250
"36",5266.7,50851
"37",5597.2,54672
"38",34644.4,42249
"39",2433.2,50632
"40",19469.3,53343
"41",55962.3,48985
"42",4789.2,54880
"44",103.1,3449
"45",4841.7,36977
"46",25579.8,29099
"47",4398,42724
"48",109775.5,206077
"49",59156.4,24092
"50",625.9,4888
"51",3401,38561
"53",22331,38436
"54",2562.7,17179
"55",6981.1,48455
"56",61505.9,30025
"72",219.3,4093
