"poly","ring","cat","x","y"
1,1,1,372,529
1,1,1,380,528
1,1,1,382,527
1,1,1,383,525
1,1,1,384,522
1,1,1,384,518
1,1,1,381,512
1,1,1,382,511
1,1,1,386,518
1,1,1,385,522
1,1,1,384,525
1,1,1,383,528
1,1,1,380,529
1,1,1,372,529
2,1,0,491,466
2,1,0,491,456
2,1,0,497,457
2,1,0,496,463
2,1,0,496,466
2,1,0,491,466
3,1,0,373,218
3,1,0,379,218
3,1,0,379,222
3,1,0,373,222
3,1,0,373,218
4,1,1,384,527
4,1,1,385,525
4,1,1,386,525
4,1,1,395,523
4,1,1,397,526
4,1,1,397,532
4,1,1,384,527
5,1,1,443,546
5,1,1,448,546
5,1,1,448,548
5,1,1,443,546
6,1,0,260,386
6,1,0,262,382
6,1,0,263,382
6,1,0,262,385
6,1,0,263,385
6,1,0,263,387
6,1,0,260,386
7,1,0,339,313
7,1,0,345,312
7,1,0,345,314
7,1,0,341,315
7,1,0,341,314
7,1,0,340,313
7,1,0,339,313
8,1,0,422,700
8,1,0,424,698
8,1,0,432,705
8,1,0,427,704
8,1,0,422,700
9,1,0,58,260
9,1,0,59,235
9,1,0,60,229
9,1,0,62,230
9,1,0,65,229
9,1,0,71,230
9,1,0,72,232
9,1,0,72,234
9,1,0,69,233
9,1,0,65,232
9,1,0,63,232
9,1,0,62,234
9,1,0,62,238
9,1,0,64,240
9,1,0,65,246
9,1,0,63,254
9,1,0,64,255
9,1,0,67,256
9,1,0,66,262
9,1,0,64,265
9,1,0,60,261
9,1,0,58,260
10,1,0,374,535
10,1,0,383,535
10,1,0,384,540
10,1,0,382,544
10,1,0,374,544
10,1,0,374,535
11,1,1,366,529
11,1,1,366,526
11,1,1,380,526
11,1,1,380,525
11,1,1,383,526
11,1,1,381,528
11,1,1,379,529
11,1,1,372,529
11,1,1,366,529
12,1,0,363,306
12,1,0,368,305
12,1,0,369,310
12,1,0,363,311
12,1,0,363,306
13,1,0,303,264
13,1,0,303,251
13,1,0,312,252
13,1,0,303,264
14,1,0,361,237
