"st","x0","y0","x1","y1"
"01",26619,15472,29548,20227
"02",0,18810,8571,24763
"04",5498,12673,10671,18696
"05",21604,14318,25443,17791
"06",250,6201,6362,16627
"08",10671,9466,16200,13832
"09",36341,6952,37655,8244
"10",35226,9626,36023,10952
"11",34423,10651,34583,10844
"12",27411,19050,34335,25006
"13",28638,15218,32776,19528
"15",8614,21380,13477,24572
"16",5767,971,10302,8302
"17",23808,8422,26846,13813
"18",26469,8908,28832,12970
"19",20099,7618,24697,10634
"20",15961,10931,21597,13972
"21",25455,11406,31090,14288
"22",22112,17723,26512,21533
"23",37179,1375,40000,5848
"24",32578,9776,36027,11500
"25",36318,5984,38963,7492
"26",24243,2972,30009,9062
"27",19756,2084,24761,7701
"28",24099,15655,26828,20350
"29",20710,10413,25786,14812
"30",7643,1104,15416,6033
"31",14765,7944,21051,11074
"32",2995,7014,7837,14479
"33",36741,3776,38078,6411
"34",35409,8064,36425,10391
"35",9920,13293,15234,18786
"36",31954,4428,37699,8801
"37",29628,12782,36341,15740
"38",15173,2232,20177,5365
"39",28496,8276,31682,11909
"40",15198,13775,21764,17224
"41",779,2297,6899,7504
"42",31473,7564,35897,10423
"44",37511,6881,38103,7733
"45",30414,14842,34280,17781
"46",14928,5129,20243,8683
"47",24981,13520,31462,15771
"48",11930,14254,22590,24651
"49",6921,7941,11196,13293
"50",35766,4112,37060,6531
"51",29931,10389,35971,13747
"53",2132,0,7233,3776
"54",30499,9549,33916,12961
"55",22638,4167,26736,8549
"56",9776,5453,15087,9863
