"st","x","y"
"20",16217,13287
"20",21113,12077
"20",21103,12062
"20",19526,13275
"20",19614,13330
"20",17523,13176
"20",21507,12084
"20",19472,13260
"20",19595,13430
"20",19527,13351
"20",19525,13272
"20",21330,12978
"20",21436,12135
"20",21563,12161
"20",21495,12041
"20",21511,12120
"20",21474,12056
"20",19603,13231
"20",21527,13153
"20",17543,13169
"20",21065,12077
"20",21130,12086
"20",19548,13343
"20",19558,13131
"20",21530,12024
"20",21529,12107
"20",20998,11529
"20",21520,12181
"20",21332,11913
"20",21103,12070
"20",21003,13080
"20",21411,12123
"20",21573,12051
"20",21402,12152
"20",21522,12014
"20",19351,13344
"20",19501,13351
"20",19551,12949
"20",20960,13318
"20",20896,11400
"20",19444,13409
"20",21519,12017
"20",20755,13944
"20",21523,11983
"20",17629,12865
"20",21534,11907
"20",21575,11968
"20",20820,11996
"20",20837,12025
"20",20704,12006
"20",20770,11993
"20",21512,11962
"20",21530,11959
"20",21552,11949
"20",21373,11903
"20",18997,11574
"20",21483,11901
"20",19353,12212
"20",20785,12506
"20",19095,12925
"20",19265,13223
"20",19084,12919
"20",20773,12010
"20",19098,12911
"20",19961,13265
"20",20684,12395
"20",21527,13592
"20",19647,13616
"20",19806,13307
"20",21332,11929
"20",18592,13659
"20",19900,11998
"20",16928,12944
"20",19539,12984
"20",19445,13250
"20",19518,13421
"20",21334,11973
"20",18384,12806
"20",21325,11728
"20",21502,12035
"20",21096,12081
"20",21097,12080
"20",21096,12081
"20",21096,12080
"20",19540,13265
"20",19762,13882
"20",21484,12146
"20",16956,12970
"20",21548,12047
"20",21533,12065
"20",21571,12082
"20",21540,12055
"20",21404,11998
"20",21435,12168
"20",17070,13634
"20",19515,13345
"20",21498,12083
"20",20937,13315
"20",19919,12025
"20",19436,13276
"20",19781,11241
"20",21506,12137
"20",17281,13111
"20",21341,11909
"20",21510,12108
"20",21359,12214
"20",21440,12029
"20",19307,13234
"20",19557,13387
"20",19559,13389
"20",21409,12124
"20",21531,12157
"20",19539,13299
"20",19621,13326
"20",19613,13475
"20",21534,12042
"20",20759,12006
"20",21382,11893
"20",21553,11933
"20",21373,11971
"20",20768,12000
"20",19105,12921
"20",19489,12115
"20",21454,11931
"20",20698,12039
"20",20788,12048
"20",19357,12338
"20",20827,12380
"20",18494,13313
"20",21426,13470
"20",21229,12309
"20",20795,12038
"20",16356,11596
"20",21403,13472
"20",19007,11581
"20",20997,13766
"20",19920,13155
"20",19782,13504
"20",20760,12030
"20",16248,12897
"20",19898,12032
"20",21377,12450
"20",19011,13799
"20",21222,12096
"20",18089,12111
"20",21506,12083
