"poly","ring","x","y","st"
"c_01_1",1,27687,16660,"01"
"c_01_1",1,27695,16651,"01"
"c_01_1",1,27711,16649,"01"
"c_01_1",1,27719,16632,"01"
"c_01_1",1,27712,16620,"01"
"c_01_1",1,27712,16610,"01"
"c_01_1",1,27718,16602,"01"
"c_01_1",1,27726,16604,"01"
"c_01_1",1,27742,16598,"01"
"c_01_1",1,27744,16590,"01"
"c_01_1",1,27742,16582,"01"
"c_01_1",1,27748,16579,"01"
"c_01_1",1,27760,16584,"01"
"c_01_1",1,27765,16574,"01"
"c_01_1",1,27779,16562,"01"
"c_01_1",1,27786,16568,"01"
"c_01_1",1,27791,16554,"01"
"c_01_1",1,27798,16557,"01"
"c_01_1",1,27812,16557,"01"
"c_01_1",1,27813,16546,"01"
"c_01_1",1,27825,16536,"01"
"c_01_1",1,27833,16534,"01"
"c_01_1",1,27833,16513,"01"
"c_01_1",1,27848,16509,"01"
"c_01_1",1,27847,16499,"01"
"c_01_1",1,27861,16487,"01"
"c_01_1",1,27862,16475,"01"
"c_01_1",1,27871,16477,"01"
"c_01_1",1,27876,16466,"01"
"c_01_1",1,27869,16459,"01"
"c_01_1",1,27873,16448,"01"
"c_01_1",1,27887,16447,"01"
"c_01_1",1,27870,16427,"01"
"c_01_1",1,27882,16415,"01"
"c_01_1",1,27883,16426,"01"
"c_01_1",1,27892,16421,"01"
"c_01_1",1,27898,16422,"01"
"c_01_1",1,27906,16413,"01"
"c_01_1",1,27908,16398,"01"
"c_01_1",1,27932,16381,"01"
"c_01_1",1,27938,16389,"01"
"c_01_1",1,27948,16380,"01"
"c_01_1",1,27948,16369,"01"
"c_01_1",1,27955,16365,"01"
"c_01_1",1,27964,16336,"01"
"c_01_1",1,27982,16319,"01"
"c_01_1",1,27975,16308,"01"
"c_01_1",1,27981,16301,"01"
"c_01_1",1,27987,16277,"01"
"c_01_1",1,27998,16274,"01"
"c_01_1",1,27996,16262,"01"
"c_01_1",1,27999,16249,"01"
"c_01_1",1,28005,16245,"01"
"c_01_1",1,28015,16250,"01"
"c_01_1",1,28023,16238,"01"
"c_01_1",1,28050,16237,"01"
"c_01_2",1,28050,16237,"01"
"c_01_2",1,28057,16236,"01"
"c_01_2",1,28058,16245,"01"
"c_01_2",1,28090,16285,"01"
"c_01_2",1,28166,16362,"01"
"c_01_2",1,28172,16366,"01"
"c_01_2",1,28183,16378,"01"
"c_01_3",1,28183,16378,"01"
"c_01_3",1,28171,16405,"01"
"c_01_3",1,28166,16431,"01"
"c_01_3",1,28171,16489,"01"
"c_01_3",1,28167,16503,"01"
"c_01_3",1,28161,16518,"01"
"c_01_3",1,28154,16523,"01"
"c_01_3",1,28146,16536,"01"
"c_01_3",1,28181,16532,"01"
"c_01_4",1,28181,16532,"01"
"c_01_4",1,28185,16539,"01"
"c_01_4",1,28176,16552,"01"
"c_01_4",1,28167,16557,"01"
"c_01_4",1,28167,16571,"01"
"c_01_4",1,28175,16577,"01"
"c_01_4",1,28169,16591,"01"
"c_01_4",1,28156,16600,"01"
"c_01_4",1,28153,16606,"01"
"c_01_4",1,28138,16621,"01"
"c_01_4",1,28135,16630,"01"
"c_01_4",1,28128,16638,"01"
"c_01_4",1,28112,16653,"01"
"c_01_4",1,28105,16656,"01"
"c_01_4",1,28097,16653,"01"
"c_01_4",1,28079,16658,"01"
"c_01_4",1,28067,16666,"01"
"c_01_4",1,28047,16671,"01"
"c_01_4",1,28040,16680,"01"
"c_01_4",1,27996,16684,"01"
"c_01_4",1,28000,16720,"01"
"c_01_5",1,28000,16720,"01"
"c_01_5",1,27944,16725,"01"
"c_01_5",1,27946,16718,"01"
"c_01_5",1,27850,16662,"01"
"c_01_5",1,27751,16669,"01"
"c_01_5",1,27712,16699,"01"
"c_01_5",1,27699,16701,"01"
"c_01_6",1,27699,16701,"01"
"c_01_6",1,27695,16672,"01"
"c_01_6",1,27689,16673,"01"
"c_01_6",1,27687,16660,"01"
"c_01_7",1,27947,15969,"01"
"c_01_7",1,27946,15974,"01"
"c_01_7",1,27961,15999,"01"
"c_01_7",1,27963,16008,"01"
"c_01_7",1,27969,16013,"01"
"c_01_7",1,27992,16027,"01"
"c_01_7",1,28011,16027,"01"
"c_01_7",1,28017,16031,"01"
"c_01_7",1,28028,16022,"01"
"c_01_7",1,28043,16020,"01"
"c_01_7",1,28052,16023,"01"
"c_01_7",1,28059,16008,"01"
"c_01_7",1,28069,16007,"01"
"c_01_7",1,28077,16001,"01"
"c_01_7",1,28075,15988,"01"
"c_01_7",1,28080,15980,"01"
"c_01_7",1,28091,15986,"01"
"c_01_7",1,28101,15976,"01"
"c_01_7",1,28114,15985,"01"
"c_01_7",1,28122,15984,"01"
"c_01_7",1,28125,15968,"01"
"c_01_7",1,28134,15957,"01"
"c_01_7",1,28132,15949,"01"
"c_01_7",1,28135,15936,"01"
"c_01_7",1,28116,15933,"01"
"c_01_7",1,28122,15922,"01"
"c_01_7",1,28133,15915,"01"
"c_01_7",1,28135,15905,"01"
"c_01_7",1,28129,15903,"01"
"c_01_7",1,28124,15900,"01"
"c_01_7",1,28116,15901,"01"
"c_01_8",1,28116,15901,"01"
"c_01_8",1,28116,15900,"01"
"c_01_8",1,28161,15895,"01"
"c_01_8",1,28186,15893,"01"
"c_01_8",1,28255,15887,"01"
"c_01_8",1,28259,15934,"01"
"c_01_8",1,28265,15942,"01"
"c_01_8",1,28260,15949,"01"
