"name","value","note"
"blocks_total",8174955,"census blocks, 50 states + DC + PR"
"blocks_zero",2368443,"blocks recording no population"
"pop_total",334735155,"2020 census population counted"
"pct_zero",28.97,"share of blocks with nobody (%)"
"blocks_zero_land",2130094,"empty blocks having land area"
"blocks_zero_water",238349,"empty blocks that are water only"
"zero_land_sqmi",1465387,"land area of empty blocks (sq mi)"
"us_land_sqmi",3533038,"U.S. land area, sq mi (Census 2020)"
"median_block_pop",14,"median block population"
"median_inhab_pop",28,"median population, inhabited blocks"
"pct_under_10",45.3,"share of blocks holding 10 people or fewer (%)"
"dens_r_log",-0.873,"corr, log10 density vs % blocks empty"
"dens_r2_log",0.76,"the same, as R squared"
"dens_r_raw",-0.196,"corr on untransformed density"
"dens_r_nodc",-0.931,"corr on log10 density, excluding DC"
"dc_density",11286,"DC population per square mile of land"
"dc_pct_zero",25.15,"DC blocks with nobody (%)"
"dens_max",11286,"highest state density (per sq mi)"
"dens_min",1.3,"lowest state density (per sq mi)"
