"key","value","note"
"scan_date","2026-08-13","the day every address in this chapter was requested"
"n_states","51","jurisdictions with an address in the survey"
"n_ok","33","addresses that answered"
"n_blocked","10","that refused a script with 403"
"n_dead","5","whose link in the survey is dead"
"n_noconn","3","that did not complete a connection at all"
"n_pdf","6","of those that answered are a PDF to print"
"n_login","11","that ask you to log in"
"n_app","26","that present an application or request form"
"n_fee","23","that mention a fee, a cost or a purchase"
"n_linked","3","states whose page links a data file at all"
"nc_bytes","519773993","bytes of North Carolina's statewide file, served without a login"
"nc_mb","496","the same, in megabytes"
"me_bytes","9485160","bytes of Maine's openly posted absentee file"
"n_true_download","1","jurisdictions of 51 that publish the list for download"
"n_rot","8","of the survey's own links that did not resolve"
"rot_pct","15.7","the same, as a share"
"eac_made","2020-10-30","the EAC price table's own creation date, from its PDF metadata; nothing on the page says it"
"price_captured","2026-08-29","the day both price tables were captured"
"eac_max","37000","the highest price in the EAC table"
"eac_max_state","Alabama","and the state it belongs to"
"eac_free","11","jurisdictions the EAC prices at nothing"
"bp_not_a_number","8","jurisdictions whose 2026 price is not a single dollar amount"
"n_comparable","43","jurisdictions where both tables give one plain number"
"n_same","25","... and the two agree"
"n_differ","18","... and they do not"
"ga_eac","250","the EAC's price for Georgia"
"ga_bp","$485","Ballotpedia's price for Georgia"
