"state","http","content_type","bytes","is_pdf","login","application","fee","data_links"
"Alabama","200","text/html",15430,0,0,1,1,0
"Alaska","200","text/html",85428,0,1,1,1,0
"Arizona","403","text/html",5541,0,0,0,0,0
"Arkansas","404","text/html",57335,0,0,0,0,0
"California","200","text/html",70648,0,1,1,1,0
"Colorado","000","",0,0,0,0,0,0
"Connecticut","200","text/html",32300,0,0,1,1,0
"Delaware","000","",0,0,0,0,0,0
"District of Columbia","200","text/html",37538,0,0,1,1,0
"Florida","200","text/html",25620,0,0,1,0,0
"Georgia","403","text/html",5536,0,0,0,1,0
"Hawaii","200","text/html",119123,0,1,1,1,0
"Idaho","404","text/html",131359,0,0,1,1,0
"Illinois","200","text/html",36523,0,0,1,1,0
"Indiana","200","text/html",36356,0,0,0,1,0
"Iowa","403","text/html",5568,0,0,0,0,0
"Kansas","200","application/pdf",642618,1,0,1,0,0
"Kentucky","200","text/html",77740,0,0,1,1,0
"Louisiana","404","text/html",43034,0,0,1,1,0
"Maine","200","text/html",87317,0,0,1,1,4
"Maryland","200","text/html",15295,0,0,1,1,0
"Massachusetts","403","text/html",14062,0,0,0,0,0
"Michigan","200","application/pdf",253879,1,0,0,0,0
"Minnesota","200","text/html",15103,0,0,0,0,0
"Mississippi","403","text/html",459,0,0,0,0,0
"Missouri","200","text/html",24017,0,1,1,0,0
"Montana","403","text/html",8084,0,0,0,0,0
"Nebraska","200","text/html",44155,0,1,1,1,0
"Nevada","200","text/html",1042,0,0,0,0,0
"New Hampshire","403","text/html",463,0,0,0,0,0
"New Jersey","200","text/html",399930,0,1,1,1,0
"New Mexico","200","text/html",110629,0,1,1,1,0
"New York","403","text/html",5527,0,0,0,0,0
"North Carolina","200","text/html",105347,0,0,1,1,183
"North Dakota","200","application/pdf",89884,1,0,0,0,0
"Ohio","403","text/html",1253632,0,0,1,1,0
"Oklahoma","200","text/html",138298,0,0,1,1,0
"Oregon","200","text/html",105317,0,1,1,1,0
"Pennsylvania","200","text/html",189459,0,0,1,1,0
"Rhode Island","200","application/pdf",92919,1,0,1,0,0
"South Carolina","200","text/html",65033,0,1,1,1,0
"South Dakota","404","text/html",1245,0,0,0,0,0
"Tennessee","200","text/html",85078,0,1,1,1,0
"Texas","200","application/pdf",1421595,1,0,1,0,0
"Utah","000","",0,0,0,0,0,0
"Vermont","200","text/html",70477,0,0,0,0,0
"Virginia","200","text/html",41172,0,0,1,1,1
"Washington","403","text/html",5628,0,0,0,0,0
"West Virginia","404","text/html",93228,0,1,1,1,0
"Wisconsin","200","text/html",7327,0,1,0,1,0
"Wyoming","200","application/pdf",359640,1,0,1,1,0
