"check","value"
"the survey covers every state plus the District",TRUE
"every address falls into exactly one outcome",TRUE
"asking is the norm: most answering pages present a form",TRUE
"the linked-file count and the opened-file list agree",TRUE
"only one of the three linked files is the registration list",TRUE
"both price tables cover every state plus the District",TRUE
"the EAC document prints no date and its file records one",TRUE
"the two tables give the same plain price for fewer than half the country",TRUE
