state_postal,county_fips,county_name,votes_dem,votes_gop,total_votes,level
AL,01073,Jefferson,162112,131123,296741,county
AL,01089,Madison,87824,105430,196355,county
AL,01097,Mobile,72055,100759,174545,county
AL,01003,Baldwin,24934,95798,121808,county
AL,01117,Shelby,33087,79666,114043,county
AL,01101,Montgomery,57946,30477,89375,county
AL,01125,Tuscaloosa,33399,50724,84879,county
AL,01081,Lee,25798,46020,72695,county
AL,01103,Morgan,12392,40449,53369,county
AL,01083,Limestone,14581,37887,53096,county
AL,01015,Calhoun,13194,34912,48530,county
AL,01055,Etowah,10027,35653,46023,county
AL,01069,Houston,11352,32469,44195,county
AL,01077,Lauderdale,10326,32708,43454,county
AL,01115,St. Clair,7640,35501,43440,county
AL,01043,Cullman,4039,38704,43052,county
AL,01051,Elmore,9774,31374,41491,county
AL,01095,Marshall,5553,34434,40277,county
AL,01121,Talladega,10898,22100,33175,county
AL,01127,Walker,4102,25464,29747,county
AL,01049,DeKalb,3758,25633,29583,county
AL,01001,Autauga,7439,20484,28190,county
AL,01009,Blount,2576,25354,28115,county
AL,01033,Colbert,7137,19714,27086,county
AL,01071,Jackson,3276,20073,23509,county
AL,01031,Coffee,4601,17495,22270,county
AL,01113,Russell,10422,10078,20679,county
AL,01123,Tallapoosa,4975,14884,19980,county
AL,01021,Chilton,2698,16920,19728,county
AL,01045,Dale,4484,14476,19103,county
AL,01039,Covington,2314,14677,17072,county
AL,01079,Lawrence,2983,13024,16115,county
AL,01047,Dallas,10236,5190,15528,county
AL,01053,Escambia,3964,10884,14929,county
AL,01017,Chambers,5405,8711,14221,county
AL,01093,Marion,1197,12245,13523,county
AL,01109,Pike,4899,8224,13214,county
AL,01019,Cherokee,1553,11358,12984,county
AL,01061,Geneva,1391,10929,12390,county
AL,01059,Franklin,1568,10417,12077,county
AL,01025,Clarke,4927,6965,11946,county
AL,01133,Winston,884,10191,11129,county
AL,01111,Randolph,1920,9102,11075,county
AL,01005,Barbour,4158,5606,9832,county
AL,01099,Monroe,3740,6007,9799,county
AL,01091,Marengo,4631,4995,9673,county
AL,01067,Henry,2263,6989,9301,county
AL,01007,Bibb,1619,7572,9241,county
AL,01107,Pickens,3388,5465,8898,county
AL,01013,Butler,3251,5172,8467,county
AL,01129,Washington,1863,6534,8430,county
AL,01057,Fayette,1142,7158,8356,county
AL,01087,Macon,6084,1682,7820,county
AL,01029,Cleburne,605,6988,7637,county
AL,01065,Hale,3868,3369,7290,county
AL,01075,Lamar,806,6033,6875,county
AL,01027,Clay,993,5734,6757,county
AL,01023,Choctaw,2515,4103,6646,county
AL,01041,Crenshaw,1457,5000,6480,county
AL,01035,Conecuh,2580,3423,6043,county
AL,01085,Lowndes,3867,1758,5652,county
AL,01119,Sumter,3725,1542,5297,county
AL,01037,Coosa,1478,3758,5264,county
AL,01131,Wilcox,3449,1793,5260,county
AL,01105,Perry,3174,1269,4457,county
AL,01011,Bullock,2983,1101,4106,county
AL,01063,Greene,3133,885,4035,county
