state_postal,fips_state,votes_dem,votes_gop,total_votes,certified,provider
AK,02,140026,184458,338177,True,ap
AL,01,772412,1462616,2256352,True,ap
AR,05,396905,759241,1182676,True,ap
AZ,04,1582860,1770242,3389319,True,ap
CA,06,9276179,6081697,15862536,True,ap
CO,08,1728159,1377441,3190873,True,ap
CT,09,992053,736918,1758429,True,ap
DC,11,294185,21076,318039,True,ap
DE,10,289758,214351,511697,True,ap
FL,12,4683038,6110125,10893547,True,ap
GA,13,2548017,2663117,5250047,True,ap
HI,15,313044,193661,516701,True,ap
IA,19,707278,927019,1656849,True,ap
ID,16,274972,605246,904812,True,ap
IL,17,3062863,2449079,5592368,True,ap
IN,18,1163603,1720347,2933700,True,ap
KS,20,544853,758802,1327591,True,ap
KY,21,704043,1337494,2073309,True,ap
LA,22,766870,1208505,2006975,True,ap
MA,25,2126545,1251308,3453437,True,ap
MD,24,1902577,1035550,3015650,True,ap
ME,23,435652,377977,831375,True,ap
MI,26,2736533,2816636,5662504,True,ap
MN,27,1656979,1519032,3240916,True,ap
MO,29,1200599,1751986,2993596,True,ap
MS,28,466668,747744,1228008,False,ap
MT,30,231906,352079,602963,True,ap
NC,37,2715375,2898423,5679647,True,ap
ND,38,112327,246505,365059,True,ap
NE,31,369995,564816,947159,True,ap
NH,33,418488,395523,822116,True,ap
NJ,34,2220713,1968215,4272725,True,ap
NM,35,478802,423391,923403,True,ap
NV,32,705197,751205,1484840,True,ap
NY,36,4619543,3579519,8199062,True,ap
OH,39,2533699,3180116,5765017,True,ap
OK,40,499599,1036213,1566173,True,ap
OR,41,1240600,919480,2229467,True,ap
PA,42,3423042,3543308,7034206,True,ap
RI,44,285156,214406,510659,True,ap
SC,45,1028452,1483747,2548140,True,ap
SD,46,146859,272081,428922,True,ap
TN,47,1056265,1966865,3063942,True,ap
TX,48,4835250,6393597,11380105,True,ap
UT,49,562566,883818,1487951,True,ap
VA,51,2335395,2075085,4482576,True,ap
VT,50,235791,119395,366389,True,ap
WA,53,2245849,1530923,3898835,True,ap
WI,55,1668229,1697626,3415213,True,ap
WV,54,214309,533556,762390,True,ap
WY,56,69527,192633,266353,True,ap
