"county_fips","county_name_o","state_name_o","total_votes_o","total_votes_c","dt"
"29095","Jackson","Missouri",193729,317702,-123973
"17031","Cook","Illinois",2079239,2056800,22439
"36047","Kings","New York",847934,835229,12705
"17043","DuPage","Illinois",460668,449660,11008
"36081","Queens","New York",712191,701910,10281
"41005","Clackamas","Oregon",246240,237953,8287
"53033","King","Washington",1130502,1122881,7621
"36061","New York","New York",654372,647703,6669
"23005","Cumberland","Maine",192656,199225,-6569
"36059","Nassau","New York",712349,706541,5808
"41051","Multnomah","Oregon",414250,408474,5776
"25017","Middlesex","Massachusetts",814832,809513,5319
"24031","Montgomery County","Maryland",519221,513919,5302
"41017","Deschutes","Oregon",127375,122417,4958
"41039","Lane","Oregon",211285,206547,4738
