"year","county","dem","rep","oth","total"
2012,"ALAMANCE",25624,40044,1445,67113
2012,"ALEXANDER",3768,13216,243,17227
2012,"ALLEGHANY",1506,3419,126,5051
2012,"ANSON",6591,4561,105,11257
2012,"ASHE",3659,8729,288,12676
2012,"AVERY",1456,6010,187,7653
2012,"BEAUFORT",8992,14124,391,23507
2012,"BERTIE",6587,3365,85,10037
2012,"BLADEN",8118,7545,189,15852
2012,"BRUNSWICK",18652,36907,1223,56782
2012,"BUNCOMBE",64389,57541,4257,126187
2012,"BURKE",10866,24972,684,36522
2012,"CABARRUS",24827,56888,1563,83278
2012,"CALDWELL",8402,25771,739,34912
2012,"CAMDEN",1587,2831,186,4604
2012,"CARTERET",9141,25584,663,35388
2012,"CASWELL",5168,5536,194,10898
2012,"CATAWBA",18352,49725,1178,69255
2012,"CHATHAM",16920,17517,787,35224
2012,"CHEROKEE",3683,8193,584,12460
2012,"CHOWAN",3538,3658,134,7330
2012,"CLAY",1641,3680,203,5524
2012,"CLEVELAND",16193,26368,560,43121
2012,"COLUMBUS",11737,11857,375,23969
2012,"CRAVEN",17118,27842,853,45813
2012,"CUMBERLAND",70680,52310,2751,125741
2012,"CURRITUCK",3329,7073,581,10983
2012,"DARE",6941,9905,697,17543
2012,"DAVIDSON",17758,51500,1483,70741
2012,"DAVIE",4792,15466,390,20648
2012,"DUPLIN",8843,11333,255,20431
2012,"DURHAM",102533,38467,3821,144821
2012,"EDGECOMBE",17948,8695,217,26860
2012,"FORSYTH",81872,87499,3671,173042
2012,"FRANKLIN",12282,15370,625,28277
2012,"GASTON",26877,61844,1412,90133
2012,"GATES",2862,2334,126,5322
2012,"GRAHAM",1210,2605,99,3914
2012,"GRANVILLE",12605,13052,506,26163
2012,"GREENE",3745,4388,80,8213
2012,"GUILFORD",130798,114906,5560,251264
2012,"HALIFAX",16973,8951,220,26144
2012,"HARNETT",16033,26289,913,43235
2012,"HAYWOOD",10907,16016,742,27665
2012,"HENDERSON",16590,33807,1365,51762
2012,"HERTFORD",7793,2840,119,10752
2012,"HOKE",9513,6956,395,16864
2012,"HYDE",1080,1240,51,2371
2012,"IREDELL",20043,54587,1327,75957
2012,"JACKSON",7554,8517,584,16655
2012,"JOHNSTON",24691,50225,1504,76420
2012,"JONES",2224,2927,64,5215
2012,"LEE",10083,13528,481,24092
2012,"LENOIR",13498,14020,313,27831
2012,"LINCOLN",8227,27845,587,36659
2012,"MACON",5565,10669,490,16724
2012,"MADISON",4272,5586,303,10161
2012,"MARTIN",6611,5851,134,12596
2012,"MCDOWELL",5624,11905,467,17996
2012,"MECKLENBURG",216826,219927,7879,444632
2012,"MITCHELL",1646,5841,185,7672
2012,"MONTGOMERY",4320,6730,179,11229
2012,"MOORE",14792,30460,756,46008
2012,"NASH",23449,24471,481,48401
2012,"NEW HANOVER",41633,57108,3170,101911
2012,"NORTHAMPTON",7115,3477,117,10709
2012,"ONSLOW",16520,32732,1408,50660
2012,"ORANGE",48684,24492,2379,75555
2012,"PAMLICO",2450,4122,131,6703
2012,"PASQUOTANK",10082,7139,483,17704
2012,"PENDER",8726,15113,521,24360
2012,"PERQUIMANS",2757,3544,160,6461
2012,"PERSON",7784,10672,361,18817
2012,"PITT",38877,37999,1401,78277
2012,"POLK",3954,6065,248,10267
2012,"RANDOLPH",12939,46583,1162,60684
2012,"RICHMOND",9119,9795,342,19256
2012,"ROBESON",25474,16113,778,42365
2012,"ROCKINGHAM",15062,25890,787,41739
2012,"ROWAN",18066,42947,1023,62036
2012,"RUTHERFORD",12203,16005,489,28697
2012,"SAMPSON",11327,14506,287,26120
2012,"SCOTLAND",7993,5556,299,13848
2012,"STANLY",6725,21523,401,28649
2012,"STOKES",5518,15580,519,21617
2012,"SURRY",7982,20757,612,29351
2012,"SWAIN",2532,2952,206,5690
2012,"TRANSYLVANIA",6205,9879,470,16554
2012,"TYRRELL",811,919,30,1760
2012,"UNION",24407,68095,1573,94075
2012,"VANCE",12880,7647,202,20729
2012,"WAKE",233822,234584,13696,482102
2012,"WARREN",6603,3300,105,10008
2012,"WASHINGTON",3824,2591,66,6481
2012,"WATAUGA",10930,14887,1258,27075
2012,"WAYNE",22106,28259,699,51064
2012,"WILKES",7047,21455,590,29092
2012,"WILSON",20058,18288,444,38790
2012,"YADKIN",3339,13070,355,16764
2012,"YANCEY",4122,5245,181,9548
2016,"ALAMANCE",32032,37501,1283,70816
2016,"ALEXANDER",4648,13248,387,18283
2016,"ALLEGHANY",1643,3583,97,5323
