"item","value","count"
"dem_black",0,41
"dem_black",1,7
"dem_black",2,2
"dem_black",3,6
"dem_black",4,1
"dem_black",5,20
"dem_black",6,5
"dem_black",7,2
"dem_black",8,2
"dem_black",9,0
"dem_black",10,58
"dem_black",11,2
"dem_black",12,5
"dem_black",13,3
"dem_black",14,1
"dem_black",15,44
"dem_black",16,1
"dem_black",17,2
"dem_black",18,2
"dem_black",19,1
"dem_black",20,81
"dem_black",21,0
"dem_black",22,3
"dem_black",23,4
"dem_black",24,1
"dem_black",25,98
"dem_black",26,1
"dem_black",27,1
"dem_black",28,3
"dem_black",29,0
"dem_black",30,86
"dem_black",31,0
"dem_black",32,1
"dem_black",33,3
"dem_black",34,0
"dem_black",35,25
"dem_black",36,1
"dem_black",37,0
"dem_black",38,1
"dem_black",39,1
"dem_black",40,74
"dem_black",41,0
"dem_black",42,0
"dem_black",43,2
"dem_black",44,2
"dem_black",45,23
"dem_black",46,1
"dem_black",47,1
"dem_black",48,0
"dem_black",49,1
"dem_black",50,86
"dem_black",51,0
"dem_black",52,0
"dem_black",53,0
"dem_black",54,0
"dem_black",55,10
"dem_black",56,2
"dem_black",57,0
"dem_black",58,0
"dem_black",59,0
"dem_black",60,40
"dem_black",61,0
"dem_black",62,0
"dem_black",63,0
"dem_black",64,0
"dem_black",65,14
"dem_black",66,0
"dem_black",67,1
"dem_black",68,0
"dem_black",69,0
"dem_black",70,28
"dem_black",71,0
"dem_black",72,2
"dem_black",73,0
"dem_black",74,0
"dem_black",75,31
"dem_black",76,0
"dem_black",77,1
"dem_black",78,1
"dem_black",79,0
"dem_black",80,37
"dem_black",81,0
"dem_black",82,0
"dem_black",83,0
"dem_black",84,0
"dem_black",85,19
"dem_black",86,0
"dem_black",87,0
"dem_black",88,0
"dem_black",89,1
"dem_black",90,50
"dem_black",91,0
"dem_black",92,2
"dem_black",93,1
"dem_black",94,0
"dem_black",95,21
"dem_black",96,1
"dem_black",97,3
"dem_black",98,3
"dem_black",99,7
"dem_black",100,20
"dem_union",0,62
"dem_union",1,8
"dem_union",2,2
"dem_union",3,3
"dem_union",4,1
"dem_union",5,32
"dem_union",6,1
"dem_union",7,4
"dem_union",8,3
"dem_union",9,4
"dem_union",10,81
"dem_union",11,1
"dem_union",12,1
"dem_union",13,2
"dem_union",14,0
"dem_union",15,46
"dem_union",16,1
"dem_union",17,2
"dem_union",18,4
"dem_union",19,1
"dem_union",20,85
"dem_union",21,0
"dem_union",22,3
"dem_union",23,1
"dem_union",24,1
"dem_union",25,95
"dem_union",26,3
"dem_union",27,0
"dem_union",28,0
"dem_union",29,0
"dem_union",30,71
"dem_union",31,0
"dem_union",32,1
"dem_union",33,0
"dem_union",34,0
"dem_union",35,21
"dem_union",36,0
"dem_union",37,0
"dem_union",38,3
"dem_union",39,1
"dem_union",40,65
"dem_union",41,0
"dem_union",42,0
"dem_union",43,0
"dem_union",44,0
"dem_union",45,22
"dem_union",46,0
"dem_union",47,0
"dem_union",48,2
"dem_union",49,1
"dem_union",50,79
"dem_union",51,0
"dem_union",52,0
"dem_union",53,0
"dem_union",54,0
"dem_union",55,13
"dem_union",56,1
"dem_union",57,0
"dem_union",58,0
"dem_union",59,1
"dem_union",60,51
"dem_union",61,0
"dem_union",62,0
"dem_union",63,0
"dem_union",64,0
"dem_union",65,29
"dem_union",66,0
"dem_union",67,1
"dem_union",68,0
"dem_union",69,1
"dem_union",70,27
"dem_union",71,0
"dem_union",72,0
"dem_union",73,0
"dem_union",74,1
"dem_union",75,41
"dem_union",76,1
"dem_union",77,0
"dem_union",78,1
"dem_union",79,0
"dem_union",80,31
"dem_union",81,0
"dem_union",82,0
"dem_union",83,0
"dem_union",84,1
"dem_union",85,10
"dem_union",86,0
"dem_union",87,0
"dem_union",88,0
"dem_union",89,0
"dem_union",90,33
"dem_union",91,0
"dem_union",92,0
"dem_union",93,0
"dem_union",94,0
"dem_union",95,12
"dem_union",96,0
"dem_union",97,2
"dem_union",98,2
"dem_union",99,5
"dem_union",100,23
"dem_aa",0,89
"dem_aa",1,17
"dem_aa",2,14
"dem_aa",3,5
"dem_aa",4,5
"dem_aa",5,90
"dem_aa",6,2
"dem_aa",7,3
"dem_aa",8,5
"dem_aa",9,1
"dem_aa",10,143
"dem_aa",11,1
"dem_aa",12,3
"dem_aa",13,1
"dem_aa",14,5
"dem_aa",15,44
"dem_aa",16,2
"dem_aa",17,1
"dem_aa",18,1
"dem_aa",19,2
"dem_aa",20,97
"dem_aa",21,0
"dem_aa",22,1
"dem_aa",23,0
"dem_aa",24,1
"dem_aa",25,90
"dem_aa",26,2
"dem_aa",27,2
"dem_aa",28,0
"dem_aa",29,0
"dem_aa",30,57
"dem_aa",31,0
"dem_aa",32,0
"dem_aa",33,1
"dem_aa",34,1
"dem_aa",35,13
"dem_aa",36,0
"dem_aa",37,0
"dem_aa",38,1
"dem_aa",39,0
"dem_aa",40,38
"dem_aa",41,0
"dem_aa",42,1
"dem_aa",43,0
"dem_aa",44,0
"dem_aa",45,14
"dem_aa",46,1
"dem_aa",47,0
"dem_aa",48,1
"dem_aa",49,0
"dem_aa",50,88
"dem_aa",51,1
"dem_aa",52,0
"dem_aa",53,0
"dem_aa",54,0
"dem_aa",55,1
"dem_aa",56,1
"dem_aa",57,0
"dem_aa",58,0
"dem_aa",59,0
"dem_aa",60,29
"dem_aa",61,0
"dem_aa",62,0
"dem_aa",63,0
"dem_aa",64,1
"dem_aa",65,7
"dem_aa",66,0
"dem_aa",67,1
"dem_aa",68,1
"dem_aa",69,0
"dem_aa",70,19
"dem_aa",71,0
"dem_aa",72,0
"dem_aa",73,0
"dem_aa",74,0
"dem_aa",75,14
"dem_aa",76,0
"dem_aa",77,0
"dem_aa",78,1
"dem_aa",79,0
"dem_aa",80,21
"dem_aa",81,0
"dem_aa",82,0
"dem_aa",83,0
"dem_aa",84,0
"dem_aa",85,8
"dem_aa",86,0
"dem_aa",87,0
"dem_aa",88,0
"dem_aa",89,0
"dem_aa",90,24
"dem_aa",91,0
"dem_aa",92,1
"dem_aa",93,0
"dem_aa",94,0
"dem_aa",95,5
"dem_aa",96,0
"dem_aa",97,1
"dem_aa",98,1
"dem_aa",99,3
"dem_aa",100,17
"dem_lgb",0,64
"dem_lgb",1,15
"dem_lgb",2,20
"dem_lgb",3,8
"dem_lgb",4,4
"dem_lgb",5,75
