"item","party","group","asked","field","question","actual_pct","actual_se","published_pct","perceived_pct","perceived_se","perceived_n","plain_mean","median","q25","q75","gap_mean","gap_median"
"dem_black","Democratic","Black","Black","percep_dem_black","Out of every 100 Democrats, how many do you think are Black?",23.99,0.77,41.93,41.93,0.9,1000,41.8,35,20,60,17.94,11.01
"dem_union","Democratic","Union","a member of a labour union","percep_dem_union","Out of every 100 Democrats, how many do you think belong to a labour union?",10.52,0.55,39.33,39.33,0.89,1000,38.78,30,15,60,28.81,19.48
"dem_aa","Democratic","Atheist/Agnostic","atheist or agnostic","percep_dem_atheist","Out of every 100 Democrats, how many do you think are atheist or agnostic?",8.67,0.56,28.69,28.69,0.85,1000,28.53,20,10,45,20.02,11.33
"dem_lgb","Democratic","LGB","lesbian, gay or bisexual","percep_dem_lgb","Out of every 100 Democrats, how many do you think are lesbian, gay or bisexual?",6.28,0.44,31.71,31.71,0.94,1000,31.85,20,10,50,25.43,13.72
"rep_evang","Republican","Evangelical","an evangelical Christian","percep_rep_evangelical","Out of every 100 Republicans, how many do you think are evangelical Christians?",34.3,1.76,41.56,41.56,0.9,1000,43.08,40,20,65,7.26,5.7
"rep_rich","Republican","$250K+ Income","earning over $250,000 a year","percep_rep_250k","Out of every 100 Republicans, how many do you think earn more than $250,000 a year?",2.19,0.33,38.25,38.25,0.94,1000,37.88,30,10,60,36.06,27.81
"rep_old","Republican","Age 65+","65 or older","percep_rep_65plus","Out of every 100 Republicans, how many do you think are 65 or older?",21.3,0.92,39.14,39.14,0.75,1000,39.34,40,20,55.25,17.84,18.7
"rep_south","Republican","Southern","Southern","percep_rep_south","Out of every 100 Republicans, how many do you think live in the South?",35.65,1.07,40.39,40.39,0.79,1000,40.48,40,25,60,4.74,4.35
