"item","party","group","respondent","relation","n","actual_pct","guess","gap"
"dem_black","Democratic","Black","Democrats","own party",438,23.99,39.37,15.38
"dem_black","Democratic","Black","Republicans","other party",336,23.99,46.39,22.4
"dem_black","Democratic","Black","Independents","neither",226,23.99,40.2,16.21
"dem_union","Democratic","Union","Democrats","own party",438,10.52,36.82,26.3
"dem_union","Democratic","Union","Republicans","other party",336,10.52,43.53,33.01
"dem_union","Democratic","Union","Independents","neither",226,10.52,37.85,27.33
"dem_aa","Democratic","Atheist/Agnostic","Democrats","own party",438,8.67,24.45,15.78
"dem_aa","Democratic","Atheist/Agnostic","Republicans","other party",336,8.67,35.66,26.99
"dem_aa","Democratic","Atheist/Agnostic","Independents","neither",226,8.67,26.32,17.65
"dem_lgb","Democratic","LGB","Democrats","own party",438,6.28,29.03,22.75
"dem_lgb","Democratic","LGB","Republicans","other party",336,6.28,38.24,31.96
"dem_lgb","Democratic","LGB","Independents","neither",226,6.28,27.57,21.29
"rep_evang","Republican","Evangelical","Democrats","other party",438,34.3,43.68,9.38
"rep_evang","Republican","Evangelical","Republicans","own party",336,34.3,43.23,8.93
"rep_evang","Republican","Evangelical","Independents","neither",226,34.3,36.36,2.06
"rep_rich","Republican","$250K+ Income","Democrats","other party",438,2.19,44.06,41.87
"rep_rich","Republican","$250K+ Income","Republicans","own party",336,2.19,33.29,31.1
"rep_rich","Republican","$250K+ Income","Independents","neither",226,2.19,35.82,33.63
"rep_old","Republican","Age 65+","Democrats","other party",438,21.3,44.16,22.86
"rep_old","Republican","Age 65+","Republicans","own party",336,21.3,38.32,17.02
"rep_old","Republican","Age 65+","Independents","neither",226,21.3,32.78,11.48
"rep_south","Republican","Southern","Democrats","other party",438,35.65,44.36,8.71
"rep_south","Republican","Southern","Republicans","own party",336,35.65,39.7,4.05
"rep_south","Republican","Southern","Independents","neither",226,35.65,35.42,-0.23
