"column","where"
"pew_churatd","codebook only"
"pew_prayer","codebook only"
"pew_religimp","codebook only"
"ideo5","file only"
"newsint","file only"
"newsint_r","file only"
"pid3","file only"
"pid7","file only"
"votereg","file only"
