"key","value"
"n_resp","1000"
"n_answers","8000"
"n_items","8"
"maxdiff","2.38e-06"
"gap_mean","19.8"
"gap_median","14"
"gap_shrink_pct","29.1"
"r_actual_perc","0.633"
"span_actual","33.5"
"span_perceived","13.2"
"mult10","61.1"
"mult5","91.6"
"not_mult5","8.4"
"eq50","8.9"
"worst_group","$250K+ Income"
"worst_party","Republican"
"worst_actual","2.19"
"worst_perceived","38.25"
"worst_gap","36.06"
"best_group","Southern"
"best_gap","4.74"
"drop_group","LGB"
"drop_gap_mean","25.43"
"drop_gap_median","13.72"
"drop_median","20"
"drop_perceived","31.71"
"se_group","Evangelical"
"se_actual","34.3"
"se_se","1.76"
"se_lo","30.9"
"se_hi","37.7"
"own_gap","17.7"
"other_gap","24.6"
"neither_gap","16.2"
"own_other_diff","6.9"
"own_gap_strict","17.3"
"other_gap_strict","23.3"
"diff_strict","6"
"worst_cell_who","Democrats"
"worst_cell_group","$250K+ Income"
"worst_cell_about_word","Republicans"
"worst_cell_asked","earning over $250,000 a year"
"worst_cell_gap","41.87"
"n_dem","438"
"n_rep","336"
"n_ind","226"
"nonint","1"
"n_documented","23"
"n_carried","26"
"n_unshipped","3"
"n_undoc","6"
"unshipped","pew_churatd, pew_prayer, pew_religimp"
"undoc","ideo5, newsint, newsint_r, pid3, pid7, votereg"
