"check","value"
"respondents in the YouGov study","1,000"
"answers behind the eight points","8,000"
"worst item, recomputed against published (pts)","2.38e-06"
"average gap on weighted means (pts)","19.8"
"average gap on medians (pts)","14.0"
"correlation, true share against perceived","0.633"
"answers that are a multiple of ten (%)","61.1"
"answers that are a multiple of five (%)","91.6"
"answers of exactly fifty (%)","8.9"
"respondents by side (D / R / neither)","438 / 336 / 226"
"average overestimate of one's OWN party (pts)","17.7"
"average overestimate of the OTHER party (pts)","24.6"
"the same, counting leaners as independents (pts)","own 17.3, other 23.3"
"answers that are not whole numbers","1"
"columns the codebook documents","23"
"columns the deposited file carries","26"
"documented but not in the file","pew_churatd, pew_prayer, pew_religimp"
"in the file but not documented","ideo5, newsint, newsint_r, pid3, pid7, votereg"
"facts written","53"
