"respondent","weight","pid7","item","party","group","estimate"
246126563,0.298633,"Not sure","dem_black","Democratic","Black",10
246143771,1.04435,"Not sure","dem_black","Democratic","Black",10
246160869,0.843427,"Not sure","dem_black","Democratic","Black",20
246148403,0.734295,"Not sure","dem_black","Democratic","Black",23
246136902,0.42613,"Not sure","dem_black","Democratic","Black",0
246189730,0.498002,"Not sure","dem_black","Democratic","Black",50
246146930,0.496707,"Not sure","dem_black","Democratic","Black",25
246178219,1.39961,"Not sure","dem_black","Democratic","Black",0
246208094,1.7464,"Not sure","dem_black","Democratic","Black",50
246284539,0.408961,"Not sure","dem_black","Democratic","Black",25
246152418,0.8003,"Not sure","dem_black","Democratic","Black",0
246105184,0.518482,"Not sure","dem_black","Democratic","Black",10
246274116,4.08354,"Not sure","dem_black","Democratic","Black",20
246178115,0.347859,"Not sure","dem_black","Democratic","Black",100
246254763,2.64604,"Not sure","dem_black","Democratic","Black",1
246198345,2.04411,"Not sure","dem_black","Democratic","Black",75
246091889,0.815379,"Not sure","dem_black","Democratic","Black",25
246188017,0.875445,"Not sure","dem_black","Democratic","Black",50
246146893,0.311416,"Not sure","dem_black","Democratic","Black",25
246178050,1.7738,"Not sure","dem_black","Democratic","Black",15
246206926,1.43843,"Not sure","dem_black","Democratic","Black",100
246062484,0.595576,"Not sure","dem_black","Democratic","Black",10
246134813,0.416759,"Not sure","dem_black","Democratic","Black",40
246191404,1.46464,"Not sure","dem_black","Democratic","Black",50
246080265,0.857904,"Not sure","dem_black","Democratic","Black",90
246138371,0.292005,"Not sure","dem_black","Democratic","Black",0
245631576,1.541,"Not sure","dem_black","Democratic","Black",0
246196802,1.31203,"Not sure","dem_black","Democratic","Black",40
246153666,0.498002,"Not sure","dem_black","Democratic","Black",40
246184069,0.244062,"Not sure","dem_black","Democratic","Black",40
246219654,0.409609,"Not sure","dem_black","Democratic","Black",0
246126664,0.83154,"Not sure","dem_black","Democratic","Black",60
246129758,0.390001,"Not sure","dem_black","Democratic","Black",30
246146671,0.347859,"Not sure","dem_black","Democratic","Black",25
246213924,0.329401,"Not sure","dem_black","Democratic","Black",45
246129810,0.688075,"Not sure","dem_black","Democratic","Black",15
246180783,0.828595,"Not sure","dem_black","Democratic","Black",0
246137053,1.42968,"Not sure","dem_black","Democratic","Black",100
246152604,4.08354,"Not sure","dem_black","Democratic","Black",100
246187988,0.875445,"Not sure","dem_black","Democratic","Black",60
246220990,1.7219,"Not sure","dem_black","Democratic","Black",5
246116442,0.469257,"Not sure","dem_black","Democratic","Black",30
246044394,0.385555,"Not sure","dem_black","Democratic","Black",50
246191450,1.04196,"Not sure","dem_black","Democratic","Black",0
246147237,1.7738,"Not sure","dem_black","Democratic","Black",25
246121261,1.29279,"Not sure","dem_black","Democratic","Black",45
246141035,0.594472,"Lean Democrat","dem_black","Democratic","Black",15
246144963,2.04411,"Lean Democrat","dem_black","Democratic","Black",20
246154090,0.432951,"Strong Democrat","dem_black","Democratic","Black",4
246141012,1.03382,"Strong Democrat","dem_black","Democratic","Black",5
246191757,0.871404,"Lean Democrat","dem_black","Democratic","Black",60
246301966,0.300089,"Not very strong Democrat","dem_black","Democratic","Black",30
246173961,0.665357,"Strong Democrat","dem_black","Democratic","Black",25
246130224,0.753757,"Lean Democrat","dem_black","Democratic","Black",30
246203193,1.85328,"Not very strong Democrat","dem_black","Democratic","Black",40
246142931,0.40566,"Strong Democrat","dem_black","Democratic","Black",50
246170982,0.297922,"Strong Democrat","dem_black","Democratic","Black",15
246138522,0.567055,"Lean Democrat","dem_black","Democratic","Black",10
245963087,0.538762,"Strong Democrat","dem_black","Democratic","Black",55
246175657,1.12555,"Strong Democrat","dem_black","Democratic","Black",80
246139126,2.22796,"Not very strong Democrat","dem_black","Democratic","Black",40
246134511,0.688075,"Not very strong Democrat","dem_black","Democratic","Black",20
246211366,2.19622,"Not very strong Democrat","dem_black","Democratic","Black",1
246122478,0.808536,"Strong Democrat","dem_black","Democratic","Black",70
246152304,0.364356,"Strong Democrat","dem_black","Democratic","Black",95
246139273,0.558099,"Strong Democrat","dem_black","Democratic","Black",60
246134817,0.416759,"Lean Democrat","dem_black","Democratic","Black",12
246126953,0.288699,"Lean Democrat","dem_black","Democratic","Black",25
246164923,0.416804,"Strong Democrat","dem_black","Democratic","Black",10
246127284,2.52284,"Lean Democrat","dem_black","Democratic","Black",60
246139582,0.348774,"Lean Democrat","dem_black","Democratic","Black",20
246127659,0.67495,"Lean Democrat","dem_black","Democratic","Black",15
246004896,0.4322,"Lean Democrat","dem_black","Democratic","Black",12
246137519,0.558099,"Not very strong Democrat","dem_black","Democratic","Black",60
246193104,1.00293,"Strong Democrat","dem_black","Democratic","Black",80
246171467,2.15799,"Lean Democrat","dem_black","Democratic","Black",100
246162909,2.23998,"Strong Democrat","dem_black","Democratic","Black",95
246145792,0.811634,"Strong Democrat","dem_black","Democratic","Black",13
246132684,0.517173,"Strong Democrat","dem_black","Democratic","Black",30
246132134,0.429611,"Not very strong Democrat","dem_black","Democratic","Black",20
246129832,0.73643,"Strong Democrat","dem_black","Democratic","Black",25
246156529,1.34483,"Strong Democrat","dem_black","Democratic","Black",30
246097384,0.4322,"Lean Democrat","dem_black","Democratic","Black",28
246141249,0.753757,"Not very strong Democrat","dem_black","Democratic","Black",50
246130210,0.67495,"Not very strong Democrat","dem_black","Democratic","Black",40
246223828,0.744557,"Strong Democrat","dem_black","Democratic","Black",100
246181066,0.408316,"Strong Democrat","dem_black","Democratic","Black",25
246079445,1.12842,"Lean Democrat","dem_black","Democratic","Black",30
246186204,0.348766,"Not very strong Democrat","dem_black","Democratic","Black",20
246169759,0.503469,"Strong Democrat","dem_black","Democratic","Black",30
246132463,0.749911,"Not very strong Democrat","dem_black","Democratic","Black",50
246169351,0.356766,"Strong Democrat","dem_black","Democratic","Black",10
246126655,0.605337,"Lean Democrat","dem_black","Democratic","Black",25
246161079,1.038,"Lean Democrat","dem_black","Democratic","Black",20
246190137,0.653062,"Strong Democrat","dem_black","Democratic","Black",0
246192977,4.08354,"Not very strong Democrat","dem_black","Democratic","Black",23
246126718,0.517173,"Strong Democrat","dem_black","Democratic","Black",50
246134843,0.688075,"Strong Democrat","dem_black","Democratic","Black",30
246140366,0.619715,"Not very strong Democrat","dem_black","Democratic","Black",80
246126975,0.407356,"Not very strong Democrat","dem_black","Democratic","Black",25
246180775,0.603848,"Strong Democrat","dem_black","Democratic","Black",30
246082952,1.36249,"Strong Democrat","dem_black","Democratic","Black",90
246153776,0.409674,"Lean Democrat","dem_black","Democratic","Black",50
246147106,1.20014,"Lean Democrat","dem_black","Democratic","Black",0
246147107,0.545348,"Strong Democrat","dem_black","Democratic","Black",20
246139148,1.04435,"Strong Democrat","dem_black","Democratic","Black",50
246142940,2.1682,"Strong Democrat","dem_black","Democratic","Black",90
246141134,1.34435,"Not very strong Democrat","dem_black","Democratic","Black",20
246142747,1.03014,"Not very strong Democrat","dem_black","Democratic","Black",25
246076143,0.802729,"Strong Democrat","dem_black","Democratic","Black",95
246162835,0.441701,"Strong Democrat","dem_black","Democratic","Black",10
245827107,0.897403,"Not very strong Democrat","dem_black","Democratic","Black",95
246212534,0.288699,"Strong Democrat","dem_black","Democratic","Black",45
246206679,1.72352,"Lean Democrat","dem_black","Democratic","Black",25
246142991,3.45656,"Not very strong Democrat","dem_black","Democratic","Black",35
246176470,0.63156,"Lean Democrat","dem_black","Democratic","Black",15
246132099,0.429611,"Strong Democrat","dem_black","Democratic","Black",50
246175910,0.570523,"Strong Democrat","dem_black","Democratic","Black",20
246245611,0.456535,"Strong Democrat","dem_black","Democratic","Black",95
246157213,1.12555,"Not very strong Democrat","dem_black","Democratic","Black",15
246017385,0.558099,"Strong Democrat","dem_black","Democratic","Black",75
246134640,0.638433,"Strong Democrat","dem_black","Democratic","Black",85
246141104,1.99757,"Lean Democrat","dem_black","Democratic","Black",90
246213958,0.440164,"Not very strong Democrat","dem_black","Democratic","Black",25
246167471,1.0703,"Not very strong Democrat","dem_black","Democratic","Black",70
246129873,0.342121,"Strong Democrat","dem_black","Democratic","Black",35
246139039,0.468558,"Strong Democrat","dem_black","Democratic","Black",6
246136714,0.428103,"Strong Democrat","dem_black","Democratic","Black",25
246074681,0.868307,"Lean Democrat","dem_black","Democratic","Black",35
245890080,0.517173,"Strong Democrat","dem_black","Democratic","Black",45
246127678,0.638433,"Not very strong Democrat","dem_black","Democratic","Black",0
246146757,0.603848,"Lean Democrat","dem_black","Democratic","Black",80
246013294,3.19235,"Not very strong Democrat","dem_black","Democratic","Black",85
246144326,0.8003,"Lean Democrat","dem_black","Democratic","Black",1
246130208,0.773998,"Strong Democrat","dem_black","Democratic","Black",45
246149865,0.416804,"Strong Democrat","dem_black","Democratic","Black",25
246132416,0.429611,"Not very strong Democrat","dem_black","Democratic","Black",30
246135033,0.53936,"Not very strong Democrat","dem_black","Democratic","Black",30
246138948,0.688075,"Strong Democrat","dem_black","Democratic","Black",15
246145636,0.697963,"Strong Democrat","dem_black","Democratic","Black",33
246089863,1.27455,"Lean Democrat","dem_black","Democratic","Black",25
246145479,0.808536,"Strong Democrat","dem_black","Democratic","Black",15
246129046,0.976878,"Not very strong Democrat","dem_black","Democratic","Black",40
245961288,1.64597,"Strong Democrat","dem_black","Democratic","Black",32
246132073,0.450383,"Not very strong Democrat","dem_black","Democratic","Black",75
246094639,0.336553,"Strong Democrat","dem_black","Democratic","Black",22
246140830,1.61406,"Not very strong Democrat","dem_black","Democratic","Black",0
246063982,0.638433,"Not very strong Democrat","dem_black","Democratic","Black",40
246104452,0.80822,"Lean Democrat","dem_black","Democratic","Black",8
246140789,2.60959,"Not very strong Democrat","dem_black","Democratic","Black",50
246190095,0.864482,"Not very strong Democrat","dem_black","Democratic","Black",10
246129968,1.21555,"Not very strong Democrat","dem_black","Democratic","Black",10
246254335,0.988038,"Strong Democrat","dem_black","Democratic","Black",10
246188110,1.28773,"Not very strong Democrat","dem_black","Democratic","Black",25
246095016,0.343299,"Strong Democrat","dem_black","Democratic","Black",6
246140990,0.528479,"Not very strong Democrat","dem_black","Democratic","Black",25
246139129,0.546475,"Not very strong Democrat","dem_black","Democratic","Black",25
246139276,0.742562,"Strong Democrat","dem_black","Democratic","Black",35
246209657,0.283509,"Strong Democrat","dem_black","Democratic","Black",55
246142934,0.816961,"Strong Democrat","dem_black","Democratic","Black",50
245822554,0.652405,"Lean Democrat","dem_black","Democratic","Black",90
246153402,0.464827,"Strong Democrat","dem_black","Democratic","Black",20
