"state","congressional_authority"
"Alabama","Legislature"
"Alaska","One at-large seat, no map to draw"
"Arizona","Commission draws it"
"Arkansas","Legislature"
"California","Commission draws it"
"Colorado","Commission draws it"
"Connecticut","Legislature, with a back-up commission"
"Delaware","One at-large seat, no map to draw"
"Florida","Legislature"
"Georgia","Legislature"
"Hawaii","Commission draws it"
"Idaho","Commission draws it"
"Illinois","Legislature"
"Indiana","Legislature, with a back-up commission"
"Iowa","Nonpartisan staff drafts, legislature votes it up or down"
"Kansas","Legislature"
"Kentucky","Legislature"
"Louisiana","Legislature"
"Maine","Commission advises, legislature adopts"
"Maryland","Legislature"
"Massachusetts","Legislature"
"Michigan","Commission draws it"
"Minnesota","Legislature"
"Mississippi","Legislature"
"Missouri","Legislature"
"Montana","Commission draws it"
"Nebraska","Legislature"
"Nevada","Legislature"
"New Hampshire","Legislature"
"New Jersey","Commission draws it"
"New Mexico","Legislature"
"New York","Commission advises, legislature adopts"
"North Carolina","Legislature"
"North Dakota","One at-large seat, no map to draw"
"Ohio","Legislature, with a back-up commission"
"Oklahoma","Legislature"
"Oregon","Legislature"
"Pennsylvania","Legislature"
"Rhode Island","Commission advises, legislature adopts"
"South Carolina","Legislature"
"South Dakota","One at-large seat, no map to draw"
"Tennessee","Legislature"
"Texas","Legislature"
"Utah","Commission advises, legislature adopts"
"Vermont","One at-large seat, no map to draw"
"Virginia","Commission advises, legislature adopts"
"Washington","Commission draws it"
"West Virginia","Legislature"
"Wisconsin","Legislature"
"Wyoming","One at-large seat, no map to draw"
