"uid","fips","name","region","division","label_x","label_y","area"
"AK","02","Alaska","West","Pacific",242.9,612.1,8385
"AL","01","Alabama","South","East South Central",780,447.4,5998
"AR","05","Arkansas","South","West South Central",663.5,404.4,6171
"AZ","04","Arizona","West","Mountain",292,395.2,13222
"CA","06","California","West","Pacific",155.4,290.2,18354
"CO","08","Colorado","West","Mountain",422.8,298.6,12072
"CT","09","Connecticut","Northeast","New England",1001.2,196.7,578
"DC","11","District of Columbia","South","South Atlantic",939.7,274.5,8
"DE","10","Delaware","South","South Atlantic",963.5,262.4,234
"FL","12","Florida","South","South Atlantic",896.5,544,6778
"GA","13","Georgia","South","South Atlantic",847.9,437.2,6833
"HI","15","Hawaii","West","Pacific",484.8,722.9,746
"IA","19","Iowa","Midwest","West North Central",645.3,234.1,6526
"ID","16","Idaho","West","Mountain",278.3,123.9,9694
"IL","17","Illinois","Midwest","East North Central",713.3,283.1,6535
"IN","18","Indiana","Midwest","East North Central",772.8,280.3,4197
"KS","20","Kansas","Midwest","West North Central",553.7,317.5,9544
"KY","21","Kentucky","South","East South Central",806.4,325.6,4685
"LA","22","Louisiana","South","West South Central",665.6,492.2,5503
"MA","25","Massachusetts","Northeast","New England",1008,174,954
"MD","24","Maryland","South","South Atlantic",941,271.2,1207
"ME","23","Maine","Northeast","New England",1041.7,98,3835
"MI","26","Michigan","Midwest","East North Central",746.4,127.7,6767
"MN","27","Minnesota","Midwest","West North Central",620.9,130.3,9789
"MO","29","Missouri","Midwest","West North Central",660.7,320.5,8085
"MS","28","Mississippi","South","East South Central",720.1,452.1,5536
"MT","30","Montana","West","Mountain",383.7,98,17053
"NC","37","North Carolina","South","South Atlantic",905.5,360.3,5789
"ND","38","North Dakota","Midwest","West North Central",524.9,103.2,8200
"NE","31","Nebraska","Midwest","West North Central",524.7,243.9,8970
"NH","33","New Hampshire","Northeast","New England",1006,135.1,1077
"NJ","34","New Jersey","Northeast","Middle Atlantic",979.4,236.6,902
"NM","35","New Mexico","West","Mountain",402.5,405.6,14106
"NV","32","Nevada","West","Mountain",225.2,272.1,12822
"NY","36","New York","Northeast","Middle Atlantic",953,170.9,5694
"OH","39","Ohio","Midwest","East North Central",831.7,258.1,4792
"OK","40","Oklahoma","South","West South Central",573.1,390,8110
"OR","41","Oregon","West","Pacific",183.2,131.1,11255
"PA","42","Pennsylvania","Northeast","Middle Atlantic",916.8,230.8,5255
"RI","44","Rhode Island","Northeast","New England",1018.6,188.2,127
"SC","45","South Carolina","South","South Atlantic",893.7,410.9,3608
"SD","46","South Dakota","Midwest","West North Central",524.6,180.1,8944
"TN","47","Tennessee","South","East South Central",776.3,369.7,4887
"TX","48","Texas","South","West South Central",524.7,487.6,30811
"UT","49","Utah","West","Mountain",316.9,271.8,9849
"VA","51","Virginia","South","South Atlantic",924.3,306.5,4702
"VT","50","Vermont","Northeast","New England",985,140.9,1114
"WA","53","Washington","West","Pacific",206.8,57.1,7869
"WI","55","Wisconsin","Midwest","East North Central",690,167.8,6507
"WV","54","West Virginia","South","South Atlantic",878.4,286.5,2811
"WY","56","Wyoming","West","Mountain",398.5,197.7,11345
