geography,count,id_length,id_encodes,nests_into,median_sq_mi
county,3222,5,state(2) + county(3),state,604.48
census tract,85396,11,state(2) + county(3) + tract(6),county,1.74
place,32333,7,state(2) + place(5),state only,1.73
ZCTA (ZIP approximation),33791,5,"five digits, nothing else",NOTHING,34.89
county subdivision,36421,10,state(2) + county(3) + subdivision(5),county,35.59
elementary school district,1952,7,state(2) + district(5),state only,33.47
unified school district,10893,7,state(2) + district(5),state only,120.15
