"geoid","uid","split_bg","split_place","split_zcta"
"13153021108",1,0,1,1
"13153020200",2,0,1,1
"13153020600",3,0,1,1
"13153020700",4,0,1,1
"13153020800",5,0,0,1
"13153020900",6,0,0,1
"13153020400",7,0,1,1
"13153021300",8,0,1,0
"13153020302",9,0,0,0
"13153021401",10,0,1,0
"13153021206",11,0,1,0
"13153021120",12,0,1,1
"13153021002",13,0,0,0
"13153021121",14,0,1,1
"13153021114",15,0,1,1
"13153021124",16,0,1,0
"13153021125",17,0,1,0
"13153021204",18,0,1,1
"13153021119",19,0,1,0
"13153021123",20,0,1,0
"13153021122",21,0,1,1
"13153021117",22,0,1,1
"13153020301",23,0,1,0
"13153021502",24,0,0,1
"13153021501",25,0,0,1
"13153021402",26,0,1,1
"13153021205",27,0,1,0
"13153021203",28,0,1,1
"13153021115",29,0,1,1
"13153021118",30,0,1,0
"13153021116",31,0,1,1
"13153020112",32,0,1,1
"13153021001",33,0,1,0
"13153020113",34,0,1,0
"13153020111",35,0,1,0
"13153020110",36,0,1,0
"13153020106",37,0,1,1
"13153020108",38,0,1,1
