"level","digits","geoid","lev","name","id_digits","uid"
"state","13","13","s","Georgia",2,1
"county","153","13153","c","Houston County, Georgia",5,1
"tract","021123","13153021123","t","Census Tract 211.23",11,20
"block group","3","131530211233","g","Block Group 3",12,23
"block","013","131530211233013","b","Block 013",15,168
