"lev","uid","geoid","name","pop"
"b",1,"131530211142004","Block 2004",133
"b",2,"131530211164012","Block 4012",0
"b",3,"131530211153017","Block 3017",29
"b",4,"131530211153013","Block 3013",69
"b",5,"131530209001002","Block 1002",59
"b",6,"131530211191004","Block 1004",102
"b",7,"131530211251003","Block 1003",306
"b",8,"131530211083019","Block 3019",12
"b",9,"131530213004016","Block 4016",71
"b",10,"131530202003002","Block 3002",481
"b",11,"131530212043028","Block 3028",158
"b",12,"131530211153060","Block 3060",11
"b",13,"131530211083004","Block 3004",32
"b",14,"131530201111006","Block 1006",14
"b",15,"131530209004007","Block 4007",0
"b",16,"131530212042009","Block 2009",367
"b",17,"131530201122005","Block 2005",73
"b",18,"131530211161022","Block 1022",22
"b",19,"131530202004037","Block 4037",19
"b",20,"131530203013026","Block 3026",1
"b",21,"131530211231017","Block 1017",31
"b",22,"131530211203001","Block 3001",154
"b",23,"131530206002012","Block 2012",0
"b",24,"131530204001037","Block 1037",10
"b",25,"131530201084010","Block 4010",40
"b",26,"131530207001003","Block 1003",58
"b",27,"131530206002027","Block 2027",0
"b",28,"131530210022014","Block 2014",45
"b",29,"131530214022008","Block 2008",0
"b",30,"131530211253007","Block 3007",29
"b",31,"131530207002027","Block 2027",0
"b",32,"131530201062025","Block 2025",0
"b",33,"131530210021022","Block 1022",15
"b",34,"131530215011031","Block 1031",0
"b",35,"131530215011035","Block 1035",0
"b",36,"131530207002036","Block 2036",50
"b",37,"131530211163008","Block 3008",17
"b",38,"131530211142005","Block 2005",38
"b",39,"131530214012026","Block 2026",50
"b",40,"131530203024012","Block 4012",47
"b",41,"131530201133008","Block 3008",43
"b",42,"131530211212004","Block 2004",27
"b",43,"131530201112012","Block 2012",50
"b",44,"131530213003045","Block 3045",0
"b",45,"131530209002000","Block 2000",120
"b",46,"131530209002005","Block 2005",43
"b",47,"131530206001063","Block 1063",0
"b",48,"131530215022005","Block 2005",0
"b",49,"131530211144015","Block 4015",52
"b",50,"131530214022035","Block 2035",74
