"uid","part","x","y"
"AK",6,164.4,624.5
"AK",6,164.2,624.3
"AK",6,163.6,623.7
"AK",6,163.3,623
"AK",6,163.2,622.6
"AK",6,163.4,622.3
"AK",6,163.3,622.2
"AK",6,163,622.4
"AK",6,162.8,622.4
"AK",6,162.7,622.8
"AK",6,162.6,622.9
"AK",7,162.9,621.3
"AK",7,162.7,621.6
"AK",7,163,621.7
"AK",7,163,621.4
"AK",7,162.9,621.3
"AK",8,138.2,687.7
"AK",8,138.3,688
"AK",8,138.5,688.1
"AK",8,138.6,688.4
"AK",8,138.7,688.6
"AK",8,139.1,688.7
"AK",8,139.2,688.7
"AK",8,139.7,688.8
"AK",8,140.1,689
"AK",8,140.4,689.3
"AK",8,140.7,689.4
"AK",8,141,689.3
"AK",8,141.2,689.5
"AK",8,141.6,689.4
"AK",8,142.2,689.5
"AK",8,142.4,689.6
"AK",8,142.7,689.5
"AK",8,143,689.6
"AK",8,143.4,689.7
"AK",8,143.2,689.5
"AK",8,142.7,689.3
"AK",8,142.7,689.2
"AK",8,142.1,689.1
"AK",8,141.9,689
"AK",8,141.5,689
"AK",8,141.4,688.9
"AK",8,141,688.7
"AK",8,140.8,688.7
"AK",8,140.6,688.3
"AK",8,140.3,688.2
"AK",8,139.8,688.2
"AK",8,139.6,688.1
"AK",8,139.4,688.3
"AK",8,138.8,687.9
"AK",8,138.5,687.8
"AK",8,138.2,687.7
"AK",9,131.7,686.5
"AK",9,131.7,686.7
"AK",9,132,686.7
"AK",9,132.2,686.9
"AK",9,132.5,686.9
"AK",9,132.8,687.1
"AK",9,133.2,687.2
"AK",9,133.2,687.1
"AK",9,133.5,687
"AK",9,133.9,687.1
"AK",9,134.4,687.3
"AK",9,134.6,687.6
"AK",9,135.2,687.6
"AK",9,135.4,687.5
"AK",9,135.5,687.7
"AK",9,135.8,687.6
"AK",9,136,687.7
"AK",9,136.2,687.9
"AK",9,136.5,687.6
"AK",9,136.8,687.4
"AK",9,136.9,687.5
"AK",9,137,687.7
"AK",9,137.3,687.7
"AK",9,137.4,687.6
"AK",9,137.6,687.7
"AK",9,137.7,687.6
"AK",9,138,687.8
"AK",9,138.1,687.7
"AK",9,137.9,687.3
"AK",9,137.7,687
"AK",9,137.7,686.8
"AK",9,137.8,686.7
"AK",9,138.4,686.9
"AK",9,138.9,686.5
"AK",9,139,686.3
"AK",9,138.8,685.6
"AK",9,138.4,685.3
"AK",9,138.3,685.3
"AK",9,137.5,685.4
"AK",9,137.4,685.6
"AK",9,137.2,685.8
"AK",9,136.8,685.6
"AK",9,136.7,685.7
"AK",9,137,686
"AK",9,137.1,686
"AK",9,137.6,686.3
"AK",9,137.5,686.5
"AK",9,137.2,686.7
"AK",9,136.9,686.6
"AK",9,136.5,686.4
"AK",9,136.4,686.5
"AK",9,136.6,686.7
"AK",9,136.5,686.8
"AK",9,136.3,686.7
"AK",9,136,686.6
"AK",9,135.9,686.5
"AK",9,135.7,686.9
"AK",9,135.2,687
"AK",9,135,686.9
"AK",9,135,686.7
"AK",9,134.8,686.7
"AK",9,134.8,686.9
"AK",9,134.3,686.8
"AK",9,134,686.5
"AK",9,133.9,686.7
"AK",9,133.7,686.7
"AK",9,133.3,686.6
"AK",9,133.2,686.7
"AK",9,132.9,686.8
"AK",9,132.8,686.6
"AK",9,132.4,686.5
"AK",9,131.7,686.5
"AK",10,130.7,686.6
"AK",10,130.7,686.7
"AK",10,131.1,686.8
"AK",10,131.1,686.6
"AK",10,130.7,686.6
"AK",11,131.1,685
"AK",11,131.1,685.2
"AK",11,131.4,685.2
"AK",11,131.3,684.9
"AK",11,131.1,685
"AK",12,129.6,686.3
"AK",12,129.5,686.5
"AK",12,129.6,686.6
"AK",12,130,686.6
"AK",12,130.3,686.7
"AK",12,130.4,686.5
"AK",12,129.7,686.3
"AK",12,129.6,686.3
"AK",13,128.6,685.8
"AK",13,128.9,686.1
"AK",13,128.9,686.3
"AK",13,129.1,686.5
"AK",13,129.3,686.5
"AK",13,129.3,686
"AK",13,128.8,685.8
