"lev","uid","part","x","y"
"s",1,1,-128.67,47.55
"s",1,1,-173.69,207.97
"s",1,1,-187.12,253.94
"s",1,1,-193.93,279.6
"s",1,1,-174.1,281.61
"s",1,1,-15.96,301.24
"s",1,1,-15.52,301.3
"s",1,1,-15.61,301.9
"s",1,1,30.15,308.99
"s",1,1,31.23,308.03
"s",1,1,30.55,306.69
"s",1,1,30.21,306.78
"s",1,1,30.3,306.2
"s",1,1,29.82,306.13
"s",1,1,29.5,304.85
"s",1,1,30.12,304.41
"s",1,1,29.75,304.12
"s",1,1,30.42,303.33
"s",1,1,29.33,303.73
"s",1,1,29.21,303.12
"s",1,1,30.86,301.67
"s",1,1,30.1,301.34
"s",1,1,29.41,301.89
"s",1,1,29.28,301.05
"s",1,1,28.35,300.15
"s",1,1,26.87,300.65
"s",1,1,27.1,298.92
"s",1,1,25.99,299.25
"s",1,1,24.56,296.65
"s",1,1,23.97,296.72
"s",1,1,23.86,295.71
"s",1,1,23.25,295.95
"s",1,1,23.61,294.98
"s",1,1,23.29,294.45
"s",1,1,22.4,294.72
"s",1,1,22.38,295.28
"s",1,1,21.99,294.04
"s",1,1,19.94,293.7
"s",1,1,20.79,293.05
"s",1,1,20.48,292.37
"s",1,1,19.66,292.32
"s",1,1,19.96,291.22
"s",1,1,19.34,291.18
"s",1,1,19.39,290.38
"s",1,1,19.89,290.04
"s",1,1,18.2,290.19
"s",1,1,17.91,288.69
"s",1,1,18.46,288.29
"s",1,1,18.32,286.83
"s",1,1,17.78,286.58
"s",1,1,16.59,287.28
"s",1,1,16.21,285.94
"s",1,1,15.65,286.48
"s",1,1,15.17,286.08
"s",1,1,15.89,285.47
"s",1,1,15.83,284.89
"s",1,1,14.71,284.2
"s",1,1,13.96,282.93
"s",1,1,14.7,281.01
"s",1,1,14.46,279.78
"s",1,1,14.92,279.49
"s",1,1,14.27,279.25
"s",1,1,14.33,278.64
"s",1,1,13.37,277.1
"s",1,1,12.54,276.85
"s",1,1,12.23,275.84
"s",1,1,13.2,273.24
"s",1,1,12.65,272.48
"s",1,1,13.98,271.9
"s",1,1,13.95,270.8
"s",1,1,15.49,270.75
"s",1,1,16.45,269.73
"s",1,1,17.5,269.9
"s",1,1,18.76,268.35
"s",1,1,22.57,266.87
"s",1,1,23.94,265.68
"s",1,1,23.79,264.93
"s",1,1,24.86,264.35
"s",1,1,27.49,264.48
"s",1,1,28.21,263.85
"s",1,1,30.33,264.66
"s",1,1,31.56,264.32
"s",1,1,31.53,263.89
"s",1,1,30.62,263.61
"s",1,1,30.83,262.91
"s",1,1,32.25,262.71
"s",1,1,32.02,261.64
"s",1,1,33.5,261.21
"s",1,1,33.97,259.97
"s",1,1,35.53,259.99
"s",1,1,35.51,259.31
"s",1,1,36.81,258.78
"s",1,1,37.77,257.17
"s",1,1,39.12,257.32
"s",1,1,40.07,256.69
"s",1,1,39.41,255.56
"s",1,1,40.16,255.43
"s",1,1,40.91,254.4
"s",1,1,42.58,254.48
"s",1,1,42.96,253.51
"s",1,1,44.66,252.6
"s",1,1,48.32,251.82
"s",1,1,48.5,252.61
"s",1,1,49.62,253.21
"s",1,1,50.11,252.87
"s",1,1,50.99,253.58
"s",1,1,51.85,253.06
"s",1,1,52.9,254
"s",1,1,54.03,254.12
"s",1,1,54.56,253.73
"s",1,1,56.62,254.61
"s",1,1,57.98,254.14
"s",1,1,58.78,252.9
"s",1,1,60.96,251.65
"s",1,1,64.55,241.99
"s",1,1,68.55,239.75
"s",1,1,70.32,235.24
"s",1,1,74,232.18
"s",1,1,75.33,226
"s",1,1,78.47,219.71
"s",1,1,79.82,218.82
"s",1,1,82.43,218.11
"s",1,1,84.52,215.28
"s",1,1,86.16,214.33
"s",1,1,86.38,211.97
"s",1,1,88.06,211.22
"s",1,1,89.99,208.85
"s",1,1,91.52,207.87
"s",1,1,91.63,206.37
"s",1,1,92.47,204.75
"s",1,1,93.82,204.01
"s",1,1,93.6,202.65
"s",1,1,94.92,201.42
"s",1,1,96.26,199.06
"s",1,1,97.57,198.75
"s",1,1,99.22,199.26
"s",1,1,100.53,198.57
"s",1,1,102.62,195.95
"s",1,1,106.51,193.34
"s",1,1,109.53,191.8
"s",1,1,111.42,192.22
"s",1,1,114.68,190.24
"s",1,1,119.37,188.24
