"overlay","role","units","tracts_total","tracts_split","source","pct_split"
"block group","on the spine",108,38,0,"TIGER/Line block land area, aggregated by GEOID prefix",0
"census place (city limits)","crosscutting",4,38,32,"2020 Block Assignment File, block -> place",84
"ZCTA (ZIP approximation)","crosscutting",12,38,22,"2020 ZCTA-to-tract relationship file",58
