"election","year","dem_old","dem_new","rep_old","rep_new","rep_gain"
"pres-2016",2016,14,11,24,27,3
"sc-2016",2016,14,11,24,27,3
"ag-2018",2018,14,12,24,26,2
"compt-2018",2018,14,11,24,27,3
"gov-2018",2018,14,9,24,29,5
"ltgov-2018",2018,14,11,24,27,3
"sc-2018",2018,12,9,26,29,3
"senator-2018",2018,14,12,24,26,2
"pres-2020",2020,13,10,25,28,3
"sc-2020",2020,13,10,25,28,3
"senator-2020",2020,13,10,25,28,3
"ag-2022",2022,13,10,25,28,3
"gov-2022",2022,13,9,25,29,4
"ltgov-2022",2022,13,9,25,29,4
"trea-2022",2022,13,9,25,29,4
"pres-2024",2024,11,8,27,30,3
"senator-2024",2024,13,8,25,30,5
