"plan","unit","part","x","y"
"fewest",1,1,1063.4,1259.6
"fewest",1,1,1063.7,1259.6
"fewest",1,1,1063.8,1260.1
"fewest",1,1,1064.2,1260.1
"fewest",1,1,1063.9,1260.6
"fewest",1,1,1064.1,1260.6
"fewest",1,1,1064.1,1260.9
"fewest",1,1,1064.2,1260.9
"fewest",1,1,1064.2,1261.1
"fewest",1,1,1064.1,1261.4
"fewest",1,1,1064.3,1261.5
"fewest",1,1,1064.3,1261.8
"fewest",1,1,1064.5,1261.8
"fewest",1,1,1064.4,1262.1
"fewest",1,1,1064.7,1262.6
"fewest",1,1,1065,1262.7
"fewest",1,1,1064.8,1263
"fewest",1,1,1064.9,1263.1
"fewest",1,1,1065.2,1263
"fewest",1,1,1065.4,1263.3
"fewest",1,1,1064.8,1263.7
"fewest",1,1,1065.1,1264.2
"fewest",1,1,1065.2,1264.1
"fewest",1,1,1065.3,1264.1
"fewest",1,1,1065.4,1264.6
"fewest",1,1,1065.5,1264.7
"fewest",1,1,1065.9,1266.1
"fewest",1,1,1066,1266.1
"fewest",1,1,1065.8,1267.1
"fewest",1,1,1065.9,1267.2
"fewest",1,1,1066.3,1267.2
"fewest",1,1,1066.3,1267.4
"fewest",1,1,1066.3,1267.6
"fewest",1,1,1066.4,1267.9
"fewest",1,1,1066.8,1268
"fewest",1,1,1066.8,1268.7
"fewest",1,1,1067.1,1268.9
"fewest",1,1,1067.7,1264.6
"fewest",1,1,1067.4,1264.3
"fewest",1,1,1067.5,1264.2
"fewest",1,1,1067.5,1264
"fewest",1,1,1067.3,1263.8
"fewest",1,1,1067,1263.7
"fewest",1,1,1067.3,1263.6
"fewest",1,1,1066.9,1263.1
"fewest",1,1,1066.7,1262.8
"fewest",1,1,1066.7,1262.6
"fewest",1,1,1066.9,1262.1
"fewest",1,1,1066.8,1261.8
"fewest",1,1,1066.3,1261.2
"fewest",1,1,1066.4,1260.9
"fewest",1,1,1066.2,1260.9
"fewest",1,1,1066.2,1260.3
"fewest",1,1,1065.9,1260.3
"fewest",1,1,1065.9,1259.8
"fewest",1,1,1065.7,1259
"fewest",1,1,1065.7,1258.8
"fewest",1,1,1065.5,1258.6
"fewest",1,1,1065.6,1258.6
"fewest",1,1,1065.3,1258.4
"fewest",1,1,1065.2,1258.2
"fewest",1,1,1065.5,1258.5
"fewest",1,1,1065.7,1258
"fewest",1,1,1065.9,1257.8
"fewest",1,1,1065.7,1257.8
"fewest",1,1,1065.4,1258.4
"fewest",1,1,1065.2,1258.1
"fewest",1,1,1065.3,1258
"fewest",1,1,1065.3,1257.8
"fewest",1,1,1065.1,1257.9
"fewest",1,1,1065.2,1257.6
"fewest",1,1,1064.9,1257.4
"fewest",1,1,1065,1256.9
"fewest",1,1,1064.8,1256.8
"fewest",1,1,1064.8,1256.6
"fewest",1,1,1064.7,1256.6
"fewest",1,1,1064.8,1256.3
"fewest",1,1,1064.6,1256.2
"fewest",1,1,1064.7,1255.7
"fewest",1,1,1064.2,1255.6
"fewest",1,1,1064.3,1254.9
"fewest",1,1,1064.2,1254.7
"fewest",1,1,1064.5,1254.6
"fewest",1,1,1064.5,1254.5
"fewest",1,1,1064.2,1254.6
"fewest",1,1,1064.2,1254.5
"fewest",1,1,1063.8,1254.3
"fewest",1,1,1063.9,1254.1
"fewest",1,1,1064,1254.1
"fewest",1,1,1064,1253.9
"fewest",1,1,1063.7,1253.9
"fewest",1,1,1063.9,1253.6
"fewest",1,1,1063.7,1253.6
"fewest",1,1,1063.8,1253.4
"fewest",1,1,1063.7,1253.4
"fewest",1,1,1063.6,1252.8
"fewest",1,1,1063.4,1252.7
"fewest",1,1,1063.4,1252.2
"fewest",1,1,1063.3,1252.2
"fewest",1,1,1063.2,1251.7
"fewest",1,1,1063.1,1251.7
"fewest",1,1,1063.1,1251.5
"fewest",1,1,1063,1251.5
"fewest",1,1,1063.1,1251.3
"fewest",1,1,1063,1251.3
"fewest",1,1,1063,1251.1
"fewest",1,1,1062.9,1251.1
"fewest",1,1,1063,1250.6
"fewest",1,1,1062.7,1250.5
"fewest",1,1,1062.7,1250.3
"fewest",1,1,1062.5,1250.2
"fewest",1,1,1062.5,1250
"fewest",1,1,1062.4,1249.8
"fewest",1,1,1062.5,1249.7
"fewest",1,1,1062.3,1249.7
"fewest",1,1,1062.4,1249.4
"fewest",1,1,1062.2,1249.4
"fewest",1,1,1062.2,1249.1
"fewest",1,1,1062.1,1249.1
"fewest",1,1,1062.2,1248.7
"fewest",1,1,1062,1248.7
"fewest",1,1,1062,1248.2
"fewest",1,1,1062,1248.2
"fewest",1,1,1062.1,1248
"fewest",1,1,1061.6,1247.6
"fewest",1,1,1061.6,1247.5
"fewest",1,1,1061.5,1247.5
"fewest",1,1,1061.4,1247.4
"fewest",1,1,1061.1,1246.6
"fewest",1,1,1061.2,1246.4
"fewest",1,1,1060.9,1246.3
"fewest",1,1,1061.1,1245.9
"fewest",1,1,1061.4,1246.1
"fewest",1,1,1061.4,1245.9
"fewest",1,1,1061.1,1245.9
"fewest",1,1,1060.7,1245.7
"fewest",1,1,1060.9,1244.9
"fewest",1,1,1060.7,1244.8
"fewest",1,1,1060.8,1244.5
"fewest",1,1,1060.5,1244.4
"fewest",1,1,1060.7,1244.3
"fewest",1,1,1060.9,1244.1
"fewest",1,1,1060.4,1244.1
"fewest",1,1,1060.5,1243.6
"fewest",1,1,1060.4,1243.6
"fewest",1,1,1060.4,1243.4
"fewest",1,1,1060.3,1243.4
