"family","angle","n_majority","n_majority_bvap","min_share","max_share","spread","max_dev_pct","units_contig","largest_piece_pct"
"strip",51,2,2,11.734,89.46,77.727,0.048,2,99.57
"strip",52,2,2,11.74,89.469,77.729,0.168,1,99.59
"strip",53,2,2,11.729,89.444,77.715,0.151,3,99.76
"strip",54,2,2,11.713,89.431,77.718,0.218,4,99.9
"strip",55,2,2,11.725,89.427,77.703,0.184,2,99.89
"strip",56,2,2,11.736,89.428,77.692,0.174,2,99.83
"strip",57,2,2,11.764,89.406,77.642,0.096,2,99.93
"strip",58,2,2,11.763,89.4,77.637,0.149,4,99.93
"strip",59,2,2,11.739,89.419,77.68,0.106,4,99.91
"strip",60,2,2,11.724,89.402,77.677,0.429,3,99.91
"strip",61,2,2,11.732,89.402,77.669,0.121,3,99.91
"strip",62,2,2,11.77,89.396,77.626,0.154,3,99.88
"strip",63,2,2,11.769,89.386,77.617,0.019,1,99.9
"strip",64,2,2,11.751,89.382,77.632,0.392,1,99.92
"strip",65,2,2,11.739,89.337,77.598,0.193,2,99.92
"strip",66,2,2,11.738,89.323,77.585,0.04,1,99.9
"strip",67,2,2,11.716,89.316,77.6,0.051,2,99.85
"strip",68,2,2,11.717,89.314,77.597,0.415,1,99.83
"strip",69,2,2,11.743,89.298,77.554,0.145,0,99.69
"strip",70,2,2,11.732,89.256,77.524,0.077,2,99.5
"strip",71,2,2,11.706,89.227,77.52,0.046,1,99.57
"strip",72,2,2,11.627,89.208,77.581,0.065,0,99.85
"strip",73,2,2,11.651,89.19,77.539,0.109,0,99.85
"strip",74,2,2,11.657,89.174,77.516,0.246,2,99.88
"strip",75,2,2,11.602,89.134,77.531,0.185,1,99.88
"strip",76,2,2,11.552,89.093,77.541,0.22,2,99.82
"strip",77,2,2,11.579,89.069,77.49,0.191,1,99.84
"strip",78,2,2,11.541,89.04,77.499,0.127,3,99.87
"strip",79,2,2,11.509,88.981,77.471,0.056,2,99.84
"strip",80,2,2,11.556,88.893,77.337,0.353,1,99.87
"strip",81,2,2,11.537,88.834,77.297,0.069,2,99.83
"strip",82,2,2,11.489,88.76,77.271,0.141,2,99.81
"strip",83,2,2,11.491,88.62,77.129,0.22,1,99.83
"strip",84,2,2,11.509,88.459,76.95,0.082,3,99.92
"strip",85,2,2,11.51,88.353,76.843,0.177,2,99.89
"strip",86,3,2,11.491,88.154,76.663,0.447,5,99.93
"strip",87,2,2,11.513,87.979,76.467,0.04,3,99.92
"strip",88,2,2,11.496,87.77,76.274,0.083,4,99.94
"strip",89,3,2,11.512,87.581,76.068,0.082,2,99.9
"strip",90,3,2,11.524,87.443,75.919,0.197,1,99.82
"strip",91,3,2,11.501,87.306,75.805,0.06,1,99.83
"strip",92,3,2,11.455,86.922,75.466,0.221,3,99.93
"strip",93,3,2,11.472,86.867,75.395,0.294,3,99.95
"strip",94,3,2,11.457,86.846,75.39,0.078,3,99.87
"strip",95,3,2,11.427,86.654,75.227,0.34,2,99.85
"strip",96,3,2,11.35,86.492,75.141,0.39,1,99.79
"strip",97,3,2,11.308,86.36,75.052,0.206,2,99.84
"strip",98,3,2,11.351,86.114,74.763,0.048,1,99.77
"strip",99,3,2,11.388,86.058,74.669,0.241,1,99.91
"strip",100,3,2,11.626,86.072,74.446,0.272,3,99.68
"strip",101,3,2,11.623,85.917,74.295,0.153,3,99.73
"strip",102,3,2,11.614,85.942,74.328,0.323,3,99.69
"strip",103,3,2,11.559,85.81,74.251,0.103,1,99.85
"strip",104,3,2,11.58,85.773,74.193,0.106,3,99.38
"strip",105,3,2,11.468,85.817,74.349,0.039,2,99.68
"strip",106,3,2,11.415,85.794,74.379,0.037,1,99.77
"strip",107,3,2,11.332,85.672,74.34,0.606,0,99.79
"strip",108,3,2,11.477,85.645,74.168,0.136,2,99.83
"strip",109,3,2,11.476,85.483,74.007,0.27,0,99.75
"strip",110,3,2,11.563,85.359,73.796,0.308,0,99.7
"strip",111,3,2,11.724,85.221,73.497,0.127,0,99.9
"strip",112,3,2,11.701,85.04,73.339,0.471,0,99.56
"strip",113,3,2,11.819,85.037,73.218,0.053,1,99.77
"strip",114,3,2,11.767,85.086,73.319,0.119,2,99.73
"strip",115,3,2,11.794,84.993,73.199,0.028,0,99.78
"strip",116,3,2,11.812,84.888,73.076,0.029,1,99.77
"strip",117,3,2,11.92,84.812,72.891,0.152,0,99.75
"strip",118,3,3,11.921,84.948,73.027,0.084,0,99.83
"strip",119,3,3,11.863,84.809,72.946,0.24,0,99.7
"strip",120,3,3,11.873,84.788,72.914,0.029,2,99.85
"strip",121,3,3,11.891,84.577,72.686,0.233,3,99.87
"strip",122,3,3,12.049,84.362,72.313,0.286,2,99.66
"strip",123,3,3,12.122,84.199,72.077,0.152,3,99.86
"strip",124,3,3,12.095,84.151,72.055,0.161,1,99.77
"strip",125,3,3,12.105,84.143,72.038,0.276,1,99.64
"strip",126,3,3,12.201,83.926,71.726,0.024,0,99.22
"strip",127,3,3,12.246,83.563,71.317,0.082,1,99.11
"strip",128,3,3,12.295,83.425,71.13,0.142,1,98.47
"strip",129,3,3,12.369,83.049,70.68,0.24,0,97.5
"strip",130,3,3,12.69,82.548,69.859,0.337,0,96.28
"strip",131,3,3,12.687,82.479,69.792,0.355,0,95.45
"strip",132,3,3,12.985,82.289,69.305,0.154,1,94.82
"strip",133,3,3,13.201,81.836,68.635,0.263,1,94.1
"strip",134,3,3,13.237,81.551,68.313,0.082,2,91.95
"strip",135,3,3,13.576,81.149,67.574,0.03,0,90.69
"strip",136,3,2,13.817,80.743,66.926,0.335,1,89.42
"strip",137,3,2,14.058,80.251,66.193,0.137,0,87.64
"strip",138,3,2,14.368,79.352,64.984,0.409,1,86.66
"strip",139,3,2,14.648,78.664,64.016,0.154,0,85.14
"strip",140,3,2,14.86,78.119,63.26,0.066,0,83.65
"strip",141,3,2,15.036,77.203,62.167,0.567,0,82.31
"strip",142,3,3,15.124,76.784,61.66,0.231,1,81.92
"strip",143,3,3,15.248,75.977,60.729,0.011,1,79.37
"strip",144,3,3,15.229,74.842,59.613,0.25,0,78.46
"strip",145,3,3,15.238,74.225,58.987,0.183,0,76.44
"strip",146,3,2,15.376,73.038,57.662,0.206,0,75.89
"strip",147,3,2,15.39,72.033,56.643,0.056,1,74.27
"strip",148,2,2,15.497,71.275,55.778,0.283,0,71.58
"strip",149,2,2,16.204,70.172,53.968,0.339,0,70.44
"strip",150,2,2,16.517,68.341,51.824,0.088,0,67.91
"strip",151,2,2,17.667,66.636,48.969,0.343,0,64.33
"strip",152,2,2,19.373,65.301,45.928,0.294,0,63.42
"strip",153,2,2,21.373,64.014,42.641,0.405,0,63.45
"strip",154,2,2,22.857,63.164,40.308,0.097,0,64.62
"strip",155,2,1,25.523,60.7,35.177,0.211,0,64.92
"strip",156,2,1,27.904,58.077,30.173,0.127,0,67.4
"strip",157,2,1,31.759,55.912,24.153,0.055,0,68.17
"strip",158,1,1,34.931,53.4,18.469,0.331,0,67.46
"strip",159,1,0,38.365,51.404,13.039,0.118,0,62.64
"strip",160,0,0,41.151,49.195,8.044,0.052,0,58.81
"strip",161,0,0,42.616,46.356,3.74,0.448,0,54.57
"strip",162,0,0,41.951,47.911,5.959,0.167,0,50.1
"strip",163,1,1,39.585,51.468,11.884,0.251,0,54.47
"strip",164,1,1,37.493,53.445,15.952,0.221,0,57.02
"strip",165,1,1,34.178,57.117,22.939,0.137,0,56.35
"strip",166,1,1,30.524,60.715,30.19,0.311,0,52.3
"strip",167,1,1,28.61,64.442,35.832,0.287,0,50.11
"strip",168,1,1,26.123,67.399,41.277,0.159,0,56.23
"strip",169,1,1,24.847,71.353,46.506,0.305,0,59.91
"strip",170,1,1,24.006,74.627,50.621,0.427,0,62.61
"strip",171,2,2,23.098,77.463,54.364,0.296,0,68.13
"strip",172,2,2,22.307,79.682,57.375,0.08,0,71.95
"strip",173,2,2,21.846,81.806,59.96,0.087,0,73.1
"strip",174,2,2,20.394,84.089,63.696,0.146,0,73.22
"strip",175,2,2,19.768,85.487,65.718,0.343,0,73.17
"strip",176,2,2,18.233,86.505,68.272,0.025,0,74.78
"strip",177,2,2,16.959,88.189,71.23,0.096,0,74.48
"strip",178,2,2,15.467,89.119,73.652,0.083,0,73.11
"strip",179,2,2,14.694,89.235,74.541,0.129,0,70.82
"split",0,2,2,13.314,88.018,74.704,0.048,1,91.92
"split",1,2,2,13.287,87.72,74.433,0.226,1,94.03
"split",2,2,2,13.235,87.301,74.066,0.156,1,95.5
"split",3,2,2,13.155,86.914,73.76,0.224,1,96.29
"split",4,2,2,13.138,86.719,73.581,0.163,1,97.72
"split",5,2,2,13.086,86.434,73.347,0.214,1,98.63
"split",6,2,2,12.977,86.382,73.406,0.701,0,89.48
"split",7,2,2,12.968,86.245,73.277,0.706,1,90.44
"split",8,2,2,12.922,86.111,73.189,0.626,1,92.04
"split",9,2,2,12.895,86.017,73.122,0.116,0,94.94
"split",10,2,2,12.852,85.915,73.064,0.16,1,96.14
"split",11,2,2,12.837,85.821,72.984,0.119,1,97.94
"split",12,2,2,12.83,85.801,72.971,0.087,1,99.08
"split",13,2,2,12.868,85.741,72.873,0.163,0,99.81
"split",14,2,2,12.861,85.739,72.878,0.197,2,99.8
"split",15,2,2,12.84,85.805,72.964,0.135,4,99.8
"split",16,2,2,12.837,86.165,73.328,0.232,2,99.86
"split",17,2,2,12.83,86.926,74.096,0.159,2,99.9
"split",18,2,2,12.833,87.567,74.733,0.147,3,99.78
"split",19,2,2,12.807,88.001,75.194,0.2,1,99.71
"split",20,2,2,12.806,88.231,75.425,0.07,1,99.75
"split",21,2,2,12.783,88.653,75.87,0.073,1,99.57
"split",22,2,2,12.751,89.255,76.504,0.45,1,99.56
"split",23,2,2,12.712,89.425,76.713,0.083,0,99.75
"split",24,2,2,12.659,89.521,76.863,0.174,0,99.72
"split",25,2,2,12.545,89.877,77.332,0.127,0,99.79
"split",26,2,2,12.489,90.161,77.672,0.042,0,99.84
"split",27,2,2,12.431,90.237,77.806,0.296,1,99.67
"split",28,2,2,12.313,90.213,77.9,0.252,1,99.83
"split",29,2,2,12.286,90.34,78.054,0.106,1,99.7
"split",30,2,2,11.997,90.544,78.547,0.076,0,99.85
"split",31,2,2,11.984,90.749,78.765,0.095,1,99.89
"split",32,2,2,11.934,90.99,79.056,0.148,4,99.9
"split",33,2,2,11.923,90.939,79.016,0.079,3,99.76
"split",34,2,2,11.871,90.908,79.038,0.022,2,99.86
"split",35,2,2,11.869,90.827,78.958,0.096,3,99.7
"split",36,2,2,11.875,90.919,79.044,0.1,0,99.25
"split",37,2,2,11.859,91.107,79.248,0.051,2,99.11
"split",38,2,2,11.822,91.253,79.431,0.053,2,98.34
"split",39,2,2,11.91,91.394,79.484,0.112,1,97.38
"split",40,2,2,11.882,91.576,79.694,0.331,1,96.07
"split",41,2,2,11.888,91.378,79.49,0.048,1,95.36
"split",42,2,2,11.828,91.273,79.445,0.089,0,94.84
"split",43,3,2,11.784,91.242,79.457,0.318,1,93.53
"split",44,3,2,11.828,91.248,79.42,0.276,3,91.99
"split",45,3,2,11.854,91.237,79.383,0.07,3,90.7
"split",46,3,2,11.814,91.166,79.352,0.18,2,89.4
"split",47,3,2,11.884,91.15,79.266,0.061,1,87.61
"split",48,3,3,11.844,91.227,79.383,0.124,1,86.74
"split",49,3,3,12.132,91.103,78.971,0.155,0,84.84
"split",50,3,3,11.832,90.894,79.062,0.565,0,83.44
"split",51,3,3,12.004,90.771,78.767,0.185,1,81.97
"split",52,3,3,12.047,90.622,78.575,0.21,2,81.23
"split",53,3,3,12.271,90.433,78.163,0.121,2,79.75
"split",54,3,3,12.221,90.306,78.085,0.124,2,78.78
"split",55,3,3,12.199,90.154,77.954,0.088,1,77.74
"split",56,3,3,12.179,89.999,77.82,0.125,0,75.51
"split",57,3,3,12.062,89.891,77.829,0.056,0,74.38
"split",58,3,3,12.255,89.813,77.558,0.049,3,72.8
"split",59,3,3,12.3,89.633,77.333,0.071,1,71.02
"split",60,3,3,12.221,89.414,77.194,0.344,0,69.15
"split",61,3,3,12.252,89.218,76.966,0.127,0,67
"split",62,3,3,12.502,88.972,76.47,0.361,1,64.44
"split",63,3,3,12.643,88.797,76.154,0.228,0,63.14
"split",64,3,3,12.507,88.731,76.224,0.154,2,60.03
"split",65,3,3,12.423,88.469,76.046,0.041,3,57.68
"split",66,3,3,12.413,88.363,75.95,0.192,2,55.97
"split",67,3,3,12.642,88.209,75.567,0.211,0,52.68
"split",68,3,3,12.609,88.303,75.694,0.111,0,50.48
"split",69,3,3,12.577,88.216,75.64,0.056,2,51.61
"split",70,3,3,12.675,88.11,75.435,0.127,1,56.3
"split",71,3,3,12.79,88.031,75.241,0.24,2,58.23
"split",72,3,3,13.445,88.105,74.66,0.112,1,63.88
"split",73,3,3,13.941,88.097,74.156,0.471,1,66.29
"split",74,3,3,14.08,88.229,74.149,0.133,1,69.39
"split",75,3,3,14.208,88.193,73.986,0.15,1,70.74
"split",76,3,3,14.28,88.366,74.086,0.235,3,72.14
"split",77,3,2,14.298,88.374,74.076,0.068,0,73.47
"split",78,3,2,14.252,88.47,74.218,0.152,1,75.43
"split",79,3,2,14.072,88.49,74.419,0.184,2,77.92
"split",80,3,2,14.148,88.566,74.418,0.163,0,81.17
"split",81,2,2,13.941,88.555,74.615,0.038,1,83.57
"split",82,2,2,13.586,88.584,74.998,0.346,0,86.88
"split",83,2,2,13.529,88.652,75.123,0.1,1,89.63
"split",84,2,2,13.433,88.608,75.174,0.031,1,93.22
"split",85,2,2,13.404,88.513,75.108,0.046,3,95.38
