"family","angle","unit","pop","black","share","bvap"
"strip",18,1,177540,159269,89.709,88.988
"strip",18,2,178073,145309,81.601,81.249
"strip",18,3,178182,83806,47.034,45.112
"strip",18,4,177252,34936,19.71,19.204
"strip",18,5,177932,31495,17.701,17.342
"strip",18,6,177731,22809,12.833,12.242
"strip",19,1,177411,159135,89.698,88.983
"strip",19,2,178257,146158,81.993,81.629
"strip",19,3,177475,83603,47.107,45.193
"strip",19,4,178064,34679,19.476,18.973
"strip",19,5,177791,31312,17.612,17.227
"strip",19,6,177712,22737,12.794,12.219
"strip",20,1,177643,159378,89.718,88.987
"strip",20,2,177705,146229,82.287,81.962
"strip",20,3,177840,85003,47.797,45.665
"strip",20,4,178037,33011,18.542,18.386
"strip",20,5,177687,31235,17.579,17.191
"strip",20,6,177798,22768,12.806,12.229
"strip",21,1,177133,158863,89.686,88.95
"strip",21,2,178625,147712,82.694,82.34
"strip",21,3,177622,84473,47.558,45.422
"strip",21,4,177792,32582,18.326,18.195
"strip",21,5,177624,31251,17.594,17.196
"strip",21,6,177914,22743,12.783,12.214
"strip",22,1,177983,159678,89.715,88.977
"strip",22,2,177597,147591,83.104,82.782
"strip",22,3,177828,84384,47.453,45.314
"strip",22,4,177734,32011,18.011,17.938
"strip",22,5,177923,31318,17.602,17.174
"strip",22,6,177645,22642,12.746,12.19
"strip",23,1,177788,159481,89.703,88.968
"strip",23,2,177797,147940,83.207,82.867
"strip",23,3,177928,85423,48.01,45.832
"strip",23,4,177706,31327,17.629,17.199
"strip",23,5,177704,30852,17.361,17.352
"strip",23,6,177787,22601,12.712,12.156
"strip",24,1,177786,159464,89.694,88.953
"strip",24,2,177801,148161,83.33,82.997
"strip",24,3,177890,85706,48.179,45.985
"strip",24,4,177548,31316,17.638,17.195
"strip",24,5,177675,30443,17.134,17.155
"strip",24,6,178010,22534,12.659,12.109
"strip",25,1,177323,159014,89.675,88.94
"strip",25,2,178310,149437,83.807,83.446
"strip",25,3,177686,85110,47.899,45.763
"strip",25,4,178429,31667,17.748,17.3
"strip",25,5,177340,30113,16.98,17.008
"strip",25,6,177622,22283,12.545,11.988
"strip",26,1,177874,159556,89.702,88.969
"strip",26,2,177475,148756,83.818,83.46
"strip",26,3,177969,85465,48.022,45.88
"strip",26,4,177808,31957,17.973,17.54
"strip",26,5,177819,29689,16.696,16.724
"strip",26,6,177765,22201,12.489,11.938
"strip",27,1,177963,159617,89.691,88.961
"strip",27,2,177622,149551,84.196,83.805
"strip",27,3,177771,85383,48.03,45.952
"strip",27,4,177085,32009,18.076,17.627
"strip",27,5,177990,28902,16.238,16.349
"strip",27,6,178279,22162,12.431,11.889
"strip",28,1,177807,159429,89.664,88.938
"strip",28,2,177765,149951,84.354,83.946
"strip",28,3,177787,85392,48.031,45.939
"strip",28,4,177486,32311,18.205,17.753
"strip",28,5,177759,28611,16.095,16.213
"strip",28,6,178106,21930,12.313,11.763
"strip",29,1,177639,159220,89.631,88.92
"strip",29,2,177962,150686,84.673,84.227
"strip",29,3,177734,85167,47.918,45.82
"strip",29,4,177908,32395,18.209,17.751
"strip",29,5,177493,28290,15.939,16.096
"strip",29,6,177974,21866,12.286,11.744
"strip",30,1,177782,159338,89.625,88.916
"strip",30,2,177800,150857,84.846,84.382
"strip",30,3,177664,85404,48.071,45.975
"strip",30,4,177511,32845,18.503,18.012
"strip",30,5,178132,27846,15.632,15.808
"strip",30,6,177821,21334,11.997,11.463
"strip",31,1,177797,159356,89.628,88.923
"strip",31,2,177715,150929,84.928,84.457
"strip",31,3,177859,85665,48.165,46.069
"strip",31,4,177518,32877,18.52,18.025
"strip",31,5,178070,27492,15.439,15.61
"strip",31,6,177751,21305,11.986,11.453
"strip",32,1,178022,159543,89.62,88.921
"strip",32,2,177503,150776,84.943,84.463
"strip",32,3,177907,85782,48.217,46.108
"strip",32,4,177777,32999,18.562,18.057
"strip",32,5,177634,27298,15.368,15.552
"strip",32,6,177867,21226,11.934,11.407
"strip",33,1,177887,159373,89.592,88.898
"strip",33,2,177725,151089,85.013,84.525
"strip",33,3,177760,85680,48.2,46.071
"strip",33,4,177718,33010,18.574,18.064
"strip",33,5,177694,27257,15.339,15.549
"strip",33,6,177926,21215,11.923,11.402
"strip",34,1,177791,159305,89.602,88.904
"strip",34,2,177741,151146,85.037,84.56
"strip",34,3,177800,85875,48.299,46.116
