"kind","x","y"
"Black",1054.23,1231.77
"not Black",1064.5,1255.92
"not Black",1085.03,1288.57
"Black",1057.43,1245.9
"Black",1066.37,1264.28
"not Black",1058.57,1230.19
"Black",1057.18,1239.85
"not Black",1065.32,1287.31
"Black",1055.34,1242.77
"not Black",1060.12,1270.76
"not Black",1076.45,1291.49
"not Black",1065.07,1241.74
"not Black",1051.42,1237.13
"Black",1064.7,1255.14
"not Black",1064.11,1242.31
"not Black",1066.45,1258
"not Black",1071.02,1283.37
"Black",1058.45,1247.73
"not Black",1065.51,1242.52
"not Black",1071.48,1288.28
"not Black",1068.69,1281.59
"Black",1051.31,1245.74
"not Black",1058.85,1287.27
"not Black",1059.16,1258.29
"Black",1061.86,1241.07
"not Black",1065.23,1254.96
"not Black",1063.97,1287.62
"Black",1068.2,1251.62
"not Black",1066.08,1263.41
"Black",1070.12,1242.29
"Black",1052.41,1229.19
"not Black",1076.57,1291.56
"not Black",1052.66,1225.93
"not Black",1066.23,1255.67
"not Black",1063.82,1283.19
"not Black",1081.96,1287.93
"Black",1065.95,1257.3
"not Black",1069.08,1249.53
"Black",1068.43,1248.38
"not Black",1062.41,1274.51
"not Black",1069.83,1282.88
"not Black",1064.86,1262.9
"not Black",1073.77,1283.12
"not Black",1064.29,1260.86
"Black",1056.03,1251.56
"not Black",1066.36,1266.29
"not Black",1071.23,1284.63
"not Black",1067.8,1263.83
"Black",1065.5,1254.9
"Black",1057.16,1234.98
"Black",1060.41,1234.99
"not Black",1065.89,1280.36
"not Black",1066.94,1295.26
"Black",1063.58,1252.69
"not Black",1067.34,1281.21
"Black",1064.56,1258.85
"Black",1054.75,1247.55
"Black",1066.6,1253.87
"not Black",1080.62,1285.99
"not Black",1066.22,1260.17
"not Black",1079.32,1284.71
"Black",1064.54,1249.68
"not Black",1065.57,1255.14
"not Black",1065.86,1287.02
"not Black",1066.89,1300.99
"Black",1065.88,1247.93
"Black",1054.68,1232.04
"not Black",1066.26,1275.37
"not Black",1071.93,1294.85
"Black",1057.16,1253.83
"not Black",1072.24,1285.06
"not Black",1079.41,1290.47
"not Black",1073.1,1286.54
"not Black",1063.8,1255.21
"Black",1062.41,1244.44
"not Black",1071.38,1289.44
"Black",1065.23,1254.02
"not Black",1063.6,1255.09
"not Black",1066.32,1254.2
"Black",1066.06,1280.76
"not Black",1070.21,1280.15
"Black",1047.71,1235.82
"not Black",1083.34,1288.32
"not Black",1067.33,1253.73
"Black",1053.09,1233.23
"not Black",1060.62,1244.36
"not Black",1063.71,1272.46
"not Black",1072.98,1284.11
"not Black",1066.53,1253.1
"not Black",1063.54,1255.55
"not Black",1064.67,1262.6
"not Black",1066.23,1251.36
"Black",1056.35,1244.62
"not Black",1065.12,1254.52
"Black",1055.63,1231.05
"not Black",1067.17,1267.44
"Black",1062.44,1249.94
"not Black",1067.54,1278.61
"not Black",1072.63,1293.45
"Black",1051.55,1234.35
"Black",1054.27,1240.41
"Black",1067.73,1261.26
"Black",1048.83,1238.76
"not Black",1068.35,1251.61
"not Black",1065.81,1250.52
"Black",1059.87,1234.38
"Black",1058.72,1246.04
"Black",1056.47,1257.16
"Black",1063.94,1245.57
"Black",1059.06,1232.51
"not Black",1056.04,1257.9
"not Black",1068.04,1251.19
"Black",1068.94,1245.95
"Black",1055.57,1254.46
"not Black",1067.85,1256.94
"not Black",1062.01,1288.53
"not Black",1062.86,1286.59
"not Black",1082.14,1288.94
"not Black",1073.95,1287.22
"not Black",1070.87,1289.31
"not Black",1067.69,1255.26
"Black",1044.95,1239.48
"not Black",1075.21,1284.96
"not Black",1065.69,1256.66
"Black",1059.65,1247.68
"Black",1053.67,1248.31
"Black",1063.78,1248
"not Black",1069.7,1281.91
"not Black",1071.9,1293.21
"not Black",1064.94,1256.15
"not Black",1064.69,1254.74
"not Black",1058.78,1258.92
"not Black",1063,1288.99
"Black",1056.66,1233.68
"Black",1066.66,1243.8
"not Black",1061.94,1257.07
"not Black",1064.62,1273.94
"Black",1056.48,1243.5
"Black",1068.23,1248.89
"not Black",1075.81,1282.51
"Black",1049.69,1247.55
"Black",1057.31,1256.89
"not Black",1066.2,1264
"Black",1063.56,1246.63
"not Black",1063.07,1261.73
"not Black",1080.61,1285.94
"not Black",1062.69,1244.55
"not Black",1065.92,1265.92
"not Black",1067.34,1256.62
"not Black",1065.52,1255.74
"Black",1061.41,1246.12
"not Black",1066.41,1281.36
"not Black",1066.74,1252.86
"not Black",1071.38,1296.76
"Black",1064.57,1250.29
"Black",1076.09,1291.86
"Black",1052.02,1231.02
"Black",1052.73,1225.79
"Black",1059.99,1246.63
"not Black",1064.75,1262.79
"not Black",1067.16,1280.11
"not Black",1067.82,1300.94
"Black",1064.7,1253.93
"Black",1066.07,1280.11
"Black",1065.93,1270.74
"not Black",1076.49,1290.68
"not Black",1067.54,1283.54
"Black",1051.4,1226.81
"not Black",1069.12,1283.22
"not Black",1077.79,1289.18
"Black",1064.62,1248.8
"not Black",1067.11,1289.49
"not Black",1080.25,1288.18
"not Black",1062.17,1268.91
