"part","x","y"
1,1056.9,1227.4
1,1049.7,1224.3
1,1049.5,1223.7
1,1049.4,1223.5
1,1048.9,1223.5
1,1048.8,1223.3
1,1048.7,1222.8
1,1048.8,1222.6
1,1048.6,1222.3
1,1048,1222.2
1,1047.9,1222.3
1,1047.5,1222.3
1,1047.4,1223.1
1,1046.8,1223.1
1,1042.9,1222.7
1,1042.9,1222.5
1,1042.7,1222.4
1,1042.7,1222.6
1,1042,1222.5
1,1042,1222.5
1,1035.8,1221.7
1,1026.4,1220.7
1,1026.5,1220.9
1,1026.9,1221.1
1,1027.2,1221.1
1,1028.1,1221
1,1028.5,1221.1
1,1029.3,1221.8
1,1029.5,1222.1
1,1029.5,1222.5
1,1028.7,1223.3
1,1028.2,1224.2
1,1027.7,1224.5
1,1027.6,1224.8
1,1027.7,1225.3
1,1027.9,1225.6
1,1028,1226.4
1,1028.1,1226.7
1,1028.7,1227.3
1,1029.2,1227.6
1,1029.4,1227.9
1,1029.5,1229.3
1,1030.2,1230.6
1,1030.9,1231.1
1,1032,1232.4
1,1033,1233
1,1033.8,1234.6
1,1033.8,1234.9
1,1034.1,1235.1
1,1034.4,1234.9
1,1034.9,1234.3
1,1035.2,1234.3
1,1035.4,1234.5
1,1035.5,1234.8
1,1035.7,1235.3
1,1035.8,1235.9
1,1036.2,1236.2
1,1036.9,1236.6
1,1037.4,1237.2
1,1039.6,1238
1,1040.7,1238.7
1,1041.8,1238.9
1,1042.2,1239.2
1,1042.5,1240.2
1,1042.5,1240.5
1,1042.2,1241
1,1042.2,1241.9
1,1042.5,1242.2
1,1043.3,1242.1
1,1044.2,1242.9
1,1044.2,1243.2
1,1043.8,1243.9
1,1043.9,1244
1,1044.8,1244.6
1,1045.3,1245.2
1,1045.9,1245.7
1,1046.3,1246.5
1,1046.3,1247
1,1046.6,1247.3
1,1047.1,1247.7
1,1047.6,1247.7
1,1047.7,1247.9
1,1048,1248.8
1,1048.2,1249.4
1,1048.6,1249.7
1,1049.8,1251.2
1,1050.3,1251.8
1,1051.4,1252.7
1,1051.5,1252.9
1,1052,1254.2
1,1053.7,1255.6
1,1054.4,1256.4
1,1054.9,1257.5
1,1055.4,1258.1
1,1055.9,1258.3
1,1056.9,1259.7
1,1057.1,1259.9
1,1057.6,1259.9
1,1058.1,1259.7
1,1058.3,1259.9
1,1058.3,1260.2
1,1057.7,1261.3
1,1057.7,1261.5
1,1057.7,1262.4
1,1057.5,1262.7
1,1057.6,1262.9
1,1058,1263.6
1,1058,1263.8
1,1057.8,1264
1,1057.8,1264.4
1,1058.2,1265.1
1,1058.7,1265.7
1,1058.7,1266.4
1,1058.5,1266.8
1,1058.7,1267.2
1,1058.5,1267.7
1,1058.6,1268.3
1,1057.9,1269.1
1,1057.9,1269.4
1,1058.5,1270.2
1,1058.7,1270.8
1,1059.3,1271.1
1,1060.3,1272.1
1,1061.8,1274.4
1,1062.5,1275.1
1,1063,1276
1,1063,1276.3
1,1062.8,1276.6
1,1062.8,1276.8
1,1063,1276.9
1,1063.3,1277
1,1063.5,1277.6
1,1063.5,1278.6
1,1063.3,1278.8
1,1062.9,1279.1
1,1062.6,1279.2
1,1062.4,1279.1
1,1062,1279.4
1,1062.2,1279.6
1,1061.7,1279.9
1,1061.7,1280
1,1061.4,1280.4
1,1061.2,1280.5
1,1061.2,1280.7
1,1060.8,1280.7
1,1060.8,1280.9
