"plan","family","angle","unit","pop","black","share","bvap","pieces","pct_largest","fill"
"fewest","strip",161,1,177848,82443,46.36,44.77,2,72.38,"#77AFD4"
"fewest","strip",161,2,178582,81894,45.86,43.96,3,54.39,"#77AFD4"
"fewest","strip",161,3,177793,79883,44.93,43.77,1,99.87,"#7BB1D5"
"fewest","strip",161,4,177788,79057,44.47,44.23,2,66.2,"#7FB4D7"
"fewest","strip",161,5,177707,78920,44.41,43.5,2,75.66,"#7FB4D7"
"fewest","strip",161,6,176992,75427,42.62,40.98,2,70.63,"#83B6D8"
"most","split",165,1,177998,137188,77.07,76.48,1,99.99,"#236493"
"most","split",165,2,177718,98510,55.43,54.59,1,99.95,"#5399C7"
"most","split",165,3,177806,96558,54.31,51.22,1,99.76,"#579BC8"
"most","split",165,4,177590,92142,51.88,49.01,2,86.78,"#5FA0CB"
"most","split",165,5,177826,29724,16.72,16.31,1,99.98,"#DDE8F2"
"most","split",165,6,177772,23502,13.22,12.83,2,90.57,"#E3EBF3"
"fewest_contig","split",14,1,178135,152731,85.74,84.9,1,100,"#1B527D"
"fewest_contig","split",14,2,177636,151925,85.53,85.21,1,99.92,"#1B527D"
"fewest_contig","split",14,3,177644,79271,44.62,43.11,1,100,"#7BB1D5"
"fewest_contig","split",14,4,177756,39905,22.45,21.74,1,99.96,"#D1E2EF"
"fewest_contig","split",14,5,177951,30952,17.39,17.06,1,99.99,"#DDE8F2"
"fewest_contig","split",14,6,177588,22840,12.86,12.27,1,99.99,"#E3EBF3"
"most_contig","strip",86,1,177793,156731,88.15,87.33,1,100,"#194E78"
"most_contig","strip",86,2,176990,147378,83.27,82.5,1,100,"#1D5784"
"most_contig","strip",86,3,178516,89634,50.21,46.98,1,100,"#67A5CE"
"most_contig","strip",86,4,177542,33178,18.69,18.1,1,99.94,"#DAE6F2"
"most_contig","strip",86,5,177887,30251,17.01,17.54,1,99.98,"#DDE8F2"
"most_contig","strip",86,6,177982,20452,11.49,11.04,1,100,"#E6EDF4"
