"level","units","median_pop","mean_share","sd_share","p10_share","p90_share","max_share","units_majority","pct_black_in_majority","corr_child"
"Census block",165333,26,33.03,31.7607,0.826446,88.3978,100,39309,66.3302,0.0882043
"Block group",7433,1343,33.03,28.4035,4.1031,82.2235,99.5862,2070,58.6838,0.0968917
"Census tract",2784,3718,33.03,27.0737,4.84134,78.6777,98.7267,723,55.4474,0.0801182
"County",159,22842,33.03,17.6996,8.09938,53.3046,72.6998,22,34.8297,-0.146799
