script	stamped_on	stamp_source	file	bytes	sha256	rows	file_mtime
build-data.R	2026-08-17	disk	derived/categories.csv	1263	sha256:771165c130a7d6497f0f7e02137b0456a21f2b4bde868e7a5f07aa9686586970	12	2026-08-17
build-data.R	2026-08-17	disk	derived/counties.csv	416645	sha256:02215e9e1d3992cde10b32b59e7c7ee9150bc2dd8c0afac1d9ce4f5078194154	3143	2026-08-17
build-data.R	2026-08-17	disk	derived/decades.csv	632	sha256:7ff3470e2654779ab8af835700af5648d2c92853b3785b9d1dd2b0fcf00e47e1	2	2026-08-17
build-data.R	2026-08-17	disk	derived/eightmile_profile.csv	1059	sha256:00af2d5240dfb0645f70ac1c6d072787d9ec9ae129cdba14f0c88688456f4d36	20	2026-08-17
build-data.R	2026-08-17	disk	derived/facts.csv	4659	sha256:a52d42f78a852d66e64adacec6b3469508fac0936f884c68b164cef03a46cec5	191	2026-08-17
build-data.R	2026-08-17	disk	derived/ladder.csv	998	sha256:665bbf0ac5d895f7ef1cff328b3128d718560d141b5e59531d1f8c39f188ac0a	8	2026-08-17
build-data.R	2026-08-17	disk	derived/metros.csv	10174	sha256:2985f224ab385e0e8470ac1fe5d5fc80d777ea1efdab45d607581414f5bb6d99	50	2026-08-17
build-data.R	2026-08-17	disk	derived/nation.csv	461	sha256:eb9aee8555d8293a0a002760c54e14369ca75f0f93a5773cd24f1769dfe1c81a	1	2026-08-17
build-data.R	2026-08-17	disk	derived/regions.csv	2984	sha256:35cff5c7bfe2be23a8e297694bd548f08f532f64afb9136c95eada306dd5204b	13	2026-08-17
build-data.R	2026-08-17	disk	derived/standards.csv	1117	sha256:d92c8a2ccbad344134712e626da0b0ce875aebdb1d40072245b7ca28632757d6	3	2026-08-17
build-data.R	2026-08-17	disk	derived/states.csv	9895	sha256:14ff8de020fd14f525c1490faa3ff96af8369227fa273c146e480eca162debf3	51	2026-08-17
build-data.R	2026-08-17	disk	derived/tract_dist.csv	1579	sha256:0aaf55d8f4be35602acb17faadc99eea7c6104385461b81c0a1b4777f9043904	60	2026-08-17
build-data.R	2026-08-17	disk	derived/tract_largest.csv	178	sha256:74beb1e504a2f083ec4a5920568ea65626976d5686dedd8798201cb4c9cc1dce	9	2026-08-17
build-data.R	2026-08-17	disk	derived/us_divisions.csv	38352	sha256:46602b3586b95330a344af15aefaf401164bddb196762684a139ba6ff0976198	1321	2026-08-17
build-data.R	2026-08-17	disk	derived/us_maplabels.csv	3273	sha256:dfd767c369ca4b4cf6014ab098b9cdf9ff37e299218edf706876f0ff5e6736b8	55	2026-08-17
build-data.R	2026-08-17	disk	derived/us_rings.csv	27846	sha256:0cddca3c599646948249332091ad5a076bd6e13e177f5604a5a27ec502f3977f	1497	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_bg.csv	80941	sha256:b401c89b33cc45ae02062d41d3ffcb1410725cb4d219830551a028d1c8318dc6	1507	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_bg_rings.csv	318021	sha256:f0a72f6379764fc22de1e6d59918e5b90b57657e49c0dd8b9605fc86b84887c4	11192	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_block_rings.csv	373845	sha256:059d775e0fedb7a2e5825f01af972fee3d96f8a68bd64121cbf2a23b914a0044	11876	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_detroit_rings.csv	2709	sha256:659266cbe8691c0983aaa551403a72550132c54945f6174fb176a17fdc464765	120	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_outline.csv	2029	sha256:3e5c8d6df95f2b7c1f34c68948556a109e9dd8333beae1067e86a85d17dc8fc5	91	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_tract_rings.csv	156643	sha256:6b0130d3e73235dc1b7f57cd56cbed314fecfe0195f5bed7ea150de752bc5134	5700	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_tracts.csv	39976	sha256:908ff17d99440d363bd676af4b0ff134d28d68ab56b443195b3323f7a676324e	627	2026-08-17
build-data.R	2026-08-17	disk	derived/wayne_transect.csv	151650	sha256:57c0855347f1eb25a4251faeb5b61d1491a405f6aa058b1f147fb5bded793d6d	2234	2026-08-17
build-data.R	2026-08-17	disk	raw/README.txt	1248	sha256:98d4c55571ae606d0223bf2c9f67411abfc9ed70978f9682c36f92c147f8fe5a	24	2026-08-12
build-data.R	2026-08-17	disk	raw/source-shape.csv	113	sha256:945d536a5332eb9d9932d9c05fe0b82d6ccfef10cdae89743498e0dbbf590914	4	2026-08-12
build-data.R	2026-08-17	disk	raw/us000012020-head.txt	3065	sha256:024b8653b258c6342c3ec5ddf1698e91fcd61dfdcdf59f10cd96dba0c95b324b	4	2026-08-11
build-data.R	2026-08-17	disk	raw/usgeo2020-head.txt	917	sha256:f65090f72a9f7eb21366647045b82ac3db43c7c7433f718538da750a9925ca4d	4	2026-08-11
