"year","president","n_dem","n_rep","dem_worse","rep_worse","gap"
1980,"D",830,522,41.1,44.3,-3.2
1982,"R",768,443,43,27.5,15.5
1984,"R",1049,870,37.8,16.2,21.6
1986,"R",1084,770,29,21.9,7.1
1988,"R",949,823,30.2,16.9,13.3
1990,"R",1007,707,33.1,31.3,1.8
1992,"R",1220,923,39.8,26.8,13
1994,"D",832,746,26.2,29.6,-3.4
1996,"D",892,652,20.6,28.7,-8.1
1998,"D",655,467,19.7,22.5,-2.8
2000,"D",830,633,10.1,13.4,-3.3
2002,"R",699,665,33.9,23.5,10.4
2004,"R",587,482,42.4,19.1,23.3
2008,"R",1356,652,54.9,41.7,13.2
2012,"D",3075,1980,30.5,61.2,-30.7
2016,"D",1932,1727,16.9,31.7,-14.8
2020,"R",3832,3430,27.8,16.9,10.9
2024,"D",2549,2328,22,49.7,-27.7
