"year","code","category","respondents","pct_worse"
2020,1,"Strong Democrat",1956,82.9
2020,2,"Weak Democrat",900,72
2020,3,"Independent-Democrat",973,81.3
2020,4,"Independent-Independent",966,58.6
2020,5,"Independent-Republican",871,45.8
2020,6,"Weak Republican",830,48
2020,7,"Strong Republican",1724,31.9
2024,1,"Strong Democrat",1260,19
2024,2,"Weak Democrat",598,38.6
2024,3,"Independent-Democrat",688,36.3
2024,4,"Independent-Independent",353,68.3
2024,5,"Independent-Republican",680,79.6
2024,6,"Weak Republican",550,72.7
2024,7,"Strong Republican",1101,89.2
