"rule","counties","dem_counties_pct","dem_votes_pct","overlap_wf_pct"
"has a Whole Foods",212,76.8868,59.4461,100
"the 212 densest counties",212,74.5283,59.9243,64.1509
"the 212 most-educated counties",212,71.6981,61.5008,50.4717
"the 212 most populous counties",212,63.6792,57.4704,74.0566
