"level","name"
"010","us"
"020","region"
"030","division"
"040","state"
"050","county"
"060","county subdivision"
"067","subminor civil division"
"100","block"
"140","tract"
"150","block group"
"155","county (or part)"
"160","place"
"170","consolidated city"
"172","place (or part)"
"230","alaska native regional corporation"
"250","american indian area/alaska native area/hawaiian home land"
"252","american indian area/alaska native area (reservation or statistical entity only)"
"254","american indian area (off-reservation trust land only)/hawaiian home land"
"280","american indian area/alaska native area/hawaiian home land (or part)"
"281","tribal subdivision/remainder (or part)"
"282","county (or part)"
"283","american indian area/alaska native area (reservation or statistical entity only) (or part)"
"285","county (or part)"
"286","american indian area (off-reservation trust land only)/hawaiian home land (or part)"
"288","county (or part)"
"310","metropolitan statistical area/micropolitan statistical area"
"314","metropolitan division"
"330","combined statistical area"
"335","combined new england city and town area"
"350","new england city and town area"
"355","necta division"
"500","congressional district"
"510","county (or part)"
"511","tract (or part)"
"512","congressional district (or part)"
"521","county subdivision (or part)"
"531","place/remainder (or part)"
"532","congressional district (or part)"
"541","consolidated city (or part)"
"550","american indian area/alaska native area/hawaiian home land (or part)"
"553","tribal subdivision/remainder (or part)"
"570","school district (elementary) (or part)"
"571","school district (secondary) (or part)"
"572","school district (unified) (or part)"
"610","state legislative district (upper chamber)"
"612","county (or part)"
"613","county subdivision (or part)"
"614","place/remainder (or part)"
"615","consolidated city (or part)"
"616","american indian area/alaska native area/hawaiian home land (or part)"
"617","school district (elementary) (or part)"
"618","school district (secondary) (or part)"
"619","school district (unified) (or part)"
"620","state legislative district (lower chamber)"
"622","county (or part)"
"623","county subdivision (or part)"
"624","place/remainder (or part)"
"625","consolidated city (or part)"
"626","american indian area/alaska native area/hawaiian home land (or part)"
"627","school district (elementary) (or part)"
"628","school district (secondary) (or part)"
"629","school district (unified) (or part)"
"630","voting district (or part)"
"631","tract (or part)"
"632","subminor civil division (or part)"
"633","tribal subdivision/remainder (or part)"
"634","alaska native regional corporation (or part)"
"635","voting district (or part)"
"636","tract (or part)"
"637","subminor civil division (or part)"
"638","tribal subdivision/remainder (or part)"
"639","alaska native regional corporation (or part)"
"640","state legislative district (upper chamber) (or part)"
"641","state legislative district (lower chamber) (or part)"
"642","state legislative district (upper chamber) (or part)"
"643","state legislative district (lower chamber) (or part)"
"700","voting district"
"701","place/remainder (or part)"
"702","consolidated city (or part)"
"703","american indian area/alaska native area/hawaiian home land (or part)"
"704","tribal subdivision/remainder (or part)"
"705","alaska native regional corporation (or part)"
"706","school district (elementary) (or part)"
"707","school district (secondary) (or part)"
"708","school district (unified) (or part)"
"709","tract (or part)"
"710","county subdivision (or part)"
"715","subminor civil division (or part)"
"720","place/remainder (or part)"
"730","tract (or part)"
"735","tract (or part)"
"740","block group (or part)"
"745","block group (or part)"
"950","school district (elementary)"
"960","school district (secondary)"
"970","school district (unified)"
