"grouping","within","from","to","est","ang0","ang1"
"division",TRUE,"Pacific","West North Central",48255,5.441267,5.480425
"division",TRUE,"Pacific","South Atlantic",173769,5.480425,5.621435
"division",TRUE,"Pacific","East South Central",48587,5.621435,5.660862
"division",TRUE,"Pacific","West South Central",131305,5.660862,5.767413
"division",TRUE,"Pacific","Mountain",270712,5.767413,5.98709
"division",TRUE,"Pacific","Pacific",216726,5.98709,6.162959
"division",TRUE,"Pacific","Puerto Rico",848,6.162959,6.163647
"division",TRUE,"Puerto Rico","New England",3386,6.208647,6.211394
"division",TRUE,"Puerto Rico","Middle Atlantic",5314,6.211394,6.215707
"division",TRUE,"Puerto Rico","East North Central",2681,6.215707,6.217882
"division",TRUE,"Puerto Rico","West North Central",3020,6.217882,6.220333
"division",TRUE,"Puerto Rico","South Atlantic",13860,6.220333,6.23158
"division",TRUE,"Puerto Rico","East South Central",1927,6.23158,6.233144
"division",TRUE,"Puerto Rico","West South Central",4432,6.233144,6.23674
"division",TRUE,"Puerto Rico","Mountain",161,6.23674,6.236871
"division",TRUE,"Puerto Rico","Pacific",1620,6.236871,6.238185
"division",FALSE,"New England","Middle Atlantic",63566,0,0.070589
"division",FALSE,"New England","East North Central",16812,0.070589,0.089259
"division",FALSE,"New England","West North Central",4485,0.089259,0.094239
"division",FALSE,"New England","South Atlantic",92983,0.094239,0.197495
"division",FALSE,"New England","East South Central",9289,0.197495,0.207811
"division",FALSE,"New England","West South Central",18448,0.207811,0.228297
"division",FALSE,"New England","Mountain",13155,0.228297,0.242905
"division",FALSE,"New England","Pacific",36559,0.242905,0.283504
"division",FALSE,"New England","Puerto Rico",2546,0.283504,0.286331
"division",FALSE,"Middle Atlantic","New England",83931,0.331331,0.424535
"division",FALSE,"Middle Atlantic","East North Central",68465,0.424535,0.500565
"division",FALSE,"Middle Atlantic","West North Central",21004,0.500565,0.523889
"division",FALSE,"Middle Atlantic","South Atlantic",307170,0.523889,0.864997
"division",FALSE,"Middle Atlantic","East South Central",26482,0.864997,0.894405
"division",FALSE,"Middle Atlantic","West South Central",62670,0.894405,0.963999
"division",FALSE,"Middle Atlantic","Mountain",35448,0.963999,1.003364
"division",FALSE,"Middle Atlantic","Pacific",66755,1.003364,1.077494
"division",FALSE,"Middle Atlantic","Puerto Rico",5322,1.077494,1.083404
"division",FALSE,"East North Central","New England",18600,1.128404,1.149059
"division",FALSE,"East North Central","Middle Atlantic",53704,1.149059,1.208697
"division",FALSE,"East North Central","West North Central",86156,1.208697,1.304372
"division",FALSE,"East North Central","South Atlantic",179787,1.304372,1.504023
"division",FALSE,"East North Central","East South Central",71657,1.504023,1.583597
"division",FALSE,"East North Central","West South Central",74764,1.583597,1.666621
"division",FALSE,"East North Central","Mountain",73564,1.666621,1.748313
"division",FALSE,"East North Central","Pacific",67210,1.748313,1.822949
"division",FALSE,"East North Central","Puerto Rico",2392,1.822949,1.825605
"division",FALSE,"West North Central","New England",7264,1.870605,1.878672
"division",FALSE,"West North Central","Middle Atlantic",18797,1.878672,1.899546
"division",FALSE,"West North Central","East North Central",85482,1.899546,1.994472
"division",FALSE,"West North Central","South Atlantic",69065,1.994472,2.071168
"division",FALSE,"West North Central","East South Central",18596,2.071168,2.091818
"division",FALSE,"West North Central","West South Central",69463,2.091818,2.168956
"division",FALSE,"West North Central","Mountain",58944,2.168956,2.234413
"division",FALSE,"West North Central","Pacific",33256,2.234413,2.271343
"division",FALSE,"West North Central","Puerto Rico",0,2.271343,2.271343
"division",FALSE,"South Atlantic","New England",64247,2.316343,2.387688
"division",FALSE,"South Atlantic","Middle Atlantic",186857,2.387688,2.59519
"division",FALSE,"South Atlantic","East North Central",158068,2.59519,2.770723
"division",FALSE,"South Atlantic","West North Central",54211,2.770723,2.830923
"division",FALSE,"South Atlantic","East South Central",132019,2.830923,2.977529
"division",FALSE,"South Atlantic","West South Central",161793,2.977529,3.157197
"division",FALSE,"South Atlantic","Mountain",98753,3.157197,3.266861
"division",FALSE,"South Atlantic","Pacific",123341,3.266861,3.40383
"division",FALSE,"South Atlantic","Puerto Rico",10935,3.40383,3.415973
"division",FALSE,"East South Central","New England",6367,3.460973,3.468043
"division",FALSE,"East South Central","Middle Atlantic",13425,3.468043,3.482952
"division",FALSE,"East South Central","East North Central",55568,3.482952,3.544659
"division",FALSE,"East South Central","West North Central",17517,3.544659,3.564111
"division",FALSE,"East South Central","South Atlantic",121171,3.564111,3.69867
"division",FALSE,"East South Central","West South Central",50922,3.69867,3.755218
"division",FALSE,"East South Central","Mountain",21329,3.755218,3.778904
"division",FALSE,"East South Central","Pacific",24251,3.778904,3.805834
"division",FALSE,"East South Central","Puerto Rico",0,3.805834,3.805834
"division",FALSE,"West South Central","New England",14307,3.850834,3.866722
"division",FALSE,"West South Central","Middle Atlantic",31292,3.866722,3.901471
"division",FALSE,"West South Central","East North Central",64315,3.901471,3.972892
"division",FALSE,"West South Central","West North Central",56546,3.972892,4.035686
"division",FALSE,"West South Central","South Atlantic",158255,4.035686,4.211426
"division",FALSE,"West South Central","East South Central",59313,4.211426,4.277292
"division",FALSE,"West South Central","Mountain",91348,4.277292,4.378733
"division",FALSE,"West South Central","Pacific",91299,4.378733,4.480119
"division",FALSE,"West South Central","Puerto Rico",413,4.480119,4.480578
"division",FALSE,"Mountain","New England",15959,4.525578,4.5433
"division",FALSE,"Mountain","Middle Atlantic",25081,4.5433,4.571152
"division",FALSE,"Mountain","East North Central",56572,4.571152,4.633974
"division",FALSE,"Mountain","West North Central",65357,4.633974,4.706552
"division",FALSE,"Mountain","South Atlantic",113760,4.706552,4.832881
"division",FALSE,"Mountain","East South Central",26852,4.832881,4.8627
"division",FALSE,"Mountain","West South Central",97791,4.8627,4.971296
"division",FALSE,"Mountain","Pacific",169545,4.971296,5.159573
"division",FALSE,"Mountain","Puerto Rico",0,5.159573,5.159573
"division",FALSE,"Pacific","New England",36473,5.204573,5.245076
"division",FALSE,"Pacific","Middle Atlantic",66934,5.245076,5.319405
"division",FALSE,"Pacific","East North Central",76968,5.319405,5.404877
"division",FALSE,"Pacific","West North Central",48255,5.404877,5.458463
"division",FALSE,"Pacific","South Atlantic",173769,5.458463,5.651431
"division",FALSE,"Pacific","East South Central",48587,5.651431,5.705387
"division",FALSE,"Pacific","West South Central",131305,5.705387,5.851199
"division",FALSE,"Pacific","Mountain",270712,5.851199,6.151821
"division",FALSE,"Pacific","Puerto Rico",848,6.151821,6.152763
"division",FALSE,"Puerto Rico","New England",3386,6.197763,6.201523
"division",FALSE,"Puerto Rico","Middle Atlantic",5314,6.201523,6.207424
"division",FALSE,"Puerto Rico","East North Central",2681,6.207424,6.210401
