"grouping","from","to","est","moe","cells","suppressed","within"
"division","East North Central","East North Central",205429,11124,20,0,TRUE
"division","East North Central","East South Central",71657,7710,20,1,FALSE
"division","East North Central","Middle Atlantic",53704,5873,15,0,FALSE
"division","East North Central","Mountain",73564,7952,40,2,FALSE
"division","East North Central","New England",18600,3150,30,8,FALSE
"division","East North Central","Pacific",67210,8414,25,3,FALSE
"division","East North Central","Puerto Rico",2392,1384,5,1,FALSE
"division","East North Central","South Atlantic",179787,11462,45,3,FALSE
"division","East North Central","West North Central",86156,6436,35,2,FALSE
"division","East North Central","West South Central",74764,8589,20,0,FALSE
"division","East South Central","East North Central",55568,5579,20,1,FALSE
"division","East South Central","East South Central",78760,7867,12,0,TRUE
"division","East South Central","Middle Atlantic",13425,3367,12,2,FALSE
"division","East South Central","Mountain",21329,4737,32,6,FALSE
"division","East South Central","New England",6367,1793,24,6,FALSE
"division","East South Central","Pacific",24251,5092,20,2,FALSE
"division","East South Central","Puerto Rico",0,447,4,1,FALSE
"division","East South Central","South Atlantic",121171,11498,36,5,FALSE
"division","East South Central","West North Central",17517,3224,28,5,FALSE
"division","East South Central","West South Central",50922,6505,16,0,FALSE
"division","Middle Atlantic","East North Central",68465,7320,15,0,FALSE
"division","Middle Atlantic","East South Central",26482,5267,12,1,FALSE
"division","Middle Atlantic","Middle Atlantic",209596,12892,6,0,TRUE
"division","Middle Atlantic","Mountain",35448,4917,24,1,FALSE
"division","Middle Atlantic","New England",83931,6971,18,0,FALSE
"division","Middle Atlantic","Pacific",66755,6788,15,0,FALSE
"division","Middle Atlantic","Puerto Rico",5322,1802,3,0,FALSE
"division","Middle Atlantic","South Atlantic",307170,16182,27,0,FALSE
"division","Middle Atlantic","West North Central",21004,3960,21,2,FALSE
"division","Middle Atlantic","West South Central",62670,7041,12,0,FALSE
"division","Mountain","East North Central",56572,5875,40,2,FALSE
"division","Mountain","East South Central",26852,4410,32,3,FALSE
"division","Mountain","Middle Atlantic",25081,4496,24,2,FALSE
"division","Mountain","Mountain",164477,10537,56,1,TRUE
"division","Mountain","New England",15959,3621,48,7,FALSE
"division","Mountain","Pacific",169545,10905,40,2,FALSE
"division","Mountain","Puerto Rico",0,730,8,0,FALSE
"division","Mountain","South Atlantic",113760,9560,72,6,FALSE
"division","Mountain","West North Central",65357,6399,56,9,FALSE
"division","Mountain","West South Central",97791,9129,32,2,FALSE
"division","New England","East North Central",16812,2958,30,4,FALSE
"division","New England","East South Central",9289,2349,24,7,FALSE
"division","New England","Middle Atlantic",63566,5943,18,0,FALSE
"division","New England","Mountain",13155,2556,48,7,FALSE
"division","New England","New England",127398,9159,30,1,TRUE
"division","New England","Pacific",36559,5171,30,7,FALSE
"division","New England","Puerto Rico",2546,1319,6,2,FALSE
"division","New England","South Atlantic",92983,8519,54,5,FALSE
"division","New England","West North Central",4485,1396,42,11,FALSE
"division","New England","West South Central",18448,3745,24,7,FALSE
"division","Pacific","East North Central",76968,7261,25,0,FALSE
"division","Pacific","East South Central",48587,7164,20,1,FALSE
"division","Pacific","Middle Atlantic",66934,6655,15,2,FALSE
"division","Pacific","Mountain",270712,14644,40,1,FALSE
"division","Pacific","New England",36473,4853,30,6,FALSE
"division","Pacific","Pacific",216726,12032,20,0,TRUE
"division","Pacific","Puerto Rico",848,1073,5,0,FALSE
"division","Pacific","South Atlantic",173769,12657,45,5,FALSE
"division","Pacific","West North Central",48255,5409,35,4,FALSE
"division","Pacific","West South Central",131305,11122,20,1,FALSE
"division","Puerto Rico","East North Central",2681,1687,5,1,FALSE
"division","Puerto Rico","East South Central",1927,1222,4,2,FALSE
"division","Puerto Rico","Middle Atlantic",5314,1879,3,0,FALSE
"division","Puerto Rico","Mountain",161,490,8,3,FALSE
"division","Puerto Rico","New England",3386,1799,6,1,FALSE
"division","Puerto Rico","Pacific",1620,741,5,1,FALSE
"division","Puerto Rico","South Atlantic",13860,2952,9,1,FALSE
"division","Puerto Rico","West North Central",3020,1667,7,2,FALSE
"division","Puerto Rico","West South Central",4432,1898,4,2,FALSE
"division","South Atlantic","East North Central",158068,10893,45,3,FALSE
"division","South Atlantic","East South Central",132019,9989,36,3,FALSE
"division","South Atlantic","Middle Atlantic",186857,13094,27,1,FALSE
"division","South Atlantic","Mountain",98753,11296,72,12,FALSE
"division","South Atlantic","New England",64247,6472,54,7,FALSE
"division","South Atlantic","Pacific",123341,9551,45,2,FALSE
"division","South Atlantic","Puerto Rico",10935,2586,9,2,FALSE
"division","South Atlantic","South Atlantic",671497,24268,72,3,TRUE
"division","South Atlantic","West North Central",54211,5900,63,9,FALSE
"division","South Atlantic","West South Central",161793,13128,36,3,FALSE
"division","West North Central","East North Central",85482,6748,35,1,FALSE
"division","West North Central","East South Central",18596,3673,28,2,FALSE
"division","West North Central","Middle Atlantic",18797,3985,21,3,FALSE
"division","West North Central","Mountain",58944,6409,56,4,FALSE
"division","West North Central","New England",7264,2423,42,11,FALSE
"division","West North Central","Pacific",33256,4423,35,3,FALSE
"division","West North Central","Puerto Rico",0,516,7,3,FALSE
"division","West North Central","South Atlantic",69065,7390,63,8,FALSE
"division","West North Central","West North Central",132218,8281,42,2,TRUE
"division","West North Central","West South Central",69463,8432,28,4,FALSE
"division","West South Central","East North Central",64315,6248,20,0,FALSE
"division","West South Central","East South Central",59313,6622,16,0,FALSE
"division","West South Central","Middle Atlantic",31292,4912,12,2,FALSE
"division","West South Central","Mountain",91348,8854,32,5,FALSE
"division","West South Central","New England",14307,3023,24,7,FALSE
"division","West South Central","Pacific",91299,8645,20,2,FALSE
"division","West South Central","Puerto Rico",413,435,4,2,FALSE
"division","West South Central","South Atlantic",158255,15801,36,4,FALSE
"division","West South Central","West North Central",56546,6214,28,1,FALSE
"division","West South Central","West South Central",129421,9682,12,0,TRUE
"region","Midwest","Midwest",509285,16712,132,5,TRUE
"region","Midwest","Northeast",98365,8134,108,22,FALSE
"region","Midwest","Puerto Rico",2392,1477,12,4,FALSE
"region","Midwest","South",483332,20095,204,18,FALSE
"region","Midwest","West",232974,13953,156,12,FALSE
"region","Northeast","Midwest",110766,8942,108,17,FALSE
"region","Northeast","Northeast",484491,18276,72,1,TRUE
"region","Northeast","Puerto Rico",7868,2233,9,2,FALSE
"region","Northeast","South",517042,20767,153,20,FALSE
"region","Northeast","West",151917,10175,117,15,FALSE
"region","Puerto Rico","Midwest",5701,2371,12,3,FALSE
"region","Puerto Rico","Northeast",8700,2602,9,1,FALSE
"region","Puerto Rico","South",20219,3717,17,5,FALSE
"region","Puerto Rico","West",1781,888,13,4,FALSE
"region","South","Midwest",406225,16512,204,19,FALSE
"region","South","Northeast",316495,16161,153,25,FALSE
"region","South","Puerto Rico",11348,2660,17,5,FALSE
"region","South","South",1563151,38533,272,18,TRUE
"region","South","West",450321,20502,221,29,FALSE
"region","West","Midwest",247152,12548,156,15,FALSE
"region","West","Northeast",144447,10058,117,17,FALSE
"region","West","Puerto Rico",848,1298,13,0,FALSE
"region","West","South",592064,23008,221,18,FALSE
"region","West","West",821460,24272,156,4,TRUE
