"key","value"
"units","52"
"ordered_pairs","2652"
"suppressed_pairs","279"
"sig_pairs","1714"
"movers_between_states","7157607"
"movers_within_state","29888154"
"movers_abroad","2552193"
"acs_year","2024"
"divisions","10"
"regions","5"
"div_ribbons","99"
"reg_ribbons","24"
"within_div","1935522"
"between_div","5252822"
"within_pct","26.9"
"big_a","Middle Atlantic"
"big_b","South Atlantic"
"big_gross","494027"
"big_ab","307170"
"big_ba","186857"
"big_net","120313"
"big_net_pct","24.4"
"netb_a","Middle Atlantic"
"netb_b","South Atlantic"
"netb_net","120313"
"netb_gross","494027"
"netb_net_pct","24.4"
"tiny_a","South Atlantic"
"tiny_b","West South Central"
"tiny_gross","320048"
"tiny_net","3538"
"tiny_net_moe","20543"
"canc_a","Middle Atlantic"
"canc_b","Pacific"
"canc_gross","133689"
"canc_net","-179"
"canc_net_moe","9506"
"ne_south_net","200547"
"ne_south_gross","833537"
"south_west_net","-141743"
"south_west_gross","1042385"
"div_cells","99"
"div_cells_supp","78"
"div_cells_zero","3"
"div_pairs","45"
"div_pairs_sig","21"
"reg_pairs","10"
"reg_pairs_sig","6"
"median_net_pct","12.1"
"overall_net_pct","12.6"
"loser_seats","238"
"winner_seats","197"
"loser_divs","5"
"winner_divs","4"
"top_gainer","East South Central"
"top_gainer_per1k","4.27"
"top_loser","Middle Atlantic"
"top_loser_per1k","-5.05"
"pr_out","36401"
"pr_in","22456"
