"year","stab","dnum","last","first","party","nonpartisan","prim_votes","prim_share"
2004,"TX","09","Bell","Chris","D",FALSE,8492,31.2977
2004,"TX","28","Rodriguez","Ciro D.","D",FALSE,24448,49.7933
2006,"GA","04","McKinney","Cynthia","D",FALSE,29216,47.1241
2008,"MD","01","Gilchrest","Wayne T.","R",FALSE,25624,33.1
2008,"MD","04","Wynn","Albert R.","D",FALSE,48885,36.8849
2008,"TN","01","Davis","David","R",FALSE,25511,49.2177
2008,"UT","03","Cannon","Chris","R",FALSE,19255,40.221
2010,"AL","05","Griffith","Parker","R",FALSE,23525,33.4371
2010,"MI","13","Kilpatrick","Carolyn Cheeks","D",FALSE,19507,40.8926
2010,"SC","04","Inglis","Bob","R",FALSE,23877,27.4612
2010,"WV","01","Mollohan","Alan B.","D",FALSE,28500,44.0938
2012,"AZ","06","Quayle","Ben","R",FALSE,39414,48.5185
2012,"FL","03","Stearns","Clifford B. ""Cliff""","R",FALSE,21398,33.0374
2012,"FL","07","Adams","Sandra ""Sandy""","R",FALSE,20404,38.8477
2012,"IL","16","Manzullo","Donald A.","R",FALSE,38889,46.0579
2012,"MI","14","Clarke","Hansen","D",FALSE,30847,35.1866
2012,"MO","01","Carnahan","Russ","D",FALSE,30943,33.8901
2012,"NJ","09","Rothman","Steven","D",FALSE,19947,38.821
2012,"OH","02","Schmidt","Jean","R",FALSE,37383,42.9004
2012,"OH","09","Kucinich","Dennis J.","D",FALSE,30564,40.023
2012,"OK","01","Sullivan","John","R",FALSE,24058,46.1651
2012,"PA","12","Altmire","Jason","D",FALSE,30895,48.8235
2012,"PA","17","Holden","Tim","D",FALSE,24953,42.8687
2012,"TX","16","Reyes","Silvestre","D",FALSE,20440,44.3471
2014,"MA","06","Tierney","John F.","D",FALSE,28915,40.1592
2014,"MI","11","Bentivolio","Kerry Lynn","R",FALSE,21254,33.5968
2014,"TX","04","Hall","Ralph M.","R",FALSE,29848,45.4169
2014,"VA","07","Cantor","Eric I.","R",FALSE,28912,44.4684
2016,"FL","05","Brown","Corrine","D",FALSE,32235,39.0306
2016,"KS","01","Huelskamp","Tim","R",FALSE,45997,43.4401
2016,"NC","02","Ellmers","Renee","R",FALSE,7552,23.6037
2016,"PA","02","Fattah","Chaka","D",FALSE,61518,34.4245
2016,"VA","02","Forbes","J. Randy","R",FALSE,16552,40.6374
2018,"MA","07","Capuano","Michael E.","D",FALSE,42430,41.4048
2018,"NC","09","Pittenger","Robert","R",FALSE,16474,46.2195
2018,"NY","14","Crowley","Joseph","D",FALSE,12880,43.2534
2018,"SC","01","Sanford","Mark","R",FALSE,30496,46.5013
2020,"CO","03","Tipton","Scott R.","R",FALSE,48805,45.4072
2020,"FL","15","Spano","Ross","R",FALSE,29265,48.7742
2020,"IA","04","King","Steve","R",FALSE,29366,35.9081
2020,"IL","03","Lipinski","Daniel William","D",FALSE,49568,44.7155
2020,"KS","02","Watkins","Steve","R",FALSE,33053,33.9134
2020,"MO","01","Clay","Lacy","D",FALSE,68887,45.6172
2020,"NY","16","Engel","Eliot L.","D",FALSE,36149,40.5982
2022,"GA","07","Bourdeaux","Carolyn","D",FALSE,16310,30.6182
2022,"IL","06","Newman","Marie","D",FALSE,19726,29.2389
2022,"IL","15","Davis","Rodney","R",FALSE,47852,42.5726
2022,"MI","03","Meijer","Peter","R",FALSE,50440,48.2329
2022,"MI","11","Levin","Andy","D",FALSE,47117,40.057
2022,"MS","04","Palazzo","Steven","R",FALSE,16387,31.488
2022,"NC","11","Cawthorn","Madison","R",FALSE,28112,31.8521
2022,"NE","01","Fortenberry","Jeff","R",FALSE,9807,11.8218
2022,"NY","12","Maloney","Carolyn B.","D",FALSE,21916,24.4576
2022,"OR","05","Schrader","Kurt","D",FALSE,38726,45.0963
2022,"SC","07","Rice","Tom","R",FALSE,20927,24.5587
2022,"WA","03","Beutler","Jaime Herrera","R",TRUE,49001,22.2952
2022,"WV","02","McKinley","David B.","R",FALSE,29619,35.5694
2022,"WY","00","Cheney","Liz","R",FALSE,49339,28.9395
