"year","fecid","stab","dnum","last","first","party","nonpartisan","ran_prim","unopposed","prim_votes","won_nom","rivals","on_gen","ge_win","fec_flag","pid","how","denied","contested","prim_total","prim_share"
2004,"H4AK00065","AK","00","Young","Don E.","R",FALSE,TRUE,FALSE,70142,TRUE,0,TRUE,FALSE,TRUE,"Y000033","exact",FALSE,FALSE,70142,100
2004,"H2AL01077","AL","01","Bonner","Jo","R",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"B001244","exact",FALSE,FALSE,NA,NA
2004,"H2AL02067","AL","02","Everett","Terry","R",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"E000268","exact",FALSE,FALSE,NA,NA
2004,"H2AL03032","AL","03","Rogers","Mike","R",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"R000575","exact",FALSE,FALSE,NA,NA
2004,"H6AL04098","AL","04","Aderholt","Robert","R",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"A000055","exact",FALSE,FALSE,NA,NA
2004,"H0AL05049","AL","05","Cramer","Bud","D",FALSE,TRUE,FALSE,37573,TRUE,1,TRUE,FALSE,TRUE,"C000868","exact",FALSE,TRUE,41966,89.532
2004,"H2AL06035","AL","06","Bachus","Spencer","R",FALSE,TRUE,FALSE,45448,TRUE,1,TRUE,FALSE,TRUE,"B000013","exact",FALSE,TRUE,52448,86.6534
2004,"H0AL07060","AL","07","Davis","Artur","D",FALSE,TRUE,FALSE,58193,TRUE,1,TRUE,FALSE,TRUE,"D000602","exact",FALSE,TRUE,66254,87.8332
2004,"H6AR01072","AR","01","Berry","Marion","D",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"B000420","exact",FALSE,FALSE,NA,NA
2004,"H6AR02203","AR","02","Synder","Vic","D",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"S000672","edit distance <= 2",FALSE,FALSE,NA,NA
2004,"H2AR03176","AR","03","Boozman","John","R",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"B001236","exact",FALSE,FALSE,NA,NA
2004,"H0AR04038","AR","04","Ross","Mike","D",FALSE,TRUE,TRUE,NA,TRUE,0,TRUE,FALSE,TRUE,"R000573","exact",FALSE,FALSE,NA,NA
2004,"H2AZ01172","AZ","01","Renzi","Rick","R",FALSE,TRUE,FALSE,36723,TRUE,0,TRUE,FALSE,TRUE,"R000574","exact",FALSE,FALSE,36723,100
2004,"H4AZ04024","AZ","02","Franks","Trent","R",FALSE,TRUE,FALSE,45261,TRUE,1,TRUE,FALSE,TRUE,"F000448","exact",FALSE,TRUE,71132,63.6296
2004,"H4AZ04016","AZ","03","Shadegg","John","R",FALSE,TRUE,FALSE,43552,TRUE,0,TRUE,FALSE,TRUE,"S000275","exact",FALSE,FALSE,43552,100
2004,"H2AZ02055","AZ","04","Pastor","Ed","D",FALSE,TRUE,FALSE,15201,TRUE,0,TRUE,FALSE,TRUE,"P000099","exact",FALSE,FALSE,15201,100
2004,"H4AZ06052","AZ","05","Hayworth","J. D.","R",FALSE,TRUE,FALSE,43166,TRUE,1,TRUE,FALSE,TRUE,"H000413","exact",FALSE,TRUE,54462,79.2589
2004,"H0AZ01184","AZ","06","Flake","Jeff","R",FALSE,TRUE,FALSE,33784,TRUE,1,TRUE,FALSE,TRUE,"F000444","exact",FALSE,TRUE,56970,59.3014
2004,"H2AZ07070","AZ","07","Grijalva","Raúl","D",FALSE,TRUE,FALSE,26450,TRUE,0,TRUE,FALSE,TRUE,"G000551","exact",FALSE,FALSE,26450,100
2004,"H2AZ02014","AZ","08","Kolbe","Jim","R",FALSE,TRUE,FALSE,36039,TRUE,1,TRUE,FALSE,TRUE,"K000306","exact",FALSE,TRUE,62725,57.4556
2004,"H8CA01109","CA","01","Thompson","Mike","D",FALSE,TRUE,FALSE,92371,TRUE,0,TRUE,FALSE,TRUE,"T000460","exact",FALSE,FALSE,92371,100
2004,"H6CA02010","CA","02","Herger","Wally","R",FALSE,TRUE,FALSE,79923,TRUE,0,TRUE,FALSE,TRUE,"H000528","exact",FALSE,FALSE,79923,100
2004,"H0CA14042","CA","04","Doolittle","John T.","R",FALSE,TRUE,FALSE,105015,TRUE,0,TRUE,FALSE,TRUE,"D000429","exact",FALSE,FALSE,105015,100
2004,"H8CA03014","CA","05","Matsui","Robert T.","D",FALSE,TRUE,FALSE,63291,TRUE,0,TRUE,FALSE,TRUE,"M000249","exact",FALSE,FALSE,63291,100
2004,"H2CA01045","CA","06","Woolsey","Lynn","D",FALSE,TRUE,FALSE,99970,TRUE,1,TRUE,FALSE,TRUE,"W000738","exact",FALSE,TRUE,119009,84.0021
2004,"H6CA07043","CA","07","Miller","George","D",FALSE,TRUE,FALSE,71268,TRUE,0,TRUE,FALSE,TRUE,"M000725","exact",FALSE,FALSE,71268,100
2004,"H8CA05035","CA","08","Pelosi","Nancy","D",FALSE,TRUE,FALSE,94564,TRUE,0,TRUE,FALSE,TRUE,"P000197","exact",FALSE,FALSE,94564,100
2004,"H8CA09060","CA","09","Lee","Barbara","D",FALSE,TRUE,FALSE,105211,TRUE,0,TRUE,FALSE,TRUE,"L000551","exact",FALSE,FALSE,105211,100
2004,"H6CA10088","CA","10","Tauscher","Ellen O.","D",FALSE,TRUE,FALSE,75997,TRUE,0,TRUE,FALSE,TRUE,"T000057","exact",FALSE,FALSE,75997,100
2004,"H2CA11051","CA","11","Pombo","Richard","R",FALSE,TRUE,FALSE,65046,TRUE,0,TRUE,FALSE,TRUE,"P000419","exact",FALSE,FALSE,65046,100
2004,"H0CA11022","CA","12","Lantos","Tom","D",FALSE,TRUE,FALSE,63323,TRUE,2,TRUE,FALSE,TRUE,"L000090","exact",FALSE,TRUE,86108,73.539
2004,"H6CA09023","CA","13","Stark","Fortney Pete","D",FALSE,TRUE,FALSE,59726,TRUE,0,TRUE,FALSE,TRUE,"S000810","exact",FALSE,FALSE,59726,100
