"year","house","senate","house_dem","house_rep","n_lines","summary_line"
1966,8,3,6,2,15,"1966: 3 Senate (3 D), 8 House (6 D, 2 R)"
1968,4,4,3,1,9,"1968: 4 Senate (3 D, 1 R), 4 House (3 D, 1 R)"
1970,10,1,9,1,12,"1970: 1 Senate (1 D), 10 House (9 D, 1 R)"
1972,13,2,11,2,20,"1972: 2 Senate (2 D), 13 House (11 D, 2 R)"
1974,8,2,5,3,11,"1974: 2 Senate (2 D), 8 House (5 D, 3 R)"
1976,3,0,2,1,4,"1976: 3 House (2 D, 1 R)"
1978,5,3,5,1,9,"1978: 3 Senate (2 D, 1 R), 5 House (5 D)"
1980,6,4,4,1,11,"1980: 4 Senate (3 D, 1 R), 6 House (4 D, 2 R)"
1982,10,0,6,4,11,"1982: 10 House (6 D, 4 R)"
1984,3,0,3,NA,4,"1984: 3 House (3 D)"
1986,2,0,1,1,5,"1986: 2 House (1 D, 1 R)^"
1988,1,0,NA,NA,2,"1988: 1 House (1 R)"
1990,1,0,NA,NA,2,"1990: 1 House (1 R)"
1992,19,1,14,5,21,"1992: 19 House (14 D, 5 R), 1 Senate (1 D)"
1994,4,0,3,1,5,"1994: 4 House (3 D, 1 R)"
1996,2,1,1,1,4,"1996: 2 House (1 D, 1 R), 1 Senate (1 R)"
1998,1,0,NA,NA,2,"1998: 1 House (1 R)"
2000,3,0,2,1,4,"2000: 3 House (2 D, 1 R)"
2002,8,1,6,2,10,"2002: 8 House (6 D, 2 R), 1 Senate (1 R)"
2004,2,0,2,NA,3,"2004: 2 House (2 D)"
2006,2,1,1,1,4,"2006: 2 House (1 D, 1 R), 1 Senate (1 D)"
2008,4,0,1,3,5,"2008: 4 House (1 D, 3 R)"
2010,4,3,2,2,10,"2010: 4 House (2 D, 2 R), 3 Senate (1 D, 2 R)"
2012,13,1,7,6,15,"2012: 13 House (7 D, 6 R), 1 Senate (1 R)"
2014,5,0,1,4,6,"2014: 5 House (1 D, 4 R)*"
2016,5,0,2,3,5,"2016: 5 House (2 D, 3 R)"
2017,0,1,NA,NA,1,"2017: 1 Senate (1 R)"
2018,4,0,2,2,4,"2018: 4 House (2 D, 2 R)"
2020,8,0,3,5,8,"2020: 8 House (3 D, 5 R)"
2022,14,0,6,8,15,"2022: 14 House (6 D, 8 R)^"
2024,4,0,2,2,4,"2024: 4 House (2 D, 2 R)"
2026,10,2,7,3,13,"2026: 2 Senate (2 R), 10^ House (7 D, 3 R) as of Aug. 11, 2026^"
