"check","value"
"Voteview rows","51,062"
"House member-Congress rows, 50 states","40,875"
"Congresses covered","1 to 119"
"FEC House candidate rows, 2004-2022","22,156"
"FEC cycles read","10"
"incumbent-cycles in the FEC files","3,936"
"nominee derivation vs the FEC's own flag, 2020-2022: candidacies compared","4,225"
"of those, candidacies where the two disagree","16 (0.38%)"
"same test restricted to incumbents: candidacies compared","798"
"of those, incumbent candidacies where the two disagree","3 (0.38%)"
"incumbent-cycles matched to a Voteview member","3931 of 3938 (99.82%)"
"of those, matched by the permanent FEC candidate id","2,731"
"matched on the exact surname within the state","1,182"
"matched by a looser name rule","18"
"not matched at all, and dropped","7"
"incumbents the FEC did not mark, recovered by id","6"
"party switchers with two Voteview rows in one Congress","16"
"primary defeats, this script, 2004-2022","58"
"primary defeats, Brookings Table 2-7, same years","61"
"primary defeats, Giroux tracker, same years","61"
"largest single-year gap to Brookings","1 (2006)"
"largest single-year gap to Giroux","1 (2006)"
"House members re-elected, this script, 2004-2022","3,653"
"House members re-elected, Brookings, same years","3,672"
"Giroux tracker rows","288"
"Giroux year-blocks parsed","32"
