"GEOID20","white","black","hispanic","asian","aian"
"131530201061000",0,0,0,0,0
"131530201061001",0,0,0,0,0
"131530201061002",21,8,0,0,0
"131530201061003",0,0,0,0,0
"131530201061004",0,0,0,0,0
"131530201061005",0,0,0,0,0
"131530201061006",0,0,0,0,0
"131530201061007",124,33,4,4,0
"131530201061008",0,0,0,0,0
"131530201061009",0,0,0,0,0
"131530201061010",49,24,1,0,0
"131530201061011",24,12,4,1,0
"131530201061012",46,1,4,0,0
"131530201061013",23,6,4,0,0
"131530201061014",8,6,3,3,0
"131530201061015",0,0,0,0,0
"131530201061016",0,0,0,0,0
"131530201061017",3,9,5,3,0
"131530201061018",0,0,0,0,0
"131530201061019",120,128,0,0,0
"131530201061020",56,6,3,0,0
"131530201061021",105,36,2,3,0
"131530201061022",104,35,0,0,0
"131530201061023",21,13,5,0,0
"131530201061024",19,22,5,0,1
"131530201061025",1,0,2,1,1
"131530201061026",0,0,0,0,0
"131530201061027",71,20,2,6,0
"131530201061028",36,9,1,0,0
"131530201061029",0,0,0,0,0
"131530201061030",5,2,6,0,0
"131530201061031",9,2,3,1,0
"131530201061032",47,18,2,0,0
"131530201061033",24,6,1,0,0
"131530201061034",38,3,4,0,0
"131530201061035",0,0,0,0,0
"131530201061036",31,3,2,0,0
"131530201061037",34,8,6,3,0
"131530201062000",0,0,0,0,0
"131530201062001",0,0,0,0,0
"131530201062002",23,0,0,0,0
"131530201062003",15,1,3,1,0
"131530201062004",59,0,1,0,0
"131530201062005",22,0,2,0,0
"131530201062006",16,2,3,1,0
"131530201062007",22,9,1,0,0
"131530201062008",69,40,1,1,0
"131530201062009",59,14,2,0,0
"131530201062010",16,1,1,0,1
"131530201062011",0,0,0,0,0
"131530201062012",0,0,0,0,0
"131530201062013",0,0,0,0,0
"131530201062014",0,0,0,0,0
"131530201062015",154,50,27,1,0
"131530201062016",0,0,0,0,0
"131530201062017",0,0,0,0,0
"131530201062018",0,0,0,0,0
"131530201062019",0,0,0,0,0
"131530201062020",0,0,0,0,0
"131530201062021",0,0,0,0,0
"131530201062022",0,20,0,0,0
"131530201062023",0,0,0,0,0
"131530201062024",0,0,0,0,0
"131530201062025",0,0,0,0,0
"131530201062026",0,2,1,0,0
"131530201062027",0,0,1,0,0
"131530201062028",0,0,0,0,0
"131530201062029",0,0,0,0,0
"131530201062030",0,35,0,0,0
"131530201062031",0,8,0,0,0
"131530201062032",0,2,0,0,0
"131530201062033",0,0,0,0,0
"131530201062034",5,5,1,0,0
"131530201062035",0,0,0,0,0
"131530201062036",1,3,1,0,0
"131530201062037",3,0,1,0,0
"131530201062038",0,0,0,0,0
"131530201062039",0,0,0,0,0
"131530201062040",0,2,1,0,0
"131530201062041",0,2,0,0,0
"131530201062042",0,0,0,0,0
"131530201062043",0,0,0,0,0
"131530201081000",1,5,0,1,0
"131530201081001",42,14,5,0,0
"131530201081002",52,9,5,0,0
"131530201081003",21,8,4,0,0
"131530201081004",31,4,2,0,0
"131530201081005",0,0,0,0,0
"131530201081006",41,42,8,5,0
"131530201081007",7,8,2,5,0
"131530201081008",20,36,3,0,0
"131530201081009",3,0,10,1,0
"131530201081010",0,1,0,0,0
"131530201081011",197,67,20,0,0
"131530201081012",31,15,3,0,0
"131530201081013",9,3,4,0,0
"131530201081014",17,3,3,0,0
"131530201081015",11,6,0,0,0
"131530201081016",27,14,0,0,0
"131530201081017",14,7,3,0,0
"131530201081018",10,4,5,0,0
"131530201081019",20,3,0,0,0
"131530201081020",0,0,0,0,0
"131530201081021",0,0,0,0,0
"131530201081022",0,0,0,0,0
"131530201081023",4,4,1,2,0
"131530201081024",29,48,4,0,0
"131530201081025",6,8,10,3,0
"131530201081026",128,4,25,0,0
"131530201081027",23,13,5,1,0
"131530201081028",0,1,9,0,0
"131530201081029",77,52,4,0,0
"131530201081030",0,1,11,3,0
"131530201081031",21,14,11,0,0
"131530201081032",21,20,0,4,0
"131530201081033",16,7,3,0,0
"131530201082000",0,4,1,0,0
"131530201082001",10,1,4,0,3
"131530201082002",12,0,0,0,0
"131530201082003",0,0,0,0,0
"131530201082004",2,1,3,0,0
"131530201082005",0,0,0,0,0
"131530201082006",34,27,3,2,0
"131530201082007",70,68,0,0,0
"131530201082008",43,33,0,4,0
"131530201082009",22,27,10,0,0
"131530201082010",33,38,0,4,0
"131530201082011",12,15,3,0,0
"131530201082012",6,5,6,1,0
"131530201082013",20,6,4,0,0
"131530201082014",47,14,1,0,0
"131530201082015",26,25,0,0,0
"131530201082016",0,0,0,0,0
"131530201082017",0,0,0,0,0
"131530201082018",61,56,3,2,0
"131530201082019",42,24,1,0,0
"131530201082020",33,19,4,0,0
"131530201082021",7,17,7,0,0
"131530201082022",23,27,2,6,0
"131530201082023",11,11,0,0,0
"131530201082024",130,66,1,3,0
"131530201082025",80,46,11,0,0
"131530201082026",36,4,2,1,0
"131530201082027",0,0,0,0,0
"131530201082028",0,0,0,0,0
"131530201082029",0,0,0,0,0
"131530201082030",74,18,0,0,1
"131530201082031",27,13,0,0,0
"131530201082032",13,8,4,0,0
"131530201082033",0,0,0,0,0
"131530201082034",31,4,6,4,0
"131530201082035",0,0,0,0,0
"131530201083000",60,6,3,0,0
"131530201083001",8,6,1,0,0
"131530201083002",106,31,0,2,1
"131530201083003",61,15,1,4,1
"131530201083004",7,7,6,0,0
"131530201083005",26,27,1,0,1
"131530201083006",0,0,0,0,0
"131530201083007",25,0,7,0,0
"131530201083008",0,0,0,0,0
"131530201083009",0,0,0,0,0
"131530201083010",0,0,0,0,0
"131530201083011",23,3,2,0,0
"131530201083012",25,4,1,0,0
"131530201083013",52,4,1,0,0
"131530201083014",23,13,0,0,0
"131530201083015",3,10,3,5,0
"131530201083016",20,32,2,1,0
"131530201083017",4,3,7,0,0
"131530201083018",0,0,0,0,0
"131530201083019",0,0,0,0,0
"131530201083020",124,83,4,3,0
"131530201083021",76,49,1,4,0
