"platform","members","handle_on_file","count_read","no_handle","no_account","other_miss","pct_covered"
"x",537,505,490,32,0,15,91.2
"instagram",537,407,388,130,0,19,72.3
"bluesky",537,135,135,0,402,0,25.1
