"member","party","chamber","platform","handle_on_file","says_rep_but_sits_in_senate"
"Elissa Slotkin","Democrat","Senate","x","RepSlotkin",TRUE
"Jacky Rosen","Democrat","Senate","instagram","repjackyrosen",TRUE
"Jim Banks","Republican","Senate","x","RepJimBanks",TRUE
"Jim Banks","Republican","Senate","instagram","repjimbanks",TRUE
"John Curtis","Republican","Senate","x","RepJohnCurtis",TRUE
"John Curtis","Republican","Senate","instagram","repjohncurtis",TRUE
"Kevin Cramer","Republican","Senate","instagram","repkevincramer",TRUE
"Peter Welch","Democrat","Senate","instagram","reppeterwelch",TRUE
"Ruben Gallego","Democrat","Senate","x","RepRubenGallego",TRUE
"Ruben Gallego","Democrat","Senate","instagram","reprubengallego",TRUE
"Ted Budd","Republican","Senate","x","RepTedBudd",TRUE
"Adriano Espaillat","Democrat","House","instagram","repadrianoespaillat",FALSE
"Bernie Moreno","Republican","Senate","instagram","Berniemorenoforohio",FALSE
"Charles (Chuck) Edwards","Republican","House","x","RepEdwards",FALSE
"Debbie Wasserman Schultz","Democrat","House","instagram","RepDWSTweets",FALSE
"Donald Norcross","Democrat","House","instagram","donald_norcross",FALSE
"James (Jim) Moylan","Republican","House","x","JMoylanforGuam",FALSE
"John Thune","Republican","Senate","x","SenJohnThune",FALSE
"John Thune","Republican","Senate","instagram","senjohnthune",FALSE
"Katherine Clark","Democrat","House","x","RepKClark",FALSE
"Kelly Morrison","Democrat","House","instagram","kellymorrisonmn",FALSE
"Michael Bennet","Democrat","Senate","instagram","SenBennetCO",FALSE
"Michael Cloud","Republican","House","x","RepCloudTX",FALSE
"Michael Cloud","Republican","House","instagram","repcloudtx",FALSE
"Mike Johnson","Republican","House","x","RepMikeJohnson",FALSE
"Mike Johnson","Republican","House","instagram","RepMikeJohnson",FALSE
"Nicole Malliotakis","Republican","House","x","RepMalliotakis",FALSE
"Peter Welch","Democrat","Senate","x","PeterWelch",FALSE
"Steny Hoyer","Democrat","House","instagram","repstenyhoyer",FALSE
"Tom Emmer","Republican","House","x","RepTomEmmer",FALSE
"Vicente Gonzalez","Democrat","House","instagram","repvicentegonzaleztx",FALSE
"Warren Davidson","Republican","House","instagram","instawarrendavidson",FALSE
"Wesley Hunt","Republican","House","x","RepWesleyHunt",FALSE
"Yvette Clarke","Democrat","House","instagram","repyvettedclarke",FALSE
