"state","chamber","member","party","x","instagram","bluesky"
"FL","Senate","Scott, Rick","R","739.9K","156,098","—"
"FL","House","Bean, Aaron","R","8,882","2,956","—"
"FL","House","Bilirakis, Gus","R","40.6K","5,032","—"
"FL","House","Buchanan, Vern","R","36.3K","7,743","—"
"FL","House","Cammack, Katherine","R","127.4K","56,395","—"
"FL","House","Castor, Kathy","D","27.5K","15,555","—"
"FL","House","Diaz-Balart, Mario","R","112.3K","71,672","—"
"FL","House","Donalds, Byron","R","538.5K","545,134","—"
"FL","House","Dunn, Neal","R","18.8K","no handle","—"
"FL","House","Fine, Randall","R","no handle","no handle","—"
"FL","House","Frankel, Lois","D","31.9K","9,584","30,451"
"FL","House","Franklin, C.","R","14K","23,694","—"
"FL","House","Frost, Maxwell","D","68.3K","179,351","24,628"
"FL","House","Gimenez, Carlos","R","175.4K","106,796","—"
"FL","House","Haridopolos, Mike","R","6,205","no handle","—"
"FL","House","Lee, Laurel","R","14.2K","14,451","—"
"FL","House","Luna, Anna","R","620.8K","359,967","—"
"FL","House","Mast, Brian","R","149.6K","94,110","—"
"FL","House","Mills, Cory","R","59.9K","45,184","—"
"FL","House","Moskowitz, Jared","D","66.1K","155,511","—"
"FL","House","Patronis, Jimmy","R","no handle","no handle","—"
"FL","House","Rutherford, John","R","21.6K","6,692","—"
"FL","House","Salazar, Maria","R","212.6K","560,800","—"
"FL","House","Soto, Darren","D","25.4K","16,580","—"
"FL","House","Steube, W.","R","134.9K","27,891","—"
"FL","House","Wasserman Schultz, Debbie","D","26K","handle wrong","23,693"
"FL","House","Webster, Daniel","R","32.1K","no handle","—"
"FL","House","Wilson, Frederica","D","67.6K","20,938","—"
"GA","Senate","Ossoff, Jon","D","70K","988,717","33,799"
"GA","Senate","Warnock, Raphael","D","183.7K","no handle","32,380"
"GA","House","Allen, Rick","R","29.7K","5,435","—"
"GA","House","Bishop, Sanford","D","25.5K","no handle","3,479"
"GA","House","Carter, Earl","R","47.4K","8,846","—"
"GA","House","Clyde, Andrew","R","52.1K","10,434","—"
"GA","House","Collins, Mike","R","132.3K","5,568","—"
"GA","House","Fuller, Clay","R","no handle","no handle","—"
"GA","House","Jack, Brian","R","9,424","2,082","—"
"GA","House","Johnson, Henry","D","53.4K","21,205","—"
"GA","House","Loudermilk, Barry","R","56.3K","6,674","—"
"GA","House","McBath, Lucy","D","49.5K","27,221","8,836"
"GA","House","McCormick, Rich","R","59.9K","33,481","—"
"GA","House","Scott, Austin","R","35.3K","no handle","—"
"GA","House","Williams, Nikema","D","24K","28,090","—"
"GU","House","Moylan, James (Jim)","R","handle wrong","3,806","—"
"HI","Senate","Hirono, Mazie","D","449.3K","40,630","15,519"
"HI","Senate","Schatz, Brian","D","57.3K","95,657","—"
"HI","House","Case, Ed","D","11.3K","5,485","—"
"HI","House","Tokuda, Jill","D","4,724","15,113","16,374"
"IA","Senate","Ernst, Joni","R","255.3K","33,275","—"
"IA","Senate","Grassley, Charles","R","1M","97,292","—"
"IA","House","Feenstra, Randy","R","20.8K","no handle","—"
"IA","House","Hinson, Ashley","R","60.6K","no handle","—"
"IA","House","Miller-Meeks, Mariannette","R","29.1K","no handle","—"
"IA","House","Nunn, Zachary (Zach)","R","9,445","3,914","—"
"ID","Senate","Crapo, Michael","R","139.4K","11,850","—"
"ID","Senate","Risch, James","R","135.3K","no handle","—"
"ID","House","Fulcher, Russ","R","20.9K","3,547","—"
"ID","House","Simpson, Michael","R","29.9K","5,864","—"
"IL","Senate","Duckworth, Tammy","D","656.3K","336,256","72,046"
"IL","Senate","Durbin, Richard","D","683.9K","no handle","17,946"
"IL","House","Bost, Mike","R","25.5K","no handle","—"
"IL","House","Budzinski, Nicole (Nikki)","D","6,329","4,317","22,178"
"IL","House","Casten, Sean","D","39.2K","15,434","45,914"
"IL","House","Davis, Danny","D","19.5K","no handle","—"
"IL","House","Foster, Bill","D","49.9K","no handle","—"
"IL","House","García, Jesús","D","43.7K","no handle","—"
"IL","House","Jackson, Jonathan","D","no handle","7,106","25,227"
"IL","House","Kelly, Robin","D","38.9K","23,091","20,225"
"IL","House","Krishnamoorthi, Raja","D","157.9K","41,403","—"
"IL","House","LaHood, Darin","R","27.3K","no handle","—"
"IL","House","Miller, Mary","R","210.6K","no handle","—"
"IL","House","Quigley, Mike","D","51.4K","10,483","34,941"
"IL","House","Ramirez, Delia","D","30.8K","186,995","12,997"
"IL","House","Schakowsky, Janice","D","51K","11,681","4,831"
"IL","House","Schneider, Bradley","D","23K","12,053","—"
"IL","House","Sorensen, Eric","D","6,953","4,338","—"
"IL","House","Underwood, Lauren","D","122.1K","no handle","33,539"
"IN","Senate","Banks, Jim","R","handle wrong","handle wrong","—"
"IN","Senate","Young, Todd","R","99.3K","14,996","—"
"IN","House","Baird, James","R","14.2K","no handle","—"
"IN","House","Carson, André","D","62.1K","29,216","21,971"
"IN","House","Houchin, Erin","R","8,564","2,789","—"
"IN","House","Messmer, Mark","R","no handle","10","—"
"IN","House","Mrvan, Frank","D","6,439","no handle","—"
"IN","House","Shreve, Jefferson","R","1,694","1,270","—"
"IN","House","Spartz, Victoria","R","93.6K","no handle","—"
"IN","House","Stutzman, Marlin","R","15.7K","2,127","—"
"IN","House","Yakym, Rudy","R","12.3K","no handle","—"
"KS","Senate","Marshall, Roger","R","1,730","13,607","—"
"KS","Senate","Moran, Jerry","R","124K","89","—"
"KS","House","Davids, Sharice","D","61.4K","no handle","13,106"
"KS","House","Estes, Ron","R","13.9K","3,668","—"
"KS","House","Mann, Tracey","R","7,554","4,488","—"
"KS","House","Schmidt, Derek","R","1,641","1,062","—"
"KY","Senate","McConnell, Mitch","R","91.1K","13,811","—"
"KY","Senate","Paul, Rand","R","364K","509,750","—"
"KY","House","Barr, Garland","R","39.4K","7,936","—"
"KY","House","Comer, James","R","281.5K","25,541","—"
"KY","House","Guthrie, Brett","R","26.9K","4,926","—"
"KY","House","Massie, Thomas","R","1.7M","559,832","—"
"KY","House","McGarvey, Morgan","D","12.9K","28,457","—"
"KY","House","Rogers, Harold","R","24K","6,761","—"
"LA","Senate","Cassidy, Bill","R","107.9K","10,386","—"
"LA","Senate","Kennedy, John","R","1.7M","1,424,072","—"
"LA","House","Carter, Troy","D","9,439","no handle","—"
"LA","House","Fields, Cleo","D","1,078","6,374","—"
"LA","House","Higgins, Clay","R","232.2K","37,219","—"
"LA","House","Johnson, Mike","R","handle wrong","handle wrong","—"
"LA","House","Letlow, Julia","R","14.3K","no handle","—"
"LA","House","Scalise, Steve","R","703.8K","89,557","—"
"MA","Senate","Markey, Edward","D","276.2K","39,371","89,331"
"MA","Senate","Warren, Elizabeth","D","6.7M","1,156,797","415,319"
"MA","House","Auchincloss, Jake","D","39.8K","no handle","—"
"MA","House","Clark, Katherine","D","handle wrong","130,779","—"
"MA","House","Keating, William","D","26.8K","no handle","27,434"
"MA","House","Lynch, Stephen","D","30.1K","10,110","19,272"
"MA","House","McGovern, James","D","163.8K","87,143","—"
"MA","House","Moulton, Seth","D","19.6K","42,746","34,443"
"MA","House","Neal, Richard","D","39.1K","no handle","6,331"
"MA","House","Pressley, Ayanna","D","497.2K","412,273","103,535"
"MA","House","Trahan, Lori","D","39.5K","29,995","13,649"
"MD","Senate","Alsobrooks, Angela","D","no handle","56,341","24,260"
"MD","Senate","Van Hollen, Chris","D","289.1K","303,325","129,029"
"MD","House","Elfreth, Sarah","D","2,817","10,704","6,765"
"MD","House","Harris, Andy","R","41.4K","no handle","—"
"MD","House","Hoyer, Steny","D","144.1K","handle wrong","3,211"
"MD","House","Ivey, Glenn","D","5,956","13,121","10,925"
"MD","House","McClain Delaney, April","D","2,964","3,168","—"
"MD","House","Mfume, Kweisi","D","7,163","10,751","—"
"MD","House","Olszewski, Johnny","D","2,899","7,983","—"
"MD","House","Raskin, Jamie","D","943.9K","232,012","265,940"
"ME","Senate","Collins, Susan","R","523.2K","25,549","—"
"ME","Senate","King, Angus","I","225K","no handle","—"
"ME","House","Golden, Jared","D","25.2K","no handle","13,327"
"ME","House","Pingree, Chellie","D","33.8K","39,085","41,599"
"MI","Senate","Peters, Gary","D","148.1K","23,864","11,070"
"MI","Senate","Slotkin, Elissa","D","handle wrong","380,346","37,258"
"MI","House","Barrett, Tom","R","7,126","no handle","—"
"MI","House","Bergman, Jack","R","32K","6,852","—"
"MI","House","Dingell, Debbie","D","92.9K","17,932","44,954"
"MI","House","Huizenga, Bill","R","38.1K","7,653","—"
"MI","House","James, John","R","33.9K","7,187","—"
"MI","House","McClain, Lisa","R","75.9K","28,920","—"
"MI","House","McDonald Rivet, Kristen","D","2,181","17,305","—"
"MI","House","Moolenaar, John","R","26K","3,528","—"
"MI","House","Scholten, Hillary","D","6,925","9,980","15,675"
"MI","House","Stevens, Haley","D","44.5K","no handle","—"
"MI","House","Thanedar, Shri","D","26.3K","6,256","9,642"
"MI","House","Tlaib, Rashida","D","554.5K","347,742","—"
"MI","House","Walberg, Tim","R","25.2K","3,797","—"
"MN","Senate","Klobuchar, Amy","D","97.2K","no handle","39,227"
"MN","Senate","Smith, Tina","D","127.2K","102,875","144,614"
"MN","House","Craig, Angie","D","38.1K","no handle","—"
"MN","House","Emmer, Tom","R","handle wrong","20,060","—"
"MN","House","Finstad, Brad","R","7,608","3,013","—"
"MN","House","Fischbach, Michelle","R","12.3K","10,206","—"
"MN","House","McCollum, Betty","D","42.8K","9,549","5,716"
"MN","House","Morrison, Kelly","D","5,055","handle wrong","—"
"MN","House","Omar, Ilhan","D","1.2M","no handle","—"
"MN","House","Stauber, Pete","R","21.6K","no handle","—"
"MO","Senate","Hawley, Joshua","R","100K","1,192,191","—"
"MO","Senate","Schmitt, Eric","R","72.3K","43,089","—"
"MO","House","Alford, Mark","R","17.6K","11,556","—"
"MO","House","Bell, Wesley","D","2,811","no handle","—"
"MO","House","Burlison, Eric","R","63.1K","8,808","—"
"MO","House","Cleaver, Emanuel","D","47.6K","9,247","8,171"
"MO","House","Graves, Sam","R","17.3K","8,912","—"
"MO","House","Onder, Robert","R","3,849","1,594","—"
"MO","House","Smith, Jason","R","78K","no handle","—"
"MO","House","Wagner, Ann","R","32.5K","3,984","—"
"MP","House","King-Hinds, Kimberlyn","R","904","2,627","—"
"MS","Senate","Hyde-Smith, Cindy","R","35.3K","23,460","—"
"MS","Senate","Wicker, Roger","R","134.4K","16,245","—"
"MS","House","Ezell, Mike","R","6,127","1,580","—"
"MS","House","Guest, Michael","R","17.6K","no handle","—"
"MS","House","Kelly, Trent","R","17.8K","4,151","—"
"MS","House","Thompson, Bennie","D","106.4K","20,685","—"
"MT","Senate","Daines, Steve","R","100.9K","22,739","—"
"MT","Senate","Sheehy, Tim","R","no handle","no handle","—"
"MT","House","Downing, Troy","R","3,193","1,621","—"
"MT","House","Zinke, Ryan","R","16.3K","12,759","—"
"NC","Senate","Budd, Ted","R","handle wrong","18,715","—"
"NC","Senate","Tillis, Thom","R","198K","25,205","—"
