"state","chamber","member","party","x","instagram","bluesky"
"TX","House","Escobar, Veronica","D","82.7K","30,258","—"
"TX","House","Fallon, Patrick","R","85.6K","10,723","—"
"TX","House","Fletcher, Lizzie","D","31.4K","17,945","—"
"TX","House","Garcia, Sylvia","D","63.4K","no handle","2,247"
"TX","House","Gill, Brandon","R","369.1K","956,520","—"
"TX","House","Goldman, Craig","R","2,351","1,364","—"
"TX","House","Gonzalez, Vicente","D","14.5K","handle wrong","—"
"TX","House","Gooden, Lance","R","no handle","no handle","—"
"TX","House","Green, Al","D","119.2K","139,048","136,835"
"TX","House","Hunt, Wesley","R","handle wrong","48,963","—"
"TX","House","Jackson, Ronny","R","40.5K","37,424","—"
"TX","House","Johnson, Julie","D","4,679","31,627","—"
"TX","House","Luttrell, Morgan","R","42.6K","139,157","—"
"TX","House","McCaul, Michael","R","66.3K","9,888","—"
"TX","House","Menefee, Christian","D","no handle","no handle","679"
"TX","House","Moran, Nathaniel","R","12.7K","4,842","—"
"TX","House","Nehls, Troy","R","238.8K","19,765","—"
"TX","House","Pfluger, August","R","29.3K","80,106","—"
"TX","House","Roy, Chip","R","306K","no handle","—"
"TX","House","Self, Keith","R","72.6K","26,430","—"
"TX","House","Sessions, Pete","R","39.8K","5,861","—"
"TX","House","Van Duyne, Beth","R","52.8K","43,560","—"
"TX","House","Veasey, Marc","D","34K","6,635","—"
"TX","House","Weber, Randy","R","35K","5,896","—"
"TX","House","Williams, Roger","R","24.9K","no handle","—"
"UT","Senate","Curtis, John","R","handle wrong","handle wrong","—"
"UT","Senate","Lee, Mike","R","852.7K","49,871","—"
"UT","House","Kennedy, Mike","R","2,712","1,838","—"
"UT","House","Maloy, Celeste","R","3,327","2,322","—"
"UT","House","Moore, Blake","R","16.4K","6,237","—"
"UT","House","Owens, Clarence","R","43.3K","16,875","—"
"VA","Senate","Kaine, Timothy","D","no handle","64,809","84,645"
"VA","Senate","Warner, Mark","D","472.5K","104,418","—"
"VA","House","Beyer, Donald","D","123.7K","45,641","83,815"
"VA","House","Cline, Ben","R","53.6K","9,779","—"
"VA","House","Griffith, H.","R","37.6K","3,431","—"
"VA","House","Kiggans, Jennifer","R","12.9K","6,971","—"
"VA","House","McClellan, Jennifer","D","7,781","24,319","15,929"
"VA","House","McGuire, John","R","4,437","1,600","—"
"VA","House","Scott, Robert","D","42.4K","8,402","—"
"VA","House","Subramanyam, Suhas","D","9,986","42,989","—"
"VA","House","Vindman, Eugene","D","12.5K","18,021","—"
"VA","House","Walkinshaw, James","D","no handle","no handle","—"
"VA","House","Wittman, Robert","R","34.8K","6,835","—"
"VI","House","Plaskett, Stacey","D","216.3K","76,192","—"
"VT","Senate","Sanders, Bernard","I","11.5M","no handle","572,693"
"VT","Senate","Welch, Peter","D","handle wrong","handle wrong","3,716"
"VT","House","Balint, Becca","D","32.2K","429,808","65,455"
"WA","Senate","Cantwell, Maria","D","230K","no handle","28,914"
"WA","Senate","Murray, Patty","D","469K","180,456","84,428"
"WA","House","Baumgartner, Michael","R","11.9K","1,845","—"
"WA","House","DelBene, Suzan","D","34.3K","14,603","—"
"WA","House","Gluesenkamp Perez, Marie","D","24.9K","20,582","22,778"
"WA","House","Jayapal, Pramila","D","563.4K","699,608","75,909"
"WA","House","Larsen, Rick","D","22.4K","6,218","—"
"WA","House","Newhouse, Dan","R","26.6K","8,011","—"
"WA","House","Randall, Emily","D","no handle","no handle","—"
"WA","House","Schrier, Kim","D","18.9K","no handle","—"
"WA","House","Smith, Adam","D","46.9K","16,305","31,292"
"WA","House","Strickland, Marilyn","D","9,128","11,615","135"
"WI","Senate","Baldwin, Tammy","D","148K","50,751","32,434"
"WI","Senate","Johnson, Ron","R","709.1K","92,667","—"
"WI","House","Fitzgerald, Scott","R","15.3K","no handle","—"
"WI","House","Grothman, Glenn","R","18.6K","5,755","—"
"WI","House","Moore, Gwen","D","44.4K","22,666","—"
"WI","House","Pocan, Mark","D","113.4K","21,060","51,189"
"WI","House","Steil, Bryan","R","34.9K","no handle","—"
"WI","House","Tiffany, Thomas","R","43.9K","no handle","—"
"WI","House","Van Orden, Derrick","R","11.3K","6,874","—"
"WI","House","Wied, Tony","R","5,884","961","—"
"WV","Senate","Capito, Shelley","R","102.1K","15,965","—"
"WV","Senate","Justice, Jim","R","no handle","14,149","—"
"WV","House","Miller, Carol","R","19K","no handle","—"
"WV","House","Moore, Riley","R","95.8K","5,559","—"
"WY","Senate","Barrasso, John","R","179.4K","no handle","—"
"WY","Senate","Lummis, Cynthia","R","401.1K","9,147","—"
"WY","House","Hageman, Harriet","R","99.8K","no handle","—"
