"key","value","note"
"scan_date","2026-08-15","the day every profile was read"
"n_members","537","sitting members of Congress"
"n_platforms","3","platforms asked about each one"
"n_rows","1611","member-platform pairs, misses included"
"covered_x","490","members whose follower count x actually yielded"
"covered_instagram","388","members whose follower count instagram actually yielded"
"covered_bluesky","135","members whose follower count bluesky actually yielded"
"bsky_dem","134","Democrats with a verified .gov Bluesky account"
"bsky_rep","0","Republicans with one"
"bsky_rep_total","274","Republicans in Congress"
"bsky_dem_pct","51.5","percent of Democrats present on Bluesky"
"x_rep_pct","89.8","percent of Republicans whose X count was read"
"x_dem_pct","92.7","percent of Democrats whose X count was read"
"n_stale","34","handles on file that the platform does not have"
"n_promoted","11","of them belonging to a member who moved up to the Senate and renamed"
"ig_pairs","388","Instagram profiles giving both a shown and a fuller count"
"ig_disagree","2","where the two are too far apart to be the same quantity"
"n_delegates","6","members from places with no vote on the House floor"
"n_distinct_leaders","2","different people the three platforms name as the most followed"
