"district","state","cd","dem_share","pres_party","house_rep","house_rep_party","baseline","actual","as_expected"
"AK-00","AK",0,43.16,"republican","Nick Begich","republican","republican","republican",TRUE
"AL-01","AL",1,22.15,"republican","Barry Moore","republican","republican","republican",TRUE
"AL-02","AL",2,54.15,"democrat","Shomari Figures","democrat","democrat","democrat",TRUE
"AL-03","AL",3,26.47,"republican","Mike Rogers","republican","republican","republican",TRUE
"AL-04","AL",4,16.12,"republican","Robert B. Aderholt","republican","republican","republican",TRUE
"AL-05","AL",5,34.82,"republican","Dale W. Strong","republican","republican","republican",TRUE
"AL-06","AL",6,30.24,"republican","Gary J. Palmer","republican","republican","republican",TRUE
"AL-07","AL",7,62.1,"democrat","Terri A. Sewell","democrat","democrat","democrat",TRUE
"AR-01","AR",1,26.89,"republican","Eric A. \""Rick\"" Crawford","republican","republican","republican",TRUE
"AR-02","AR",2,42,"republican","J. French Hill","republican","republican","republican",TRUE
"AR-03","AR",3,37.2,"republican","Steve Womack","republican","republican","republican",TRUE
"AR-04","AR",4,29.66,"republican","Bruce Westerman","republican","republican","republican",TRUE
"AZ-01","AZ",1,48.43,"republican","David Schweikert","republican","republican","republican",TRUE
"AZ-02","AZ",2,42.44,"republican","Elijah Crane","republican","republican","republican",TRUE
"AZ-03","AZ",3,70.16,"democrat","Yassamin Ansari","democrat","democrat","democrat",TRUE
"AZ-04","AZ",4,53.38,"democrat","Greg Stanton","democrat","democrat","democrat",TRUE
"AZ-05","AZ",5,39.9,"republican","Andy Biggs","republican","republican","republican",TRUE
"AZ-06","AZ",6,49.62,"republican","Juan Ciscomani","republican","republican","republican",TRUE
"AZ-07","AZ",7,61.2,"democrat","Raúl M. Grijalva","democrat","democrat","democrat",TRUE
"AZ-08","AZ",8,41.76,"republican","Abraham \""Abe\"" Hamadeh","republican","republican","republican",TRUE
"AZ-09","AZ",9,34.33,"republican","Paul A. Gosar","republican","republican","republican",TRUE
"CA-01","CA",1,37.16,"republican","Doug Lamalfa","republican","republican","republican",TRUE
"CA-02","CA",2,73.37,"democrat","Jared Huffman","democrat","democrat","democrat",TRUE
"CA-03","CA",3,48.03,"republican","Kevin Kiley","republican","republican","republican",TRUE
"CA-04","CA",4,66.12,"democrat","Mike Thompson","democrat","democrat","democrat",TRUE
"CA-05","CA",5,40.91,"republican","Tom Mcclintock","republican","republican","republican",TRUE
"CA-06","CA",6,57.18,"democrat","Ami Bera","democrat","democrat","democrat",TRUE
"CA-07","CA",7,65.42,"democrat","Doris O. Matsui","democrat","democrat","democrat",TRUE
"CA-08","CA",8,72.52,"democrat","John Garamendi","democrat","democrat","democrat",TRUE
"CA-09","CA",9,49.08,"republican","Josh Harder","democrat","republican","democrat",FALSE
"CA-10","CA",10,67.48,"democrat","Mark Desaulnier","democrat","democrat","democrat",TRUE
"CA-11","CA",11,85.31,"democrat","Nancy Pelosi","democrat","democrat","democrat",TRUE
"CA-12","CA",12,88.82,"democrat","Lateefah Simon","democrat","democrat","democrat",TRUE
"CA-13","CA",13,47.21,"republican","Adam Gray","democrat","republican","democrat",FALSE
"CA-14","CA",14,68.43,"democrat","Eric Swalwell","democrat","democrat","democrat",TRUE
"CA-15","CA",15,74.82,"democrat","Kevin Mullin","democrat","democrat","democrat",TRUE
"CA-16","CA",16,75.16,"democrat","Sam Liccardo","democrat","democrat","democrat",TRUE
"CA-17","CA",17,69.82,"democrat","Ro Khanna","democrat","democrat","democrat",TRUE
"CA-18","CA",18,65.23,"democrat","Zoe Lofgren","democrat","democrat","democrat",TRUE
"CA-19","CA",19,67.82,"democrat","Jimmy Panetta","democrat","democrat","democrat",TRUE
"CA-20","CA",20,34.48,"republican","Vince Fong","republican","republican","republican",TRUE
