"fips","county","state","year","dem","rep","dem_medsl","rep_medsl","win_algara","win_medsl","reason"
"29095","JACKSON","MO",2004,183654,130500,79029,94439,"D","R","Kansas City reports separately from the rest of Jackson County; MEDSL splits it out, Algara does not"
"29095","JACKSON","MO",2008,210824,124687,90722,92833,"D","R","Kansas City reports separately from the rest of Jackson County; MEDSL splits it out, Algara does not"
"29095","JACKSON","MO",2012,183953,122708,78283,93199,"D","R","Kansas City reports separately from the rest of Jackson County; MEDSL splits it out, Algara does not"
"29095","JACKSON","MO",2016,163723,114777,71237,91557,"D","R","Kansas City reports separately from the rest of Jackson County; MEDSL splits it out, Algara does not"
"36011","CAYUGA","NY",2004,17534,17743,16913,16626,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36015","CHEMUNG","NY",2012,16797,17612,16205,16138,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36027","DUTCHESS","NY",2016,56874,58163,62261,61797,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36057","MONTGOMERY","NY",2012,8493,9334,8106,8046,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36069","ONTARIO","NY",2012,23087,23820,22065,20919,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36087","ROCKLAND","NY",2004,64191,65130,62391,61510,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"36105","SULLIVAN","NY",2004,15034,15319,14447,14398,"R","D","New York fusion voting: a nominee appears on several party lines and the two sources add up different subsets"
"47095","LAKE","TN",2004,1317,1039,1039,1317,"D","R","the Democratic and Republican totals are transposed in one of the two files"
