"year","ec","pv","dem_nominee","rep_nominee"
1960,"D","D","Kennedy","Nixon"
1964,"D","D","Johnson","Goldwater"
1968,"R","R","Humphrey","Nixon"
1972,"R","R","McGovern","Nixon"
1976,"D","D","Carter","Ford"
1980,"R","R","Carter","Reagan"
1984,"R","R","Mondale","Reagan"
1988,"R","R","Dukakis","Bush"
1992,"D","D","Clinton","Bush"
1996,"D","D","Clinton","Dole"
2000,"R","D","Gore","Bush"
2004,"R","R","Kerry","Bush"
2008,"D","D","Obama","McCain"
2012,"D","D","Obama","Romney"
2016,"R","D","Clinton","Trump"
2020,"D","D","Biden","Trump"
2024,"R","R","Harris","Trump"
