"fips","county","state","y1960","y1964","y1968","y1972","y1976","y1980","y1984","y1988","y1992","y1996","y2000","y2004","y2008","y2012","y2016","y2020","y2024"
"01001","AUTAUGA","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01003","BALDWIN","AL","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"01005","BARBOUR","AL","D","R","D","R","D","D","R","R","D","D","D","R","R","D","R","R","R"
"01007","BIBB","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01009","BLOUNT","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01011","BULLOCK","AL","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01013","BUTLER","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01015","CALHOUN","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01017","CHAMBERS","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01019","CHEROKEE","AL","D","D","D","R","D","D","R","D","D","D","R","R","R","R","R","R","R"
"01021","CHILTON","AL","R","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01023","CHOCTAW","AL","D","R","D","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"01025","CLARKE","AL","R","R","D","R","D","D","R","R","R","D","R","R","R","R","R","R","R"
"01027","CLAY","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01029","CLEBURNE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01031","COFFEE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01033","COLBERT","AL","D","D","D","R","D","D","D","D","D","D","D","R","R","R","R","R","R"
"01035","CONECUH","AL","D","R","D","R","D","D","R","R","D","D","D","R","R","D","R","R","R"
"01037","COOSA","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
