"year","races","pct_uncontested","pct_competitive","pct_landslide","pct_uncontested_south","pct_uncontested_non_south","pct_split","split_coverage"
1946,435,20.2,20.7,14.7,64.8,6.1,NA,0
1948,435,20.5,26,12,56.2,9.1,NA,0
1950,435,23.9,20.7,8.5,76.2,7.3,NA,0
1952,435,22.5,19.1,10.3,69.8,7.3,19.1,100
1954,435,20.9,21.6,9.9,69.8,5.2,23,100
1956,435,17.7,20.2,10.3,61.3,3.6,30.6,100
1958,436,23.2,23.9,14.2,79.2,5.2,40.8,95.6
1960,437,18.5,19.7,13.7,63.2,4.2,25.6,100
1962,435,14.5,17,14.5,49.1,3.3,NA,50.3
1964,435,10.3,24.8,18.6,32.1,3.3,33.6,100
1966,435,13.6,16.6,18.4,46.2,3,NA,51.3
1968,435,11.5,14.9,20.7,36.8,3.3,25.3,100
1970,435,14.5,12.4,23.7,41.5,5.8,27.4,100
1972,435,12.6,12.2,25.7,35.2,5.2,44.4,100
1974,435,13.8,20.9,26.7,34.3,7,54.8,99.1
1976,435,12,15.2,29.2,30.6,5.8,28.7,100
1978,435,16.1,15.2,26.9,36.1,9.5,28,100
1980,435,12.6,16.3,32.4,33.3,5.8,32.9,100
1982,435,13.1,16.3,24.4,28.4,7.5,37.2,100
1984,435,15.6,12.6,29.4,40.5,6.6,43.7,100
1986,435,17.2,10.3,36.3,33.6,11.3,45.3,100
1988,435,18.6,7.6,34.7,36.2,12.2,34,100
1990,435,19.8,11.5,18.9,37.1,13.5,36.3,100
1992,435,7.8,18.6,20.5,13.6,5.5,23.9,100
1994,435,12.2,19.5,23.4,24,7.4,23,100
1996,435,6.2,17.7,24.8,15.2,2.6,25.5,100
1998,435,21.8,9.7,23,48,11.3,25.3,100
2000,435,14.9,9.7,28.5,31.2,8.4,20.2,100
2002,435,19.1,8.3,27.8,34.4,12.5,14.5,100
2004,435,15.9,5.1,24.1,29,10.2,13.8,100
2006,435,13.6,13.8,21.1,19.8,10.9,15.9,100
2008,435,12.9,11,25.3,22.1,8.9,19.1,100
2010,435,6.2,19.1,24.1,14.5,2.6,16.8,100
2012,435,11,14,22.5,18.8,7.4,6,100
2014,435,17.7,10.6,19.3,30.4,11.8,7.1,100
2016,435,14.7,7.4,23.4,18.1,13.1,10.2,100
2018,435,9.9,20,20.2,12.3,8.8,9.2,100
2020,435,6.2,17,23.9,7.2,5.7,3.9,100
2022,435,8,16.8,21.6,10.6,6.8,5.5,100
2024,435,8.7,15.4,19.3,11.3,7.5,4,100
