"year","state","stcd","south","midterm","dv","dvp","dpres","incwin","uncontested","margin","competitive","landslide","split_district","source"
1946,1,101,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,1,102,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,1,103,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,1,104,1,0,88.1,84.5,NA,1,FALSE,38.1,FALSE,TRUE,NA,"Jacobson"
1946,1,105,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,1,106,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,1,107,1,0,72.7,65.9,NA,1,FALSE,22.7,FALSE,TRUE,NA,"Jacobson"
1946,1,108,1,0,92.4,NA,NA,1,FALSE,42.4,FALSE,TRUE,NA,"Jacobson"
1946,1,109,1,0,94.1,81.7,NA,NA,FALSE,44.1,FALSE,TRUE,NA,"Jacobson"
1946,3,301,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,3,302,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,401,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,402,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,403,1,0,NA,63.3,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,404,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,405,1,0,85.2,87.1,NA,1,FALSE,35.2,FALSE,TRUE,NA,"Jacobson"
1946,4,406,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,4,407,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,501,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,502,0,0,NA,63.8,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,503,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,504,0,0,52.9,50.1,NA,1,FALSE,2.9,TRUE,FALSE,NA,"Jacobson"
1946,5,505,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,506,0,0,NA,52,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,507,0,0,43.8,57.9,NA,NA,FALSE,6.2,FALSE,FALSE,NA,"Jacobson"
1946,5,508,0,0,NA,43.5,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,509,0,0,46.3,NA,NA,1,FALSE,3.7,TRUE,FALSE,NA,"Jacobson"
1946,5,510,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,511,0,0,46.9,56,NA,0,FALSE,3.1,TRUE,FALSE,NA,"Jacobson"
1946,5,512,0,0,43.3,55.3,NA,0,FALSE,6.7,FALSE,FALSE,NA,"Jacobson"
1946,5,513,0,0,48.2,54.9,NA,0,FALSE,1.8,TRUE,FALSE,NA,"Jacobson"
1946,5,514,0,0,54.3,51.5,NA,1,FALSE,4.3,TRUE,FALSE,NA,"Jacobson"
1946,5,515,0,0,NA,41.6,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,516,0,0,37,54.1,NA,NA,FALSE,13,FALSE,FALSE,NA,"Jacobson"
1946,5,517,0,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,518,0,0,47.2,55.6,NA,0,FALSE,2.8,TRUE,FALSE,NA,"Jacobson"
1946,5,519,0,0,NA,71.7,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,5,520,0,0,40.6,46.5,NA,1,FALSE,9.4,FALSE,FALSE,NA,"Jacobson"
1946,5,521,0,0,52.7,58.5,NA,1,FALSE,2.7,TRUE,FALSE,NA,"Jacobson"
1946,5,522,0,0,37.9,NA,NA,1,FALSE,12.1,FALSE,FALSE,NA,"Jacobson"
1946,5,523,0,0,43.7,55.1,NA,0,FALSE,6.3,FALSE,FALSE,NA,"Jacobson"
1946,6,601,0,0,52.1,47.8,NA,0,FALSE,2.1,TRUE,FALSE,NA,"Jacobson"
1946,6,602,0,0,33.4,36.8,NA,1,FALSE,16.6,FALSE,FALSE,NA,"Jacobson"
1946,6,603,0,0,45.4,43.7,NA,1,FALSE,4.6,TRUE,FALSE,NA,"Jacobson"
1946,6,604,0,0,41.3,38.3,NA,1,FALSE,8.7,FALSE,FALSE,NA,"Jacobson"
1946,7,701,0,0,46.9,54,NA,0,FALSE,3.1,TRUE,FALSE,NA,"Jacobson"
1946,7,702,0,0,44.7,51.2,NA,0,FALSE,5.3,FALSE,FALSE,NA,"Jacobson"
1946,7,703,0,0,41.1,51.5,NA,0,FALSE,8.9,FALSE,FALSE,NA,"Jacobson"
1946,7,704,0,0,38.3,49.5,NA,NA,FALSE,11.7,FALSE,FALSE,NA,"Jacobson"
1946,7,705,0,0,43.5,47.7,NA,NA,FALSE,6.5,FALSE,FALSE,NA,"Jacobson"
1946,7,706,0,0,42.4,51.2,NA,0,FALSE,7.6,FALSE,FALSE,NA,"Jacobson"
1946,8,801,0,0,43.6,50.3,NA,0,FALSE,6.4,FALSE,FALSE,NA,"Jacobson"
1946,9,901,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,9,902,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,9,903,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,9,904,1,0,71.9,72,NA,NA,FALSE,21.9,FALSE,TRUE,NA,"Jacobson"
1946,9,905,1,0,61.3,67.5,NA,1,FALSE,11.3,FALSE,FALSE,NA,"Jacobson"
1946,9,906,1,0,71.1,69.7,NA,1,FALSE,21.1,FALSE,TRUE,NA,"Jacobson"
1946,10,1001,1,0,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1002,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1003,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1004,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1005,1,0,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1006,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1007,1,0,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1008,1,0,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1009,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,10,1010,1,0,NA,NA,NA,1,TRUE,NA,FALSE,FALSE,NA,"Jacobson"
1946,12,1201,0,0,49.5,56.6,NA,0,FALSE,0.5,TRUE,FALSE,NA,"Jacobson"
1946,12,1202,0,0,39.3,47.7,NA,NA,FALSE,10.7,FALSE,FALSE,NA,"Jacobson"
1946,13,1301,0,0,56.8,62,NA,1,FALSE,6.8,FALSE,FALSE,NA,"Jacobson"
