year,state,state_num,district,stcd,dem_votes,rep_votes,n_dem,n_rep,dv,uncontested,top_two,la_primary,runoff_mixed
2004,Connecticut,7,2,702,140536,166412,1,1,45.78,0,0,0,0
2004,Connecticut,7,3,703,200638,69160,1,1,74.37,0,0,0,0
2004,Connecticut,7,4,704,138333,152493,1,1,47.57,0,0,0,0
2004,Connecticut,7,5,705,107438,168268,1,1,38.97,0,0,0,0
2004,Delaware,8,1,801,105716,245978,1,1,30.06,0,0,0,0
2004,Florida,9,1,901,72506,236604,1,1,23.46,0,0,0,0
2004,Florida,9,2,902,201577,125399,1,1,61.65,0,0,0,0
2004,Florida,9,3,903,172833,0,1,0,,1,0,0,0
2004,Florida,9,4,904,0,256157,0,1,,1,0,0,0
2004,Florida,9,5,905,124140,240315,1,1,34.06,0,0,0,0
2004,Florida,9,6,906,116680,211137,1,1,35.59,0,0,0,0
2004,Florida,9,7,907,0,0,0,0,,1,0,0,0
2004,Florida,9,8,908,112343,172232,1,1,39.48,0,0,0,0
2004,Florida,9,9,909,0,284035,0,1,,1,0,0,0
2004,Florida,9,10,910,91658,207175,1,1,30.67,0,0,0,0
2004,Florida,9,11,911,191780,0,1,0,,1,0,0,0
2004,Florida,9,12,912,96965,179204,1,1,35.11,0,0,0,0
2004,Florida,9,13,913,153961,190477,1,1,44.7,0,0,0,0
2004,Florida,9,14,914,108672,226662,1,1,32.41,0,0,0,0
2004,Florida,9,15,915,111538,210388,1,1,34.65,0,0,0,0
2004,Florida,9,16,916,101247,215563,1,1,31.96,0,0,0,0
2004,Florida,9,17,917,178690,0,1,0,,1,0,0,0
2004,Florida,9,18,918,78281,143647,1,1,35.27,0,0,0,0
2004,Florida,9,19,919,0,0,0,0,,1,0,0,0
2004,Florida,9,20,920,191195,81213,1,1,70.19,0,0,0,0
2004,Florida,9,21,921,0,146507,0,1,,1,0,0,0
2004,Florida,9,22,922,108258,192581,1,1,35.99,0,0,0,0
2004,Florida,9,23,923,0,0,0,0,,1,0,0,0
2004,Florida,9,24,924,0,0,0,0,,1,0,0,0
2004,Florida,9,25,925,0,0,0,0,,1,0,0,0
2004,Georgia,10,1,1001,0,188347,0,1,,1,0,0,0
2004,Georgia,10,2,1002,129984,64645,1,1,66.79,0,0,0,0
2004,Georgia,10,3,1003,136273,80435,1,1,62.88,0,0,0,0
2004,Georgia,10,4,1004,157461,89509,1,1,63.76,0,0,0,0
2004,Georgia,10,5,1005,201773,0,1,0,,1,0,0,0
2004,Georgia,10,6,1006,0,267542,0,1,,1,0,0,0
2004,Georgia,10,7,1007,0,258982,0,1,,1,0,0,0
2004,Georgia,10,8,1008,73632,227524,1,1,24.45,0,0,0,0
2004,Georgia,10,9,1009,68462,197869,1,1,25.71,0,0,0,0
2004,Georgia,10,10,1010,0,219136,0,1,,1,0,0,0
2004,Georgia,10,11,1011,89591,120696,1,1,42.6,0,0,0,0
2004,Georgia,10,12,1012,113036,105132,1,1,51.81,0,0,0,0
2004,Georgia,10,13,1013,170657,0,1,0,,1,0,0,0
2004,Hawaii,11,1,1101,128567,69371,1,1,64.95,0,0,0,0
2004,Hawaii,11,2,1102,133317,79072,1,1,62.77,0,0,0,0
2004,Idaho,12,1,1201,90927,207662,1,1,30.45,0,0,0,0
2004,Idaho,12,2,1202,80133,193704,1,1,29.26,0,0,0,0
2004,Illinois,13,1,1301,212109,37840,1,1,84.86,0,0,0,0
2004,Illinois,13,2,1302,207535,0,1,0,,1,0,0,0
2004,Illinois,13,3,1303,167034,57845,1,1,74.28,0,0,0,0
2004,Illinois,13,4,1304,104761,15536,1,1,87.09,0,0,0,0
2004,Illinois,13,5,1305,158400,49530,1,1,76.18,0,0,0,0
2004,Illinois,13,6,1306,110470,139627,1,1,44.17,0,0,0,0
2004,Illinois,13,7,1307,221133,35603,1,1,86.13,0,0,0,0
2004,Illinois,13,8,1308,139792,130601,1,1,51.7,0,0,0,0
2004,Illinois,13,9,1309,175282,56135,1,1,75.74,0,0,0,0
2004,Illinois,13,10,1310,99218,177493,1,1,35.86,0,0,0,0
2004,Illinois,13,11,1311,121903,173057,1,1,41.33,0,0,0,0
2004,Illinois,13,12,1312,198962,82677,1,1,70.64,0,0,0,0
2004,Illinois,13,13,1313,107836,200472,1,1,34.98,0,0,0,0
2004,Illinois,13,14,1314,87590,191618,1,1,31.37,0,0,0,0
2004,Illinois,13,15,1315,113625,178114,1,1,38.95,0,0,0,0
2004,Illinois,13,16,1316,91452,204350,1,1,30.92,0,0,0,0
2004,Illinois,13,17,1317,172320,111680,1,1,60.68,0,0,0,0
2004,Illinois,13,18,1318,91548,216047,1,1,29.76,0,0,0,0
2004,Illinois,13,19,1319,94303,213451,1,1,30.64,0,0,0,0
2004,Indiana,14,1,1401,178406,82858,1,1,68.29,0,0,0,0
2004,Indiana,14,2,1402,115513,140496,1,1,45.12,0,0,0,0
